DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,Damage numeric,DamageModel text,DamageEffect text,LaunchSpeed_mps numeric,targetFlags numeric,MinLaunchAlt_m numeric,MaxLaunchAlt_m numeric,MinRange_km numeric,MaxRange_km numeric,ProbNoFaults numeric,PayloadClass text,PayloadQuantity numeric,DatalinkRange_km real,AcceptsUserCommands numeric,DetonationRange_m numeric,BallisticType numeric,AngleError_rad numeric,BurstCount numeric,BurstDuration_s numeric,ClusterCount numeric,ClusterEffectRadius_m numeric,SensorClass numeric,SmartMaxClimb_rad numeric,SmartError_m numeric,LockOnAfterLaunch numeric
"30mm Su-25","","14","512","0","0.2","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm Russian round burst","","0.15","SolidProjectile","ToughWeapon","800","7","0","99999","0.02","2","1","","","0","0","0","2","0.002","125","1","","","","0","0","0"
"30mm/75 GCM-AO3-2 APDS","","14","512","0","0.3","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","0.11","SolidProjectile","ToughWeapon","1175","7","0","99999","0.2","10","1","","","0","0","0","2","0.0026","3","0.2769","","","","0","0","0"
"30mm/75 GCM-AO3-2 HE","","14","512","0","0.42","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","0.11","BlastFrag0.1kg","ToughWeapon","1080","7","0","99999","0.2","10","1","","","0","0","0","2","0.0026","3","0.2769","","","","0","0","0"
"35mm AHEAD","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","35mm AHEAD - Range 3km - Damage 1.7 - ETA 3 Seconds","","1.7","SolidProjectile","ToughWeapon","1050","15","0","99999","0.2","3","1","","","0","0","0","0","0.0021","0","","","","","0","0","0"
"37mm HE-FRAG","","14","512","0","1.5","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","37mm HE-FRAG - Range 8.5km - Damage 25 - ETA 9 Seconds","Contributed by greengills","5","SolidProjectile","ToughWeapon","1080","10","0","99999","0.2","8","1","","","","0","0.06","0","0.00248","2","0.3158","","","","0","0","0"
"40mm HE-T","","14","512","0","0.96","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","40mm HE-T - Range 12km - Damage 1.15 - ETA 12 Seconds","","1.15","SolidProjectile","ToughWeapon","1005","7","0","99999","0.2","12","1","","","0","0","0","0","0.00272","2","0.25","","","","0","0","0"
"40mm PFHE","","14","512","0","0.88","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","40mm PFHE - Range 12km - Damage 1.25 - ETA 12 Seconds","","1.25","SolidProjectile","ToughWeapon","1025","7","0","99999","0.2","12","1","","","0","0","0","0","0.00272","2","0.25","","","","0","0","0"
"45mm F-75 HE","","14","512","0","1.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","45mm F-75 HE - Range 9.14km - Damage 1.62 - ETA 9 Seconds","","1.62","SolidProjectile","ToughWeapon","1080","5","0","99999","0.2","9.14","1","","","0","0","0","0","0.0025484","0","","","","","0","0","0"
"45mm OR-75 FRAG","","14","512","0","1.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","45mm OR-75 FRAG - Range 5km - Damage 1.65 - ETA 5 Seconds","","1.65","SolidProjectile","ToughWeapon","1080","7","0","99999","0.2","5","1","","","0","0","0","0","0.0023","0","","","","","0","0","0"
"57mm HCER","","14","512","0","2.8","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","57mm HCER - Range 17km - Damage 2.11 - ETA 18 Seconds","","2.11","SolidProjectile","ToughWeapon","950","5","0","99999","0.2","17","1","","","0","0","0","0","0.00302","0","","","","","0","0","0"
"57mm HE","","14","512","0","2.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","57mm HE - Range 13.8km - Damage 1.77 - ETA 14 Seconds","","1.77","SolidProjectile","ToughWeapon","1025","5","0","99999","0.2","13.8","1","","","0","0","0","0","0.002828","0","","","","","0","0","0"
"57mm PFHE","","14","512","0","2.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","57mm PFHE - Range 7.6km - Damage 1.67 - ETA 8 Seconds","","1.67","SolidProjectile","ToughWeapon","1025","7","0","99999","0.2","7.6","1","","","0","0","0","0","0.002456","0","","","","","0","0","0"
"57mm Tracer-FRAG","","14","512","0","2.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","57mm tracer-FRAG - Range 6.95km - Damage 1.72 - ETA 7 Seconds","","1.72","SolidProjectile","ToughWeapon","1020","15","0","99999","0.2","6.95","1","","","0","0","0","0","0.002417","0","","","","","0","0","0"
"76.2mm OS-62 FRAG","","14","512","0","5.9","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","76.2mm OS-62 FRAG - Range 15.7km - Damage 3.56 - ETA 17 Seconds","","3.56","SolidProjectile","ToughWeapon","980","5","0","99999","0.2","15.7","1","","","0","0","0","0","0.002942","0","","","","","0","0","0"
"76.2mm ZS-63 AA","","14","512","0","5.9","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","76.2mm ZS-63 AA - Range 15.7km - Damage 3.68 - ETA 17 Seconds","","3.68","SolidProjectile","ToughWeapon","980","15","0","99999","0.2","15.7","1","","","0","0","0","2","0.002942","0","","","","","0","0","0"
"76mm HE-MOM","","14","512","0","6.3","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","76mm HE-MOM - Range 18.4km - Damage 4.52 - ETA 21 Seconds","","4.52","76mm HE-MOM 0.8 FRAG","ToughWeapon","919","15","0","99999","0.2","18.4","1","","","0","0","5","0","0.003104","0","","","","","0","0","0"
"76mm HE-SAPOM","","14","512","0","6.3","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","76mm HE-SAPOM - Range 16km - Damage 5.18 - ETA 18 Seconds","","5.18","SolidPen0.45kg","ToughWeapon","919","7","0","99999","0.2","16","1","","","0","0","0","0","0.00296","0","","","","","0","0","0"
"76mm HE-SAPOMER","","14","512","0","6.6","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","76mm HE-SAPOMER - Range 20km - Damage 5.64 - ETA 22 Seconds","","5.64","SolidPen0.5kg","ToughWeapon","919","7","0","99999","0.2","20","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"AB 40mm L/60 HE-T","","14","512","0","0.93","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","1.15","BlastFrag0.1kg","ToughWeapon","1005","7","0","99999","0.1","7","1","","","0","0","5","2","0.00242","0","","","","","0","0","0"
"AGM-130","","21","512","900000","1323","0","1994","2999","","","","ball/icoGBAGM130.jpg","mk-84.xml","GBU-15 with rocket stage to increase range","modeling this as a glide bomb for now, could also try modeling using a missile with payload","1000","Blast420kg","ToughWeapon","0","5","200","12000","1","70","0.95","","","50","1","3","3","0.0032","0","","","","Maverick Infrared","-0.17","5","1"
"B-28 Mod1 1.1MT","","14","512","4038","912","0","1958","1962","","","","ball/icoB-28_1.1MT.jpg","mk-84.xml","B28 mod1 1.1MT thermonuclear weapon.","","1000","Nuclear-2000kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","362","1","0.0032","0","","","","","0","0","0"
"B-28 Mod2 350kT","","14","512","4038","912","0","1958","1962","","","","ball/icoB-28_350KT.jpg","mk-84.xml","B28 mod2 350kT thermonuclear weapon.","","1000","Nuclear-350kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","305","1","0.0032","0","","","","","0","0","0"
"B-28 Mod3 70kT","","14","512","4038","912","0","1958","1962","","","","ball/icoB-28_70KT.jpg","mk-84.xml","B28 mod3 70kT thermonuclear weapon.","","1000","Nuclear-70kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","239","1","0.0032","0","","","","","0","0","0"
"B-28 Mod5 1.45MT","","14","512","4038","912","0","1958","1962","","","","ball/icoB-28_1.45MT.jpg","mk-84.xml","B28 mod5 1.45MT thermonuclear weapon.","","1000","Nuclear-1450kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","377","1","0.0032","0","","","","","0","0","0"
"B-39 3.5MT","","14","512","4038","3040","0","1957","1966","","","","ball/icoB-39_3.5MT.jpg","mk-84.xml","B-39 3.5MT thermonuclear weapon.","","1000","Nuclear-3500kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","430","1","0.0032","0","","","","","0","0","0"
"B-41 25MT","","14","512","4038","7980","0","1956","1962","","","","ball/icoB-41_25MT.jpg","mk-84.xml","Mark 36 10MT thermonuclear weapon.","","1000","Nuclear-9600kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","500","1","0.0032","0","","","","","0","0","0"
"B-43 1MT","","14","512","4038","948","0","1961","1991","","","","ball/icoB-43_1MT.jpg","mk-84.xml","B-43 1MT thermonuclear weapon.","","1000","Nuclear-1000kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","357","1","0.0032","0","","","","","0","0","0"
"B-43 300kT","","14","512","4038","948","0","1961","1991","","","","ball/icoB-43_300KT.jpg","mk-84.xml","B-43 300kT thermonuclear weapon.","","1000","Nuclear-300kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","298","1","0.0032","0","","","","","0","0","0"
"B-43 700kT","","14","512","4038","948","0","1961","1991","","","","ball/icoB-43_700KT.jpg","mk-84.xml","B-43 700kT thermonuclear weapon.","","1000","Nuclear-700kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","338","1","0.0032","0","","","","","0","0","0"
"B-43 70kT","","14","512","4038","948","0","1961","1991","","","","ball/icoB-43_70KT.jpg","mk-84.xml","B-43 70kT thermonuclear weapon.","","1000","Nuclear-70kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","239","1","0.0032","0","","","","","0","0","0"
"B-53 1MT","","14","512","4038","4015","0","1962","2999","","","","ball/icoB-53_1MT.jpg","mk-84.xml","B-53 1MT thermonuclear weapon.","","1000","Nuclear-1000kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","357","1","0.0032","0","","","","","0","0","0"
"B-53 2.5MT","","14","512","4038","4015","0","1962","2999","","","","ball/icoB-53_2.5MT.jpg","mk-84.xml","B-53 2.5MT thermonuclear weapon.","","1000","Nuclear-2500kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","409","1","0.0032","0","","","","","0","0","0"
"B-53 5MT","","14","512","4038","4015","0","1962","2999","","","","ball/icoB-53_5MT.jpg","mk-84.xml","B-53 5MT thermonuclear weapon.","","1000","Nuclear-5000kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","454","1","0.0032","0","","","","","0","0","0"
"B-53 9MT","","14","512","4038","4015","0","1962","2999","","","","ball/icoB-53_9MT.jpg","mk-84.xml","B-53 9MT thermonuclear weapon.","","1000","Nuclear-9000kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","500","1","0.0032","0","","","","","0","0","0"
"B-57 Mod0 5kT","","14","512","4038","227","0","1963","1993","","","","ball/icoB-57_5KT.jpg","mk-84.xml","B-57 5kT nuclear weapon.","","1000","Nuclear-5kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","161","1","0.0032","0","","","","","0","0","0"
"B-57 Mod1 10kT","","14","512","4038","227","0","1963","1993","","","","ball/icoB-57_10KT.jpg","mk-84.xml","B-57 10kT nuclear weapon.","","1000","Nuclear-10kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","179","1","0.0032","0","","","","","0","0","0"
"B-57 Mod3 15kT","","14","512","4038","227","0","1963","1993","","","","ball/icoB-57_15KT.jpg","mk-84.xml","B-57 15kT nuclear weapon.","","1000","Nuclear-15kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","190","1","0.0032","0","","","","","0","0","0"
"B-57 Mod5 20kT","","14","512","4038","227","0","1963","1993","","","","ball/icoB-57_20KT.jpg","mk-84.xml","B-57 20kT nuclear weapon.","","1000","Nuclear-20kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","198","1","0.0032","0","","","","","0","0","0"
"B-61 10kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_10KT.jpg","mk-84.xml","B-61 10kT nuclear weapon.","","1000","Nuclear-10kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","179","1","0.0032","0","","","","","0","0","0"
"B-61 170kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_170KT.jpg","mk-84.xml","B-61 170kT nuclear weapon.","","1000","Nuclear-170kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","273","1","0.0032","0","","","","","0","0","0"
"B-61 1kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_1KT.jpg","mk-84.xml","B-61 1kT nuclear weapon.","","1000","Nuclear-1kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","126","1","0.0032","0","","","","","0","0","0"
"B-61 340kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_340KT.jpg","mk-84.xml","B-61 340kT nuclear weapon.","","1000","Nuclear-340kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","303","1","0.0032","0","","","","","0","0","0"
"B-61 5kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_5KT.jpg","mk-84.xml","B-61 5kT nuclear weapon.","","1000","Nuclear-5kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","161","1","0.0032","0","","","","","0","0","0"
"B-61 60kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_60KT.jpg","mk-84.xml","B-61 60kT nuclear weapon.","","1000","Nuclear-60kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","234","1","0.0032","0","","","","","0","0","0"
"B-61 80kT","","14","512","4038","320","0","1966","2999","","","","ball/icoB-61_80KT.jpg","mk-84.xml","B-61 80kT nuclear weapon.","","1000","Nuclear-80kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","244","1","0.0032","0","","","","","0","0","0"
"B-83 100kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_100KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 100kT setting.","","1000","Nuclear-100kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","252","1","0.0032","0","","","","","0","0","0"
"B-83 1200kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_1.2MT.jpg","mk-84.xml","Variable Yield B-83 bomb, 1200kT setting.","","1000","Nuclear-1200kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","366","1","0.0032","0","","","","","0","0","0"
"B-83 200kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_200KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 200kT setting.","","1000","Nuclear-200kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","280","1","0.0032","0","","","","","0","0","0"
"B-83 25kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_25KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 25kT setting.","","1000","Nuclear-25kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","205","1","0.0032","0","","","","","0","0","0"
"B-83 400kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_400KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 400kT setting.","","1000","Nuclear-400kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","311","1","0.0032","0","","","","","0","0","0"
"B-83 50kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_50KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 50kT setting.","","1000","Nuclear-50kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","227","1","0.0032","0","","","","","0","0","0"
"B-83 800kT","","14","512","3100","1100","0","1983","2999","","","","ball/icoB-83_800KT.jpg","mk-84.xml","Variable Yield B-83 bomb, 800kT setting.","","1000","Nuclear-800kT","ToughWeapon","0","5","0","99999","0.2","20","1","","","0","0","345","1","0.0032","0","","","","","0","0","0"
"BLU-1/B","","14","512","3100","947","0","1960","2999","","","","ball/mk84ico.jpg","mk-84.xml","340 kg unfinned Napalm tank","","1000","Blast400kg","ToughWeapon","0","5","200","99999","0.2","20","1","","","0","0","0","1","0.0126","0","","","","","0","0","0"
"Breda 40/70L","","14","512","0","0.96","0","1960","2999","","","","ball/gunammoico.jpg","5-inch.xml","","Marcos","1.3","SolidProjectile","ToughWeapon","1005","11","0","99999","0.2","12","1","","","0","0","0","2","0.00272","0","","","","","0","0","0"
"FAB-100","","14","512","5000","100","0","1900","2999","","","","ball/icoFAB-100.jpg","mk-84.xml","100 kg gravity bomb","","500","BlastFrag45kg","ToughWeapon","0","4","200","99999","0.2","20","1","","","0","0","0","1","0.0042","0","","","","","0","0","0"
"FAB-250","","14","512","5000","250","0","1900","2999","","","","ball/icoFAB-250.jpg","mk-84.xml","250 kg gravity bomb","","500","BlastFrag92.5kg","ToughWeapon","0","4","200","99999","0.2","20","1","","","0","0","0","1","0.0042","0","","","","","0","0","0"
"FAB-500","","14","512","5000","500","0","1900","2999","","","","ball/icoFAB-500.jpg","mk-84.xml","500 kg gravity bomb","","500","BlastFrag210kg","ToughWeapon","0","4","200","99999","0.2","20","1","","","0","0","0","1","0.0042","0","","","","","0","0","0"
"GB-200","","14","512","500","200","0","1900","2999","","","","ball/icoGB-200.jpg","mk-82.xml","200 kg gravity bomb","","200","Pen70kg","ToughWeapon","0","4","200","99999","0.2","20","1","","","0","0","0","1","0.0042","0","","","","","0","0","0"
"GB-500","","14","512","5000","500","0","1900","2999","","","","ball/icoGB-500.jpg","mk-84.xml","500 kg gravity bomb","","500","Pen225kg","ToughWeapon","0","4","200","99999","0.2","20","1","","","0","0","0","1","0.0042","0","","","","","0","0","0"
"GBU-1/B","","21","512","","406","0","1976","2999","","","","ball/icoGBU-1.jpg","mk-84.xml","Paveway I M117 LGB, world's first laser guided bomb","Handheld laser designator from back of F-4. Need laser designator on attacking aircraft for this to work.  Uses M117 as its payload.","1000","Blast185kg","ToughWeapon","0","5","200","4000","0.2","5","1","","","0","0","0","3","0.0023","0","","","","Laser seeker 10km","-0.25","25","0"
"GBU-10/B","","21","512","25000","1066","0","1976","2999","","","","ball/icoGBU-10.jpg","mk-84.xml","Paveway II Mk-84 LGB","Lofting isn't modeled so can't only use glide slope as range restriction for now. Range 8 NM according to FAS. Need laser designator on attacking aircraft for this to work.  Uses mk-84 as its payload","1000","Blast400kg","ToughWeapon","0","5","200","10000","0.2","20","1","","","0","0","0","3","0.0032","0","","","","Laser seeker 20km","-0.25","9","0"
"GBU-11/B","","21","512","","1415","0","1976","2999","","","","ball/icoGBU-11.jpg","mk-84.xml","Paveway I M118 LGB","Need laser designator on attacking aircraft for this to work.  Uses M118 as its payload.","1000","Blast680kg","ToughWeapon","0","5","200","10000","0.2","15","1","","","0","0","0","3","0.0029","0","","","","Laser seeker 15km","-0.25","9","0"
"GBU-12/B","","21","512","","275","0","1970","2999","","","","ball/icoGBU-12.jpg","mk-84.xml","Paveway II Mk-82 LGB","Need laser designator on attacking aircraft for this to work.  Uses MK-82 as its payload.","1000","Blast100kg","ToughWeapon","0","5","200","10000","0.2","15","1","","","0","0","0","3","0.0029","0","","","","Laser seeker 15km","-0.25","9","0"
"GBU-15/B","","21","512","200000","454","0","1970","2999","","","","ball/icoGBU-15.jpg","mk-84.xml","Precision guided glide bomb based on Mk-83","GBU-15(V)2/B imaging IR. No need for laser designator.  Uses mk-83 as its payload.","1000","Blast420kg","ToughWeapon","0","5","200","12000","1","15","1","","","20","1","3","3","0.0029","0","","","","Maverick Infrared","-0.32","5","1"
"GBU-16/B","","21","512","","454","0","1970","2999","","","","ball/icoGBU-16.jpg","mk-84.xml","Paveway II Mk-83 LGB","Need laser designator on attacking aircraft for this to work.  Uses mk-83 as its payload.","1000","Blast200kg","ToughWeapon","0","5","200","10000","0.2","15","1","","","0","0","0","3","0.0029","0","","","","Laser seeker 15km","-0.25","9","0"
"GBU-24B/B","","21","512","56000","1066","0","1983","2999","","","","ball/icoGBU-24B.jpg","mk-84.xml","Paveway III BLU-109 LGB","Need laser designator on attacking aircraft for this to work.  Uses BLU-109 as its payload.","1000","Pen250kg","ToughWeapon","0","5","200","10000","0.2","20","1","","","0","0","0","3","0.0032","0","","","","Laser seeker 20km","-0.25","2.5","0"
"GBU-24/B","","21","512","","1066","0","1983","2999","","","","ball/icoGBU-24.jpg","mk-84.xml","Paveway III Mk-84 LGB","Need laser designator on attacking aircraft for this to work.  Uses mk-84 as its payload.","1000","Blast400kg","ToughWeapon","0","5","200","10000","0.2","20","1","","","0","0","3","3","0.0032","0","","","","Laser seeker 20km","-0.25","2.5","0"
"GBU-27","","21","512","55000","1066","0","1987","2999","","","","ball/icoGBU-27.jpg","mk-84.xml","Paveway III BLU-109 LGB","Need laser designator on attacking aircraft for this to work.  Uses BLU-109 as its payload.","1000","Pen250kg","ToughWeapon","0","5","200","10000","0.2","20","1","","","0","0","0","3","0.0032","0","","","","Laser seeker 20km","-0.25","5","0"
"GBU-28B/B","","21","512","","2268","0","1991","2999","","","","ball/icoGBU-28.jpg","mk-84.xml","Paveway II LGB.  unlike other GBU's, this weapon is not a guidance package strapped to a bomb that was already in inventory.  Instead this is a single unit.  In the 1991 gulf war, Saddam's main command bunkers were so durable that the US had nothing able to penetrate it, they had hit the building repeatedly and only managed superficial damage to the building for their efforts.  After an unprecedented design and test period, the weapon went from a need to a weapon in service in just two weeks.  It proved VERY capable of deep penetrations.","Need laser designator on attacking aircraft for this to work.","1000","Pen270kg","ToughWeapon","0","5","200","10000","0.2","10","1","","","0","0","0","3","0.0026","0","","","","Laser seeker 10km","-0.25","9","0"
"GBU-31(V)1/B","","21","512","20000","947","0","2001","2999","","","","ball/icoGBU-31A.jpg","mk-84.xml","JDAM guided version of Mk-84","modeling this as the GPS/INS guidance version, not the dual-mode version that can do either laser guidance or GPS guidance.  Uses mk-84 as its payload.","1000","Blast420kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-31A(v)2","","21","512","20000","947","0","2001","2999","","","","ball/icoGBU-31A.jpg","mk-84.xml","JDAM guided version of Mk-84","modeling this as the GPS/INS guidance version, not the dual-mode version that can do either laser guidance or GPS guidance.  Uses mk-84 as its payload.","1000","Blast420kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-31B(v)2","","21","512","20000","947","0","2001","2999","","","","ball/icoGBU-31B.jpg","mk-84.xml","JDAM guided version of BLU-116/B","modeling this as the GPS/INS guidance version, not the dual-mode version that can do either laser guidance or GPS guidance.  Uses BLU-116/B as its payload.","1000","Pen420kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","0"
"GBU-31C(v)4","","21","512","20000","981","0","2001","2999","","","","ball/icoGBU-31C.jpg","mk-84.xml","JDAM guided version of BLU-109/B","modeling this as the GPS/INS guidance version, not the dual-mode version that can do either laser guidance or GPS guidance.  Uses BLU-109/B as its payload.","1000","Pen420kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-32","","21","512","3100","1000","0","2002","2999","","","","ball/icoGBU-32A.jpg","mk-84.xml","JDAM guided version of Mk-83","GPS guidance only.  Uses mk-83 as its payload.","500","Blast200kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-32A(v)2","","21","512","3100","468","0","2002","2999","","","","ball/icoGBU-32A.jpg","mk-84.xml","JDAM guided version of Mk-83","GPS guidance only.  Uses mk-83 as its payload.","500","Blast200kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-32B(v)2","","21","512","3100","468","0","2002","2999","","","","ball/icoGBU-32B.jpg","mk-84.xml","JDAM guided version of BLU-110/B","GPS guidance only.  Uses BLU-110/B as its payload.","500","Pen200kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-32C(v)4","","21","512","3100","468","0","2002","2999","","","","ball/icoGBU-32C.jpg","mk-84.xml","JDAM guided version of BLU-110/B","GPS guidance only.  Uses BLU-110/B as its payload.","500","Pen200kg","ToughWeapon","0","5","200","10000","0.2","40","1","","","0","0","0","3","0.0032","0","","","","GPS -Seeker-","-0.25","10","1"
"GBU-39 SDB","","21","512","20000","129","0","2001","2999","","","","ball/icoGBU-39.jpg","mk-84.xml","Small Diameter Bomb (SDB) 250 lb (113 kg) guided bomb effective vs non-moving targets","Not effective vs moving targets. Used Wikipedia 110 km standoff. Blast100kg to model more potent explosives.","1000","Blast100kg","ToughWeapon","0","5","200","12000","0.2","110","0.99","","","40","1","0","3","0.0032","0","","","","GPS -Seeker-","-0.1","6.5","1"
"Gen100AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","10","1","","","0","0","0","2","0.0026","0","","","","","0","0","0"
"Gen105AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","10.5","1","","","0","0","0","2","0.00263","0","","","","","0","0","0"
"Gen105ART","","14","512","0","15","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic ART Ammo.","","0","Blast3.5kg","ToughWeapon","645","5","0","99999","0","14.5","1","","","0","0","0","0","0.00287","0","","","","","0","0","0"
"Gen105AT","","14","512","0","10.3","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AT Ammo.","maximum range is 8975m, but maximum combat effective is 1500m.","0","SolidPen0.95kg","ToughWeapon","1173.5","5","0","99999","0","1.5","1","","","0","0","0","0","0.00195","0","","","","","0","0","0"
"Gen10AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","1","1","","","0","0","0","2","0.0019","0","","","","","0","0","0"
"Gen115AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","11.5","1","","","0","0","0","2","0.00269","0","","","","","0","0","0"
"Gen120AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","12","1","","","0","0","0","2","0.00272","0","","","","","0","0","0"
"Gen125AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","12.5","1","","","0","0","0","2","0.00275","0","","","","","0","0","0"
"Gen127AA","","14","512","0","0.39","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","Generic AA Ammo.","","0","BlastFrag0.4kg","ToughWeapon","1080","6","0","99999","0.1","12.8","1","","","0","0","0","2","0.002768","0","","","","","0","0","0"
