DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes nextutmeric,DisplayName text,Capacity numeric,MaxVolume_m3 numeric,MaxWeight_kg numeric,MoveTime_s numeric,Class1 text,Class2 text,Class3 text,Class4 text
"Emery Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","12320","0","0","60","20mm APT percussion","","",""
"Famous Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","14440","0","0","60",".50 cal bullet","76mm HE-MOM","40mm HE-T",""
"Fletcher Primary Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Primary Amunition Bunker","2520","","0","0","RUR-4","127mm mk 32;127mm mk 34 AAC","",""
"Fletcher Secondary Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Secondary Amunition Magazine","6500","","0","0","20mm HE-T","40mm HE Mk1 Md1 x2","",""
"Fletcher Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Racking","0","60","0","0","Mk-15 Mod0;Mk-44;Mk-16 Mod6","Mk-9 DC;Dart Test","",""
"French Combat Stores","","0","0","0","0","0","1900","2999","","","","","","","","Misc Combat Stores","1048","0","0","0","L5 Mod4;MU-90","Decoy-1;Chaff-Round-1;Ship Flare-2","20mm F2;12.7mm B-30 AP",""
"Fuel depot","","0","0","0","0","0","1900","2999","","","","","","Generic fuel storage for base","","Fuel Depot","10000000","0","0","10","Fuel","","",""
"Fuel tank 26000","","0","0","0","0","0","1900","2999","","","","","","Fuel hold with 26000 barrel capacity","","Fuel Tank","0","0","23300000","300","Fuel","","",""
"Gen Arty 105mm Machine Gun ammo","","0","0","0","0","0","1900","2999","","","","","","","","Machine Gun Ammo Box","300","0","0","0","12.7mm B-32 APi;12.7mm B-30 AP","","",""
"Generic Machine Gun Ammo 600 Rounds","","0","0","0","0","0","1900","2999","","","","","","Generic Stores for machine gun ammo clips.","","Machine Gun Ammo","600","0","0","120","","","",""
"Generic Store (12)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","12","0","0","0","","","",""
"Generic Store (18)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","18","0","0","0","","","",""
"Generic Store (24)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","24","0","0","0","","","",""
"Generic Store (30)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","30","0","0","0","","","",""
"Generic Store (36)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","36","0","0","0","","","",""
"Generic Store (6)","","0","0","0","0","0","1900","2999","","","","","","","","Generic Magazine","6","0","0","0","","","",""
"Generic Stores","","0","0","0","0","0","1900","2999","","","","","","Generic Stores for ammo clips, cargos, whatever an aux. Ship might have aboard","","Generic Stores","10000000","0","0","120","","","",""
"Generic Sub UGM Magazine","","0","0","0","0","0","1900","2999","","","","","","test magazine","","UGM Mag","30","0","0","10","UGM-84C","SS-N-7","",""
"Generic stores","","0","0","0","0","0","1900","2999","","","","","","","","Airfield Stores","9000000","0","0","300","","","",""
"Generic sub torpedo magazine","","0","0","0","0","0","1900","2999","","","","","","test","","Torpedo Mag","16","0","0","10","MK-T1","","",""
"Goalkeeper Store","","0","0","0","0","0","1900","2999","","","","","","","","Goalkeeper Store","578","0","0","0","30mm PGU-14/B API","30mm PGU-13/B HE-I","",""
"Goalkeeper x1 Store","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","474","0","0","60","30mm PGU-14/B API","","",""
"Gotland Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Racks","20","48","0","360","Type-613 Torpedo","Type-431 Torpedo","",""
"Guardian Ammo Box","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Box","4916","0","0","60",".30 cal bullet",".50 cal bullet","",""
"Guiseppe Garibaldi Fuel Supply","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Fuel Storage","640000","0","0","60","Fuel","","",""
"Guiseppe Garibaldi Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Weapons Storage","900000","0","1523500","300","","","",""
"HQ-61 6pk 24 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Surface to Air Missile Magazine","24","0","0","0","HQ-61B","HQ-61C","",""
"HQ-61 Twin x2 32 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Surface to Air Missile Magazine","32","0","0","0","HQ-61B","HQ-61C","",""
"HQ-7 Magazine","","0","0","0","0","0","1900","2999","","","","","","Below-decks magazine for HQ-7 SAMs.","[greengills]","HQ-7 Mag","16","0","0","90","HQ-7","","",""
"Hai Lung magazine","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Mag","12","25","0","60","AEG-SUT","UGM-84D Harpoon","",""
"Hai Shih Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Amunition Magazine","2000","","","0","40mm HE-T;40mm PFHE;20mm HE-T","","",""
"Hai Shih Torpedo Magazine","","0","0","0","0","0","1900","2999","","","","","","Hai Shih Torpedo Magazine","[phoenixegmh]","Torp Mag","28","0","0","600","","","53-65M",""
"Hamburg Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","assumes 3 m3 vol for each torpedo","Torpedo Magazine","15","45","0","60","Mk-15 Mod0;Mk-44;Mk-46 Mod5","","",""
"Hamilton Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","8240","0","0","60","25mm APDS","76mm HE-MOM","",""
"Harpers Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","32000","0","0","60","25mm APDS",".50 cal bullet","",""
"Harpers Missile Mag","","0","0","0","0","0","1900","2999","","","","","","","","Missile Magazine","126","0","0","60","RIM-116A RAM","","",""
"Hermes Carrier Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Weapons Storage","0","0","4040300","300","","","",""
"Hero Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","8240","0","0","60","25mm APDS","76mm HE-MOM","",""
"Hobart Gun/CM Magazine","","0","0","0","0","0","1900","2999","","","","","","Hobart DDG gun ammunition and countermeasure expendables magazine.","[greengills]","Gun/CM Mag","80","0","0","600","20mm Mark 149-4","Chaff-2","Flare-2","Mk-53 Nulka Hovering Decoy"
"Hobart Helo Fuel Bunker","","0","0","0","0","0","1900","2999","","","","","","Hobart DDG aviation fuel bunker","[greengills]","Fuel Bunker","60000","0","0","180","Fuel","","",""
"Hobart Torpedo Magazine","","0","0","0","0","0","1900","2999","","","","","","Hobart DDG torpedo and aviation magazine.","[greengills]","Torp Mag","36","0","0","600","MU-90","Mk-46 Mod5","Mk-50",""
"Hyuga Aircraft Stores","","0","0","0","0","0","1900","2999","","","","","","","","Aircraft Stores","10000","1000","16000","300","","","",""
"Invincible Carrier Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Weapons Storage","0","0","2900000","300","","","",""
"Iowa Main Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Main Amunition Bunker","1210","","0","0","406mm Mk13 HC;406mm Mk8 AP","","",""
"Iowa Secondary Magazine (1982)","","0","0","0","0","0","1900","2999","","","","","","","","Secondary Amunition Bunker","5400","","0","0","","127mm mk 32;127mm mk 34 AAC","",""
"Iowa Secondary Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Secondary Amunition Bunker","9000","","0","0","","127mm mk 32;127mm mk 34 AAC","",""
"Iowa Tertiary Magazine","","0","0","0","0","0","1900","2999","","","","","","","20k rounds of 40mm.  500 per gun for 20mm, and 50 rounds, so 25k 20mm.","Tertiary Amunition Bunker","45000","","0","0","20mm HE-T x10","40mm HE Mk1 Md1 x8","",""
"Island Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","16580","0","0","60","25mm APDS",".30 cal bullet","",""
"Japanese ASW Magazine","","0","0","0","0","0","1900","2999","","","","","","","","ASW Magazine","400","120","0","45","Mk-9 DC;Hedgehog;375mm Bofors ASRL;RUR-4A Weapon Alfa","","",""
"Japanese Ship Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Racks","12","24","6120","45","Mk-15 Mod0","","Mk-50;Mk-54;Mk-46 Mod5;Mk-44",""
"Juniper Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","16000","0","0","60",".50 cal bullet","25mm APDS","",""
"KA-25 1.1 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","23500.6","7598.734","39836","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 1.2 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","46598.6","15160.4","66526","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 1.3 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","69744.6","22722.65","93696","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 2.1 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","23791.2","7624.509","49037","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 2.2 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","46963.2","15191.05","77597","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 2.3 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","70207.2","22758.45","106877","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KA-25 3.3 Support","","0","0","0","0","0","1900","2999","","","","","","","","KA-25 Helo Support Stores","70669.8","22794.26","120058","45","Fuel","APR-2","AT-1","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"KC-135R CARGO","","0","0","0","0","0","1900","2999","","","","","","KC-135R Cargo Bay","Scott Daniels [lancaaster123]","Cargo Bay","","","23409","5400","","","",""
"Kang Ding Combat Stores","","0","0","0","0","0","1900","2999","","","","","","","","Misc Combat Stores","1048","0","0","0","","","20mm F2",""
"Kang Ding Helo Stores","","0","0","0","0","0","1900","2999","","","","","","Stores on the Kang Ding class FFG to support S-70C Thunderhawk Ops","[phoenixegmh]","Helo Support Stores","15454","4977","27764","45","Fuel","Chaff-1;Flare-1","Mk-46 Mod5","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"Kashtan SA-N-11 Magazine x 4","","0","0","0","0","0","1900","2999","","","","","","Below-decks magazine for four Kashtan missile defence mounts,","[greengills]","Kashtan Mag","128","0","0","70","9M311 Kashtan","","",""
"Kashtan SA-N-11 Magazine x 8","","0","0","0","0","0","1900","2999","","","","","","Below-decks magazine for eight Kashtan missile defence mounts,","[greengills]","Kashtan Mag","256","0","0","70","9M311 Kashtan","","",""
"Kashtan x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Missile Magazine","48","0","0","60","9M311 Kashtan","","",""
"Kashtan x6 Store","","0","0","0","0","0","1900","2999","","","","","","","","Missile Magazine","144","0","0","60","9M311 Kashtan","","",""
"Kawasaki C-1 Cargo Bay","","0","0","0","0","0","1900","2999","","","","","","Kawasaki C-1 Cargo Bay","[phoenixegmh]","Cargo Bay","10000","0","11900","5400","","","",""
"Kresta I Sam Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Sam Storage","64","0","0","15","V-601","","",""
"Kresta II Sam Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Sam Storage","48","0","0","15","V-611","","",""
"Kresta Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Magazine","20","0","0","60","","53-65M","",""
"L Torpedo Racks 12 rounds","","0","0","0","0","0","1900","2999","","","","","","","L5 Torpedo Magazine","Torpedo Magazine","12","","0","0","L5 Mod4;L5 Mod 4; L3; L3 Mod 2","","",""
"L Torpedo Racks 20 Rounds","","0","0","0","0","0","1900","2999","","","","","","","L5 Torpedo Magazine","Torpedo Magazine","20","","0","0","L5 Mod4;L5 Mod 4; L3; L3 Mod 2","","",""
"L5 Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","L5 Torpedo Magazine","Torpedo Magazine","8","","0","0","L5 Mod4;L5 Mod 4","","",""
"LCAC LCAC Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","4000","0","0","60","30mm APFSDS-T","","",""
"LCU-1600 Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","24000","0","0","60",".50 cal bullet","","",""
"LPB PBF Ammo Box","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Box","7287","0","0","60",".30 cal bullet",".50 cal bullet","",""
"LUPO CHAFF","","0","0","","","","1900","2999","","","","","","","","","12","0","0","120","ALEX chaff","","",""
"LUPO VCHAFF","","0","0","","","","1900","2999","","","","","","","","","12","0","0","120","SCLAR","","",""
"LY-60N twin x2 32 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Surface to Air Missile Magazine","32","0","0","0","LY-60N","","",""
"Leander A Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","1814","0","0","60","114mm/53 mk6 SAP","20mm APT Percussion","",""
"Leander Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","1814","0","0","60","114mm/53 mk6 SAP","40mm HE-T","",""
"Legend WMSL Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","24840","0","0","60","57mm HCER",".50 cal bullet","",""
"Long Beach ASROC Reloads","","0","0","0","0","0","1900","2999","","","","","","","","ASROC Reloads","16","48","6120","45","RUR-5 ASROC","","",""
"Long Beach Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Racks","18","36","6120","45","","","Mk-50;Mk-54;Mk-46 Mod5;Mk-44",""
"Long beach Deck Gun Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Amunition Bunker","1260","","0","0","","127mm mk 32;127mm mk 34 AAC","",""
"Lupo helo fuel","","0","0","","","","1900","2999","","","","","","","","","20000","0","0","30","Fuel","","",""
"Lupo torpedos","","0","0","","","","1900","2999","","","","","","","","","6","0","0","600","A-244S","","",""
"Luyang/Luzhou Gun/CM Magazine","","0","0","0","0","0","1900","2999","","","","","","Luyang I, Luyang II and Luzhou DDGHM gun ammunition and countermeasure expendables magazine.","[greengills]","Gun/CM Mag","80","0","0","600","30mm OP-84 FRAG Tracer AK-306","Chaff-2","Flare-2",""
