DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,InitialYear numeric,FinalYear numeric,Country text,Designation text,MaxSpeed_kts numeric,Accel_ktsps numeric,TurnRate_degps numeric,FuelCapacity_kg numeric,FuelRate_kgps numeric,Toughness numeric,DamageEffect text,RCS_dBsm numeric,RCS_Model text,OpticalCrossSection_dBsm text,IRSignature_dB numeric,IR_ModelA text,IR_ModelB text,IR_ModelC text,EffectiveHeight_m numeric,TS numeric,TS_Model text,AcousticModel text,SL_Model nextumteric,MaxTakeoffWeight_kg numeric,MaxAltitude_m numeric,ClimbRate_mps numeric,Gmax numeric,MinimumRunway_m numeric,IsCarrierCompatible numeric,OutFuelPods numeric,FuelOut_kgps numeric,FuelIn_kgps numeric,MaintenanceMin_s numeric,MaintenanceMax_s numeric,MilitaryThrust_N numeric,MilitaryThrustSpeedSlope real,ABThrust_N numeric,ABThrustSpeedSlope real,ABFuelRate_kgps numeric,Cdpsub numeric,Cdptran numeric,Cdpsup numeric,Mcm numeric,Msupm numeric,CruiseSpeed_mps numeric,StallSpeed_mps numeric,T2 numeric,T4 numeric,T6 numeric,T8 numeric,T10 numeric,T12 numeric,T16 numeric,T20 numeric,T25 numeric,T30 numeric,FE2 numeric,FE4 numeric,FE6 numeric,FE8 numeric,FE10 numeric,FE12 numeric,FE16 numeric,FE20 numeric,FE25 numeric,FE30 numeric
"AJ-1","","12","33","","13960","0","","air/AdvicoAJ1.jpg","harrier-gr3.xml","","","1949.415","1956","USA","Bomber","455","22.39","8","6433.56","1","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_Super_M1.1","0","-999","Default","Default","Default","24494","12435","14.732","4","432.8","1","0","0","0","3600","10800","57335.6","-0.0021","77797.6","-0.00105","0.17","2","3","2.4","0.8","1.2","60.4472","37.25","0.9","0.84","0.75","0.67","0.552","0.41","0.05","0","0","0","0.95","0.92","0.88","0.93","1.03","1.2","2.2","5","20","40"
"AJ-2","","12","33","","13960","0","","air/AdvicoAJ2.jpg","harrier-gr3.xml","","","1952.25","1961","USA","Bomber","455","22.39","8","6433.56","1","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_Super_M1.1","0","-999","Default","Default","Default","24494","12435","14.732","4","436","1","0","0","0","3600","10800","57335.6","-0.0021","77797.6","-0.00105","0.17","2","3","2.4","0.8","1.2","60.4472","37.25","0.9","0.84","0.75","0.67","0.552","0.41","0.05","0","0","0","0.95","0.92","0.88","0.93","1.03","1.2","2.2","5","20","40"
"AJ-2P","","12","33","","14470","0","","air/AdvicoAJ2P.jpg","harrier-gr3.xml","","","1952.25","1962","USA","Bomber","455","22.39","8","7603.6","1","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_M0.85","IR_FW_M_H_P_2_Super_M1.1","0","-999","Default","Default","Default","23406","12344","14.732","4","436","1","0","0","0","3600","10800","57335.6","-0.0021","77797.6","-0.00105","0.17","2","3","2.4","0.8","1.2","60.4472","37.25","0.9","0.84","0.75","0.67","0.552","0.41","0.05","0","0","0","0.95","0.92","0.88","0.93","1.03","1.2","2.2","5","20","40"
"Alpha Jet","","12","33","15000000","3515","0","","air/AdvicoALPHA.jpg","f-4.xml","Alpha jet","","1978","2999","","Strike Fighter","800","12.89","12","1520","0.6","1","AirDmg1","11.3","AirRCS1","5.53","0","IR_FW_S_F_HP_2_M0.85","IR_FW_S_F_HP_2_AB_M0.85","IR_FW_S_F_HP_2_Super_M1.1","0","-999","Default","Default","Default","8000","13700","61","6","520","0","0","0","0","3600","10800","26480","0","26480","0","0.6","0.27","0.35","0.25","0.8","1.3","110","60","1","1","0.9","0.75","0.55","0.25","0.08","0.01","0.01","0.01","0.94","0.96","1.06","1.2","2","3","5","10","60","200"
"AV-8A Harrier","","12","33","15000000","5600","0","av8b.jpg","air/AdvicoHarrierAV8A.jpg","harrier-gr3.xml","Essentially a Harrier GR.Mk.1 with the GR.Mk.3's Pegasus 103 engine for the US Marine Corps. First generation Harrier along with GR1/GR3.","","1971","1979","USA","Strike Fighter","574.83","24.87","29.88","2311","1.5","1","AirDmg1","11.3","AirRCS1","4.19","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11400","15500","70","8","0","1","0","0","20","3600","10800","74898.21","0","96138","0","2.84","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"AV-8B Harrier II","","12","33","15000000","6000","0","av8b.jpg","air/AdvicoHarrierAV8B.jpg","harrier-gr3.xml","Additional pylons, such as an AIM-9/matra pylon infront of the landing gear, and an additional pylon on the outer wing for AAM's, as well as a payload increase of the weapons","","1983","2003","USA","Strike Fighter","574.83","19.94","33.61","3467.5","1.6","1","AirDmg1","11.3","AirRCS1","5.28","0","IR_FW_L_F_HP_1_M0.85","IR_FW_L_F_HP_1_AB_M0.85","IR_FW_L_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","14000","15000","75","8","0","1","0","0","20","3600","10800","75662.48","0","97119","0","2.19","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"AV-8B Harrier II NA","","12","33","15000000","6000","0","av8b.jpg","air/AdvicoHarrierAV8BNA.jpg","harrier-gr3.xml","","","1989","2003","USA","Strike Fighter","574.83","22.16","31.88","3467.5","1.6","1","AirDmg1","11.3","AirRCS1","5.28","0","IR_FW_L_F_HP_1_M0.85","IR_FW_L_F_HP_1_AB_M0.85","IR_FW_L_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","14000","15000","75","8","0","1","0","0","20","3600","10800","84069.4","0","107910","0","2.44","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"AV-8B Harrier II+","","12","33","15000000","6600","0","av8b.jpg","air/AdvicoHarrierAV8B+.jpg","harrier-gr3.xml","","","1992","2999","USA","Strike Fighter","574.83","20.84","31.88","3467.5","1.6","1","AirDmg1","11.3","AirRCS1","5.28","0","IR_FW_L_F_HP_1_M0.85","IR_FW_L_F_HP_1_AB_M0.85","IR_FW_L_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","14000","15000","75","8","0","1","0","0","20","3600","10800","84069.4","0","107910","0","2.44","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"AV-8B Harrier II+(Italy)","","12","33","15000000","6600","0","av8b.jpg","air/AdvicoHarrierAV8B+.jpg","harrier-gr3.xml","","","1994","2999","Italy","Strike Fighter","574.83","20.84","31.88","3467.5","1.6","1","AirDmg1","11.3","AirRCS1","5.28","0","IR_FW_L_F_HP_1_M0.85","IR_FW_L_F_HP_1_AB_M0.85","IR_FW_L_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","14000","15000","75","8","0","1","0","0","20","3600","10800","84069.4","0","107910","0","2.44","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"AV-8C Harrier","","12","33","15000000","5670","0","av8b.jpg","air/AdvicoHarrierAV8C.jpg","harrier-gr3.xml","Incorporates a number of the changes intended for the AV-8B.  Aomng them are secure radios, new ejector seat, ALE-39 chaff and flare launchers, radar warnng receiver, and numerous cockpit alterations.  The total weight penalty of the upgrades was just 89.4kg.","","1979","1987","USA","Strike Fighter","574.83","24.87","29.88","2311","1.3","1","AirDmg1","11.3","AirRCS1","4.19","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","12500","15500","70","8","0","1","0","0","20","3600","10800","74898.21","0","96138","0","2.84","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"B-1B","","12","33","290000000","87100","0","b1b.jpg","air/AdvicoB1B.jpg","B-1B Lancer.xml","B-1B Lancer","","1986","2999","USA","Bomber","750","20","10","95000","5.3","3","AirDmg2","9","AirRCS1","14.08","0","IR_FW_L_H_HP_4_M0.85","IR_FW_L_H_HP_4_AB_M0.85","IR_FW_L_H_HP_4_Super_M1.2","0","-999","Default","Default","Default","216000","18000","20","5","2500","0","0","0","40","3600","10800","260000","0","548000","0","20","4.5","6","7","1.2","1.25","100","50","0.95","0.9","0.85","0.8","0.7","0.5","0.3","0.2","0","0","1","0.95","0.9","0.85","0.92","1","1.4","4","4","4"
"B-66B","","12","33","","19295","0","","air/AdvicoB66B.jpg","harrier-gr3.xml","","","1956","1973","USA","Bomber","625","22.39","8","13408","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","37650","12588","31.24","4","1750","1","0","0","30","3600","10800","91600","0.0042","91600","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"Buccaneer S1","","12","33","","13608","0","","air/AdvicoBUCS1.jpg","harrier-gr3.xml","","","1962.6","1971","UK","Bomber","600","22.39","20","5695","1.5859","1","AirDmg1","12","AirRCS1","4.3","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","28123","12200","46","3","0","1","0","0","20","3600","10800","71200","0.001","71200","0.001","1.5859","1.35","2.7","4.05","0.85","1.2","90","45","0.95","0.9","0.85","0.76","0.65","0.5","0.22","0.04","0","0","0.98","0.95","0.9","0.95","1.1","1.5","2.5","5","20","40"
"Buccaneer S2","","12","33","","13608","0","","air/AdvicoBUCS2.jpg","harrier-gr3.xml","","","1965.62","1994","UK","Bomber","600","22.39","20","5695","2.2541","1","AirDmg1","12","AirRCS1","4.3","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","28123","12200","46","3","0","1","0","0","20","3600","10800","101200","0.001","101200","0.001","2.2541","1.35","2.7","4.05","0.85","1.2","90","45","0.85","0.9","0.85","0.76","0.65","0.5","0.22","0.04","0","0","0.98","0.95","0.9","0.95","1.1","1.5","2.5","5","20","40"
"CF-18","","12","33","40000000","11200","0","fa18c.jpg","air/AdvicoCF18.jpg","f-18.xml","CF-18 Hornet","","1983","2999","Canada","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"CF-18 p.I","","12","33","40000000","11200","0","fa18c.jpg","air/AdvicoCF18p1.jpg","f-18.xml","CF-18 Hornet Phase I.  Incorporates the more powerful APG-73 radar, support for AIM-120 Amraam, and numerous other updates, many not yet possible in GCB.","","1983","2999","Canada","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"E-1B","","12","33","","10040","0","","air/AdvicoE1B.jpg","harrier-gr3.xml","","","1957","1964.704","USA","AEW","725","22.39","14","4576.08","0.95","1","AirDmg1","12","AirRCS1","4.3","0","IR_FW_M_H_TP_2_M0.85","IR_FW_M_H_TP_2_M0.85","IR_FW_M_H_TP_2_Super_M1.1","0","-999","Default","Default","Default","15950","13000","74","6","0","1","0","0","20","3600","10800","44500","0.00408","64100","0.0051","2.196","1.0667","1.6","1.28","0.85","1.2","90","45","0.81","0.645","0.51","0.406","0.3195","0.2355","0.08","0","0","0","0.98","0.95","0.9","0.95","1.1","1.5","2.5","5","20","40"
"EA-1E","","12","33","","4787","0","","air/AdvicoEA1E.jpg","harrier-gr3.xml","","","1947","1953","USA","AEW","350","22.39","22","1156","0.17","1","AirDmg1","13","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"EA-1F","","12","33","","4787","0","","air/AdvicoEA1F.jpg","harrier-gr3.xml","","","1947","1953","USA","EW","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"EA-3A","","12","33","","16329","0","","air/AdvicoEA3A.jpg","harrier-gr3.xml","","      ","1962","2999","USA","Bomber","575","22.39","8","13326","1.9405","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","31752","12649","26.57","4","2000","1","0","0","30","3600","10800","88966","0.0042","88966","0.0042","1.9405","1.987","2.981","2.385","0.8","1.3","117.5505","50.2612","0.9","0.745","0.62","0.495","0.395","0.295","0","0","0","0","1.025","1.05","1.1","1.15","1.2","1.45","1.8","5","20","40"
"EA-3B","","12","33","","18685","0","","air/AdvicoEA3B.jpg","harrier-gr3.xml","","","1962","2999","USA","Bomber","600","22.39","8","13408","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","35381","12588","31.24","4","1844","1","0","0","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"EA-6A","","12","33","","10619.683","0","","air/AdvicoEA6A.jpg","prowler.xml","","","1965","1973","USA","EW","600","22.39","14","7266.672","2.55","1","AirDmg1","9.43","AirRCS1","4.7","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.2","0","-999","Default","Default","Default","24167","14097","55.656","6.5","532","1","0","0","20","3600","10800","75621.04","0.0021","75621.04","0.0021","2.55","1.265","1.8975","1.518","0.85","1.2","110.605546","42.1329636","0.9","0.715","0.575","0.43","0.325","0.255","0.137","0.15","0","0","0.96","0.94","0.92","0.9","0.85","1","1.6","10","10","10"
"EA-6B","","12","33","","10619.683","0","ea6b.jpg","air/AdvicoEA6B.jpg","prowler.xml","","","1971","1997","USA","EW","600","22.39","14","7266.672","2.55","1","AirDmg1","9.43","AirRCS1","4.7","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.2","0","-999","Default","Default","Default","27397","14097","66.5","6.5","532","1","0","0","20","3600","10800","82738.31","0.002","82738.31","0.002","0.95","1.265","1.8975","1.518","0.85","1.2","110.605546","42.1329636","0.9","0.715","0.575","0.43","0.325","0.255","0.137","0.15","0","0","0.96","0.94","0.92","0.9","0.85","1","1.6","10","10","10"
"EAV-8A Matador","","12","33","15000000","5600","0","av8s.jpg","air/AdvicoHarrierEAV8A.jpg","harrier-gr3.xml","","","1973","1997","Spain","Strike Fighter","574.83","24.64","29.88","2311","1.3","1","AirDmg1","11.3","AirRCS1","4.19","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11400","15500","70","8","0","1","0","0","20","3600","10800","74898.21","0","96138","0","2.84","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"EAV-8A Matador(Thailand)","","12","33","15000000","5600","0","av8s.jpg","air/AdvicoHarrierEAV8A.jpg","harrier-gr3.xml","","","1997","2999","Thailand","Strike Fighter","574.83","24.64","29.88","2311","1.3","1","AirDmg1","11.3","AirRCS1","4.19","0","IR_FW_M_F_HP_1_M0.85","IR_FW_M_F_HP_1_AB_M0.85","IR_FW_M_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11400","15500","70","8","0","1","0","0","20","3600","10800","74898.21","0","96138","0","2.84","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"EAV-8B Matador","","12","33","15000000","6600","0","av8b.jpg","air/AdvicoHarrierEAV8B.jpg","harrier-gr3.xml","","","1997","2999","Spain","Strike Fighter","574.83","20.84","31.88","3467.5","1.6","1","AirDmg1","11.3","AirRCS1","5.28","0","IR_FW_L_F_HP_1_M0.85","IR_FW_L_F_HP_1_AB_M0.85","IR_FW_L_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","14000","15000","75","8","0","1","0","0","20","3600","10800","84069.4","0","107910","0","2.44","0.75","1.5","2.5","0.8","1","140","0","0.95","0.9","0.88","0.85","0.8","0.75","0.7","0","0","0","1","1","0.9","0.95","1.1","1.5","2","5","20","40"
"EF-111A","","12","33","290000000","87100","0","b1b.jpg","air/AdvicoEF111A.jpg","tu-22.xml","copied from B-1B Lancer","","1986","2999","USA","EW","750","20","20","15325.7","3.9","3","AirDmg2","9","AirRCS1","7.94","0","IR_FW_M_H_HP_2_M0.85","IR_FW_M_H_HP_2_AB_M0.85","IR_FW_M_H_HP_2_Super_M2.5","0","-999","Default","Default","Default","216000","20000","150","5","900","0","0","0","40","3600","10800","134162.8","0","220725","0.002","12","1.2","2.5","2.2","0.8","1.2","100","50","1","0.78","0.6","0.5","0.4","0.35","0.25","0.2","0.01","0.01","1","1","1","1","1","1","1.25","1.8","2","2"
"EKA-3B","","12","33","","18000","0","","air/AdvicoEKA3B.jpg","harrier-gr3.xml","","","1962","2999","USA","EW","600","22.39","8","16367","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.2","0","-999","Default","Default","Default","35381","12588","31.24","4","2000","1","2","30","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"F/A-18A","","12","33","40000000","11200","0","fa18c.jpg","air/AdvicoFA18A.jpg","f-18.xml","F/A-18A Hornet","","1983","2999","USA","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18A+","","12","33","40000000","11200","0","fa18c.jpg","air/AdvicoFA18A+.jpg","f-18.xml","F/A-18A+ Hornet","","1992","2999","USA","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18C","","12","33","40000000","11200","0","fa18c.jpg","air/AdvicoFA18C.jpg","f-18.xml","F/A-18C Hornet","","1989","2999","USA","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18D","","12","33","40000000","11200","0","fa18d.jpg","air/AdvicoFA18D.jpg","f-18.xml","F/A-18D Hornet","","1989","2999","USA","Fighter Multi","1050","20","16","4900","1.45","1","AirDmg1","9.09","AirRCS1","6.09","0","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_AB_M0.85","IR_FW_M_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","23400","17000","230","9","1800","1","0","0","20","3600","10800","70000","0","170000","0.0015","5","1.3","2.5","2","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18E","","12","33","40000000","11800","0","fa18e.jpg","air/AdvicoFA18E.jpg","f-18E.xml","F/A-18E  SuperHornet","","1998","2999","USA","Fighter Multi","1050","20","16","6530","2.8","1","AirDmg1","3.8","AirRCS1","6.26","0","IR_FW_L_F_HP_2_M0.85","IR_FW_L_F_HP_2_AB_M0.85","IR_FW_L_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","29000","17000","230","9","1800","1","0","0","20","3600","10800","124600","0","195800","0.0015","5","1.3","2.7","2.25","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18F","","12","33","40000000","11800","0","fa18f.jpg","air/AdvicoFA18F.jpg","f-18E.xml","F/A-18F SuperHornet","","1998","2999","USA","Fighter Multi","1050","20","16","6145","2.8","1","AirDmg1","3.8","AirRCS1","6.26","0","IR_FW_L_F_HP_2_M0.85","IR_FW_L_F_HP_2_AB_M0.85","IR_FW_L_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","29000","17000","230","9","1800","1","0","0","20","3600","10800","124600","0","195800","0.0015","5","1.3","2.7","2.25","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F/A-18F(Australia)","","12","33","40000000","11800","0","fa18f.jpg","air/AdvicoFA18F.jpg","f-18E.xml","F/A-18F SuperHornet","","1998","2999","Australia","Fighter Multi","1050","20","16","6145","2.8","1","AirDmg1","3.8","AirRCS1","6.26","0","IR_FW_L_F_HP_2_M0.85","IR_FW_L_F_HP_2_AB_M0.85","IR_FW_L_F_HP_2_Super_M1.8","0","-999","Default","Default","Default","29000","17000","230","9","1800","1","0","0","20","3600","10800","124600","0","195800","0.0015","5","1.3","2.7","2.25","0.9","1.1","100","50","1","0.9","0.8","0.75","0.73","0.6","0.2","0.05","0","0","1","0.95","0.9","0.85","0.9","1.05","2","3","3","3"
"F-111A","","12","33","290000000","87100","0","f111.jpg","air/AdvicoF111A.jpg","tu-22.xml","F-111 Aardvark medium range interdictor and strike fighter-bomber","","1986","2999","USA","Bomber","1227","7.58","24.99","15325.7","3.9","3","AirDmg2","9","AirRCS1","7.94","0","IR_FW_M_H_HP_2_M0.85","IR_FW_M_H_HP_2_AB_M0.85","IR_FW_M_H_HP_2_Super_M2.5","0","-999","Default","Default","Default","216000","18000","121.55","7","900","0","0","0","40","3600","10800","95667.1","0","164631.4","0.002","12","1.2","2.5","2.2","0.8","1.2","100","50","1","0.78","0.6","0.5","0.4","0.35","0.25","0.2","0.01","0.01","1","1","1","1","1","1","1.25","1.8","2","2"
"F-111C","","12","33","290000000","21367","0","f111.jpg","air/AdvicoF111C.jpg","tu-22.xml","Austrailian F-111A's.  Identical in nearly all aspects to the A model performance wise.","","1968","2999","USA","Bomber","1227","7.58","24.99","15325.7","3.9","3","AirDmg2","9","AirRCS1","7.94","0","IR_FW_M_H_HP_2_M0.85","IR_FW_M_H_HP_2_AB_M0.85","IR_FW_M_H_HP_2_Super_M2.5","0","-999","Default","Default","Default","45000","20000","121.55","7","900","0","0","0","40","3600","10800","95667.1","0","164631.4","0.002","12","1.2","2.5","2.2","0.8","1.2","102.19","60","1","0.78","0.6","0.5","0.4","0.35","0.25","0.2","0.01","0.01","1","1","1","1","1","1","1.25","1.8","2","2"
"F-111D","","12","33","290000000","22808","0","f111.jpg","air/AdvicoF111D.jpg","tu-22.xml","F-111 Aardvark medium range interdictor and strike fighter-bomber. Upgraded with newer avionics and more powerful engines.","","1970","2999","USA","Bomber","1263","8.03","131.18","15325.7","3.9","3","AirDmg2","9","AirRCS1","7.94","0","IR_FW_M_H_HP_2_M0.85","IR_FW_M_H_HP_2_AB_M0.85","IR_FW_M_H_HP_2_Super_M2.5","0","-999","Default","Default","Default","45350","20000","131.18","7","900","0","0","0","40","3600","10800","103979","0","174421.8","0.002","12","1.2","2.5","2.2","0.8","1.2","102.19","60","1","0.78","0.6","0.5","0.4","0.35","0.25","0.2","0.01","0.01","1","1","1","1","1","1","1.25","1.8","2","2"
