DatabaseClass text,SetupName text,InitialYear numeric,FinalYear numeric,AirComplement text,MagazineLoadout text,LauncherLoadout text
"A-4F","IB4   1970","1970","1988","","","A-4F IB4   1970-L"
"A-4F","IB4E  1970","1970","1988","","","A-4F IB4E  1970-L"
"A-4F","IB5   1970","1970","1974","","","A-4F IB5   1970-L"
"A-4F","IB5   1971","1971","1980","","","A-4F IB5   1971-L"
"A-4F","IB5   1973","1973","1981","","","A-4F IB5   1973-L"
"A-4F","IB5   1975","1975","1982","","","A-4F IB5   1975-L"
"A-4F","IB5   1978","1978","1988","","","A-4F IB5   1978-L"
"A-4F","IB5   1979","1979","1986","","","A-4F IB5   1979-L"
"A-4F","IB5   1980","1980","1988","","","A-4F IB5   1980-L"
"A-4F","IB5   1983","1983","1988","","","A-4F IB5   1983-L"
"A-4F","IB5E  1970","1970","1974","","","A-4F IB5E  1970-L"
"A-4F","IB5E  1971","1971","1980","","","A-4F IB5E  1971-L"
"A-4F","IB5E  1973","1973","1981","","","A-4F IB5E  1973-L"
"A-4F","IB5E  1975","1975","1982","","","A-4F IB5E  1975-L"
"A-4F","IB5E  1978","1978","1988","","","A-4F IB5E  1978-L"
"A-4F","IB5E  1979","1979","1986","","","A-4F IB5E  1979-L"
"A-4F","IB5E  1980","1980","1988","","","A-4F IB5E  1980-L"
"A-4F","IB5E  1983","1983","1988","","","A-4F IB5E  1983-L"
"A-4F","IB6E  1970","1970","1974","","","A-4F IB6E  1970-L"
"A-4F","IB6E  1971","1971","1980","","","A-4F IB6E  1971-L"
"A-4F","IB6E  1973","1973","1981","","","A-4F IB6E  1973-L"
"A-4F","IB6E  1975","1975","1982","","","A-4F IB6E  1975-L"
"A-4F","IB6E  1978","1978","1988","","","A-4F IB6E  1978-L"
"A-4F","IB6E  1979","1979","1986","","","A-4F IB6E  1979-L"
"A-4F","IB6E  1980","1980","1988","","","A-4F IB6E  1980-L"
"A-4F","IB6E  1983","1983","1988","","","A-4F IB6E  1983-L"
"A-4F","IB7   1970","1970","1974","","","A-4F IB7   1970-L"
"A-4F","IB7   1971","1971","1980","","","A-4F IB7   1971-L"
"A-4F","IB7   1973","1973","1981","","","A-4F IB7   1973-L"
"A-4F","IB7   1975","1975","1982","","","A-4F IB7   1975-L"
"A-4F","IB7   1978","1978","1988","","","A-4F IB7   1978-L"
"A-4F","IB7   1979","1979","1986","","","A-4F IB7   1979-L"
"A-4F","IB7   1980","1980","1988","","","A-4F IB7   1980-L"
"A-4F","IB7   1983","1983","1988","","","A-4F IB7   1983-L"
"A-4F","IB7E  1970","1970","1974","","","A-4F IB7E  1970-L"
"A-4F","IB7E  1971","1971","1980","","","A-4F IB7E  1971-L"
"A-4F","IB7E  1973","1973","1981","","","A-4F IB7E  1973-L"
"A-4F","IB7E  1975","1975","1982","","","A-4F IB7E  1975-L"
"A-4F","IB7E  1978","1978","1988","","","A-4F IB7E  1978-L"
"A-4F","IB7E  1979","1979","1986","","","A-4F IB7E  1979-L"
"A-4F","IB7E  1980","1980","1988","","","A-4F IB7E  1980-L"
"A-4F","IB7E  1983","1983","1988","","","A-4F IB7E  1983-L"
"A-4F","IB8   1970","1970","1974","","","A-4F IB8   1970-L"
"A-4F","IB8   1971","1971","1980","","","A-4F IB8   1971-L"
"A-4F","IB8   1973","1973","1981","","","A-4F IB8   1973-L"
"A-4F","IB8   1975","1975","1982","","","A-4F IB8   1975-L"
"A-4F","IB8   1978","1978","1988","","","A-4F IB8   1978-L"
"A-4F","IB8   1979","1979","1986","","","A-4F IB8   1979-L"
"A-4F","IB8   1980","1980","1988","","","A-4F IB8   1980-L"
"A-4F","IB8   1983","1983","1988","","","A-4F IB8   1983-L"
"A-4F","IB8E  1970","1970","1974","","","A-4F IB8E  1970-L"
"A-4F","IB8E  1971","1971","1980","","","A-4F IB8E  1971-L"
"A-4F","IB8E  1973","1973","1981","","","A-4F IB8E  1973-L"
"A-4F","IB8E  1975","1975","1982","","","A-4F IB8E  1975-L"
"A-4F","IB8E  1978","1978","1988","","","A-4F IB8E  1978-L"
"A-4F","IB8E  1979","1979","1986","","","A-4F IB8E  1979-L"
"A-4F","IB8E  1980","1980","1988","","","A-4F IB8E  1980-L"
"A-4F","IB8E  1983","1983","1988","","","A-4F IB8E  1983-L"
"A-4F","SD1   1965","1967.4","1977","","","A-4F SD1   1965-L"
"A-4F","SD10  1974","1974","1980","","","A-4F SD10  1974-L"
"A-4F","SD10E 1974","1974","1988","","","A-4F SD10E 1974-L"
"A-4F","SD11  1974","1974","1988","","","A-4F SD11  1974-L"
"A-4F","SD1E  1965","1967.4","1977","","","A-4F SD1E  1965-L"
"A-4F","SD2   1973","1973","1980","","","A-4F SD2   1973-L"
"A-4F","SD2E  1973","1973","1980","","","A-4F SD2E  1973-L"
"A-4F","SD3   1970","1970","1977","","","A-4F SD3   1970-L"
"A-4F","SD3E  1970","1970","1977","","","A-4F SD3E  1970-L"
"A-4F","SD4   1973","1973","1988","","","A-4F SD4   1973-L"
"A-4F","SD4E  1973","1973","1988","","","A-4F SD4E  1973-L"
"A-4F","SD5   1969","1969","1972","","","A-4F SD5   1969-L"
"A-4F","SD5E  1969","1969","1975","","","A-4F SD5E  1969-L"
"A-4F","SD6   1970","1970","1975","","","A-4F SD6   1970-L"
"A-4F","SD6E  1970","1970","1975","","","A-4F SD6E  1970-L"
"A-4F","SD7   1970","1970","1975","","","A-4F SD7   1970-L"
"A-4F","SD8   1970","1970","1975","","","A-4F SD8   1970-L"
"A-4F","SD8E  1970","1970","1975","","","A-4F SD8E  1970-L"
"A-4F","SD9   1970","1970","1975","","","A-4F SD9   1970-L"
"A-4F","UR1   1963","1967.4","1988","","","A-4F UR1   1963-L"
"A-4F","UR1E  1963","1967.4","1988","","","A-4F UR1E  1963-L"
"A-4F","UR2   1963","1967.4","1988","","","A-4F UR2   1963-L"
"A-4F","UR2E  1963","1967.4","1988","","","A-4F UR2E  1963-L"
"A-4F","UR3   1963","1967.4","1988","","","A-4F UR3   1963-L"
"A-4F","UR3E  1963","1967.4","1988","","","A-4F UR3E  1963-L"
"A-4G(AU)","AW1   1957","1967","1984.496","","","A-4F AW1   1957-L"
"A-4G(AU)","AW1E  1957","1967","1984.496","","","A-4F AW1E  1957-L"
"A-4G(AU)","AW2   1963","1967","1973","","","A-4F AW2   1963-L"
"A-4G(AU)","AW2   1964","1967","1974","","","A-4F AW2   1964-L"
"A-4G(AU)","AW2   1968","1968","1970","","","A-4F AW2   1968-L"
"A-4G(AU)","AW2   1970","1970","1974","","","A-4F AW2   1970-L"
"A-4G(AU)","AW2   1971","1971","1980","","","A-4F AW2   1971-L"
"A-4G(AU)","AW2   1973","1973","1981","","","A-4F AW2   1973-L"
"A-4G(AU)","AW2   1975","1975","1982","","","A-4F AW2   1975-L"
"A-4G(AU)","AW2   1978","1978","1984.496","","","A-4F AW2   1978-L"
"A-4G(AU)","AW2   1979","1979","1984.496","","","A-4F AW2   1979-L"
"A-4G(AU)","AW2   1980","1980","1984.496","","","A-4F AW2   1980-L"
"A-4G(AU)","AW2   1983","1983","1984.496","","","A-4F AW2   1983-L"
"A-4G(AU)","AW2E  1963","1967","1973","","","A-4F AW2E  1963-L"
"A-4G(AU)","AW2E  1964","1967","1974","","","A-4F AW2E  1964-L"
"A-4G(AU)","AW2E  1968","1968","1970","","","A-4F AW2E  1968-L"
"A-4G(AU)","AW2E  1970","1970","1974","","","A-4F AW2E  1970-L"
"A-4G(AU)","AW2E  1971","1971","1980","","","A-4F AW2E  1971-L"
"A-4G(AU)","AW2E  1973","1973","1981","","","A-4F AW2E  1973-L"
"A-4G(AU)","AW2E  1975","1975","1982","","","A-4F AW2E  1975-L"
"A-4G(AU)","AW2E  1978","1978","1984.496","","","A-4F AW2E  1978-L"
"A-4G(AU)","AW2E  1979","1979","1984.496","","","A-4F AW2E  1979-L"
"A-4G(AU)","AW2E  1980","1980","1984.496","","","A-4F AW2E  1980-L"
"A-4G(AU)","AW2E  1983","1983","1984.496","","","A-4F AW2E  1983-L"
"A-4G(AU)","GM2   1960","1967","1974","","","A-4F GM2   1960-L"
"A-4G(AU)","GM2E  1960","1967","1974","","","A-4F GM2E  1960-L"
"A-4G(AU)","GM3E  1962","1967","1980","","","A-4F GM3E  1962-L"
"A-4G(AU)","GM4   1964","1967","1974","","","A-4F GM4   1964-L"
"A-4G(AU)","GM4E  1964","1967","1974","","","A-4F GM4E  1964-L"
"A-4G(AU)","GM5   1963","1967","1973","","","A-4F GM5   1963-L"
"A-4G(AU)","GM5   1964","1967","1974","","","A-4F GM5   1964-L"
"A-4G(AU)","GM5   1968","1968","1974","","","A-4F GM5   1968-L"
"A-4G(AU)","GM5   1970","1970","1974","","","A-4F GM5   1970-L"
"A-4G(AU)","GM5   1971","1971","1974","","","A-4F GM5   1971-L"
"A-4G(AU)","GM5   1973","1973","1974","","","A-4F GM5   1973-L"
"A-4G(AU)","GM5E  1963","1967","1973","","","A-4F GM5E  1963-L"
"A-4G(AU)","GM5E  1964","1967","1974","","","A-4F GM5E  1964-L"
"A-4G(AU)","GM5E  1968","1968","1974","","","A-4F GM5E  1968-L"
"A-4G(AU)","GM5E  1970","1970","1974","","","A-4F GM5E  1970-L"
"A-4G(AU)","GM5E  1971","1971","1974","","","A-4F GM5E  1971-L"
"A-4G(AU)","GM5E  1973","1973","1974","","","A-4F GM5E  1973-L"
"A-4G(AU)","GM6   1963","1967","1973","","","A-4F GM6   1963-L"
"A-4G(AU)","GM6   1964","1967","1974","","","A-4F GM6   1964-L"
"A-4G(AU)","GM6   1968","1968","1970","","","A-4F GM6   1968-L"
"A-4G(AU)","GM6   1970","1970","1974","","","A-4F GM6   1970-L"
"A-4G(AU)","GM6   1971","1971","1980","","","A-4F GM6   1971-L"
"A-4G(AU)","GM6   1973","1973","1980","","","A-4F GM6   1973-L"
"A-4G(AU)","GM6   1975","1975","1980","","","A-4F GM6   1975-L"
"A-4G(AU)","GM6   1978","1978","1980","","","A-4F GM6   1978-L"
"A-4G(AU)","GM6   1979","1979","1980","","","A-4F GM6   1979-L"
"A-4G(AU)","GM6E  1963","1967","1973","","","A-4F GM6E  1963-L"
"A-4G(AU)","GM6E  1964","1967","1974","","","A-4F GM6E  1964-L"
"A-4G(AU)","GM6E  1968","1968","1970","","","A-4F GM6E  1968-L"
"A-4G(AU)","GM6E  1970","1970","1974","","","A-4F GM6E  1970-L"
"A-4G(AU)","GM6E  1971","1971","1980","","","A-4F GM6E  1971-L"
"A-4G(AU)","GM6E  1973","1973","1980","","","A-4F GM6E  1973-L"
"A-4G(AU)","GM6E  1975","1975","1980","","","A-4F GM6E  1975-L"
"A-4G(AU)","GM6E  1978","1978","1980","","","A-4F GM6E  1978-L"
"A-4G(AU)","GM6E  1979","1979","1980","","","A-4F GM6E  1979-L"
"A-4G(AU)","GM7   1970","1970","1980","","","A-4F GM7   1970-L"
"A-4G(AU)","GM7   1971","1971","1980","","","A-4F GM7   1971-L"
"A-4G(AU)","GM7   1973","1973","1980","","","A-4F GM7   1973-L"
"A-4G(AU)","GM7   1975","1975","1980","","","A-4F GM7   1975-L"
"A-4G(AU)","GM7   1978","1978","1980","","","A-4F GM7   1978-L"
"A-4G(AU)","GM7   1979","1979","1980","","","A-4F GM7   1979-L"
"A-4G(AU)","IB1   1963","1967","1973","","","A-4F IB1   1963-L"
"A-4G(AU)","IB1   1964","1967","1974","","","A-4F IB1   1964-L"
"A-4G(AU)","IB1   1968","1968","1970","","","A-4F IB1   1968-L"
"A-4G(AU)","IB1   1970","1970","1974","","","A-4F IB1   1970-L"
"A-4G(AU)","IB1   1971","1971","1980","","","A-4F IB1   1971-L"
"A-4G(AU)","IB1   1973","1973","1981","","","A-4F IB1   1973-L"
"A-4G(AU)","IB1   1975","1975","1982","","","A-4F IB1   1975-L"
"A-4G(AU)","IB1   1978","1978","1984.496","","","A-4F IB1   1978-L"
"A-4G(AU)","IB1   1979","1979","1984.496","","","A-4F IB1   1979-L"
"A-4G(AU)","IB1E  1963","1967","1973","","","A-4F IB1E  1963-L"
"A-4G(AU)","IB1E  1964","1967","1974","","","A-4F IB1E  1964-L"
"A-4G(AU)","IB1E  1968","1968","1970","","","A-4F IB1E  1968-L"
"A-4G(AU)","IB1E  1970","1970","1974","","","A-4F IB1E  1970-L"
"A-4G(AU)","IB1E  1971","1971","1980","","","A-4F IB1E  1971-L"
"A-4G(AU)","IB1E  1973","1973","1981","","","A-4F IB1E  1973-L"
"A-4G(AU)","IB1E  1975","1975","1982","","","A-4F IB1E  1975-L"
"A-4G(AU)","IB1E  1978","1978","1984.496","","","A-4F IB1E  1978-L"
"A-4G(AU)","IB1E  1979","1979","1984.496","","","A-4F IB1E  1979-L"
"A-4G(AU)","IB2E  1963","1967","1973","","","A-4F IB2E  1963-L"
"A-4G(AU)","IB2E  1964","1967","1974","","","A-4F IB2E  1964-L"
"A-4G(AU)","IB2E  1968","1968","1970","","","A-4F IB2E  1968-L"
"A-4G(AU)","IB2E  1970","1970","1974","","","A-4F IB2E  1970-L"
"A-4G(AU)","IB2E  1971","1971","1980","","","A-4F IB2E  1971-L"
"A-4G(AU)","IB2E  1973","1973","1981","","","A-4F IB2E  1973-L"
"A-4G(AU)","IB2E  1975","1975","1982","","","A-4F IB2E  1975-L"
"A-4G(AU)","IB2E  1978","1978","1984.496","","","A-4F IB2E  1978-L"
"A-4G(AU)","IB2E  1979","1979","1984.496","","","A-4F IB2E  1979-L"
"A-4G(AU)","IB3   1970","1970","1984.496","","","A-4F IB3   1970-L"
"A-4G(AU)","IB3E  1970","1970","1984.496","","","A-4F IB3E  1970-L"
"A-4G(AU)","IB4   1970","1970","1984.496","","","A-4F IB4   1970-L"
"A-4G(AU)","IB4E  1970","1970","1984.496","","","A-4F IB4E  1970-L"
"A-4G(AU)","IB5   1970","1970","1974","","","A-4F IB5   1970-L"
"A-4G(AU)","IB5   1971","1971","1980","","","A-4F IB5   1971-L"
"A-4G(AU)","IB5   1973","1973","1981","","","A-4F IB5   1973-L"
"A-4G(AU)","IB5   1975","1975","1982","","","A-4F IB5   1975-L"
"A-4G(AU)","IB5   1978","1978","1984.496","","","A-4F IB5   1978-L"
"A-4G(AU)","IB5   1979","1979","1984.496","","","A-4F IB5   1979-L"
"A-4G(AU)","IB5   1980","1980","1984.496","","","A-4F IB5   1980-L"
"A-4G(AU)","IB5   1983","1983","1984.496","","","A-4F IB5   1983-L"
"A-4G(AU)","IB5E  1970","1970","1974","","","A-4F IB5E  1970-L"
"A-4G(AU)","IB5E  1971","1971","1980","","","A-4F IB5E  1971-L"
"A-4G(AU)","IB5E  1973","1973","1981","","","A-4F IB5E  1973-L"
"A-4G(AU)","IB5E  1975","1975","1982","","","A-4F IB5E  1975-L"
"A-4G(AU)","IB5E  1978","1978","1984.496","","","A-4F IB5E  1978-L"
"A-4G(AU)","IB5E  1979","1979","1984.496","","","A-4F IB5E  1979-L"
"A-4G(AU)","IB5E  1980","1980","1984.496","","","A-4F IB5E  1980-L"
"A-4G(AU)","IB5E  1983","1983","1984.496","","","A-4F IB5E  1983-L"
"A-4G(AU)","IB6E  1970","1970","1974","","","A-4F IB6E  1970-L"
"A-4G(AU)","IB6E  1971","1971","1980","","","A-4F IB6E  1971-L"
"A-4G(AU)","IB6E  1973","1973","1981","","","A-4F IB6E  1973-L"
"A-4G(AU)","IB6E  1975","1975","1982","","","A-4F IB6E  1975-L"
"A-4G(AU)","IB6E  1978","1978","1984.496","","","A-4F IB6E  1978-L"
"A-4G(AU)","IB6E  1979","1979","1984.496","","","A-4F IB6E  1979-L"
"A-4G(AU)","IB6E  1980","1980","1984.496","","","A-4F IB6E  1980-L"
"A-4G(AU)","IB6E  1983","1983","1984.496","","","A-4F IB6E  1983-L"
"A-4G(AU)","IB7   1970","1970","1974","","","A-4F IB7   1970-L"
"A-4G(AU)","IB7   1971","1971","1980","","","A-4F IB7   1971-L"
"A-4G(AU)","IB7   1973","1973","1981","","","A-4F IB7   1973-L"
"A-4G(AU)","IB7   1975","1975","1982","","","A-4F IB7   1975-L"
"A-4G(AU)","IB7   1978","1978","1984.496","","","A-4F IB7   1978-L"
"A-4G(AU)","IB7   1979","1979","1984.496","","","A-4F IB7   1979-L"
"A-4G(AU)","IB7   1980","1980","1984.496","","","A-4F IB7   1980-L"
"A-4G(AU)","IB7   1983","1983","1984.496","","","A-4F IB7   1983-L"
"A-4G(AU)","IB7E  1970","1970","1974","","","A-4F IB7E  1970-L"
"A-4G(AU)","IB7E  1971","1971","1980","","","A-4F IB7E  1971-L"
"A-4G(AU)","IB7E  1973","1973","1981","","","A-4F IB7E  1973-L"
"A-4G(AU)","IB7E  1975","1975","1982","","","A-4F IB7E  1975-L"
"A-4G(AU)","IB7E  1978","1978","1984.496","","","A-4F IB7E  1978-L"
"A-4G(AU)","IB7E  1979","1979","1984.496","","","A-4F IB7E  1979-L"
"A-4G(AU)","IB7E  1980","1980","1984.496","","","A-4F IB7E  1980-L"
"A-4G(AU)","IB7E  1983","1983","1984.496","","","A-4F IB7E  1983-L"
"A-4G(AU)","IB8   1970","1970","1974","","","A-4F IB8   1970-L"
"A-4G(AU)","IB8   1971","1971","1980","","","A-4F IB8   1971-L"
"A-4G(AU)","IB8   1973","1973","1981","","","A-4F IB8   1973-L"
"A-4G(AU)","IB8   1975","1975","1982","","","A-4F IB8   1975-L"
"A-4G(AU)","IB8   1978","1978","1984.496","","","A-4F IB8   1978-L"
"A-4G(AU)","IB8   1979","1979","1984.496","","","A-4F IB8   1979-L"
"A-4G(AU)","IB8   1980","1980","1984.496","","","A-4F IB8   1980-L"
"A-4G(AU)","IB8   1983","1983","1984.496","","","A-4F IB8   1983-L"
"A-4G(AU)","IB8E  1970","1970","1974","","","A-4F IB8E  1970-L"
"A-4G(AU)","IB8E  1971","1971","1980","","","A-4F IB8E  1971-L"
"A-4G(AU)","IB8E  1973","1973","1981","","","A-4F IB8E  1973-L"
"A-4G(AU)","IB8E  1975","1975","1982","","","A-4F IB8E  1975-L"
"A-4G(AU)","IB8E  1978","1978","1984.496","","","A-4F IB8E  1978-L"
"A-4G(AU)","IB8E  1979","1979","1984.496","","","A-4F IB8E  1979-L"
"A-4G(AU)","IB8E  1980","1980","1984.496","","","A-4F IB8E  1980-L"
"A-4G(AU)","IB8E  1983","1983","1984.496","","","A-4F IB8E  1983-L"
"A-4G(AU)","SD1   1965","1967","1977","","","A-4F SD1   1965-L"
"A-4G(AU)","SD10  1974","1974","1980","","","A-4F SD10  1974-L"
"A-4G(AU)","SD10E 1974","1974","1984.496","","","A-4F SD10E 1974-L"
"A-4G(AU)","SD11  1974","1974","1984.496","","","A-4F SD11  1974-L"
"A-4G(AU)","SD1E  1965","1967","1977","","","A-4F SD1E  1965-L"
"A-4G(AU)","SD2   1973","1973","1980","","","A-4F SD2   1973-L"
"A-4G(AU)","SD2E  1973","1973","1980","","","A-4F SD2E  1973-L"
"A-4G(AU)","SD3   1970","1970","1977","","","A-4F SD3   1970-L"
"A-4G(AU)","SD3E  1970","1970","1977","","","A-4F SD3E  1970-L"
"A-4G(AU)","SD4   1973","1973","1984.496","","","A-4F SD4   1973-L"
"A-4G(AU)","SD4E  1973","1973","1984.496","","","A-4F SD4E  1973-L"
"A-4G(AU)","SD5   1969","1969","1972","","","A-4F SD5   1969-L"
"A-4G(AU)","SD5E  1969","1969","1975","","","A-4F SD5E  1969-L"
"A-4G(AU)","SD6   1970","1970","1975","","","A-4F SD6   1970-L"
"A-4G(AU)","SD6E  1970","1970","1975","","","A-4F SD6E  1970-L"
"A-4G(AU)","SD7   1970","1970","1975","","","A-4F SD7   1970-L"
"A-4G(AU)","SD8   1970","1970","1975","","","A-4F SD8   1970-L"
"A-4G(AU)","SD8E  1970","1970","1975","","","A-4F SD8E  1970-L"
"A-4G(AU)","SD9   1970","1970","1975","","","A-4F SD9   1970-L"
"A-4G(AU)","UR1   1963","1967","1984.496","","","A-4F UR1   1963-L"
"A-4G(AU)","UR1E  1963","1967","1984.496","","","A-4F UR1E  1963-L"
"A-4G(AU)","UR2   1963","1967","1984.496","","","A-4F UR2   1963-L"
"A-4G(AU)","UR2E  1963","1967","1984.496","","","A-4F UR2E  1963-L"
"A-4G(AU)","UR3   1963","1967","1984.496","","","A-4F UR3   1963-L"
"A-4G(AU)","UR3E  1963","1967","1984.496","","","A-4F UR3E  1963-L"
"A-4G(NZ)","AW1   1957","1963","2001","","","A-4F AW1   1957-L"
"A-4G(NZ)","AW1E  1957","1963","2001","","","A-4F AW1E  1957-L"
"A-4G(NZ)","AW2   1978","1978","2001","","","A-4F AW2   1978-L"
"A-4G(NZ)","AW2   1979","1979","1986","","","A-4F AW2   1979-L"
"A-4G(NZ)","AW2   1980","1980","2001","","","A-4F AW2   1980-L"
"A-4G(NZ)","AW2   1983","1983","2001","","","A-4F AW2   1983-L"
"A-4G(NZ)","AW2E  1978","1978","2001","","","A-4F AW2E  1978-L"
"A-4G(NZ)","AW2E  1979","1979","1986","","","A-4F AW2E  1979-L"
"A-4G(NZ)","AW2E  1980","1980","2001","","","A-4F AW2E  1980-L"
"A-4G(NZ)","AW2E  1983","1983","2001","","","A-4F AW2E  1983-L"
"A-4G(NZ)","IB1   1978","1978","2001","","","A-4F IB1   1978-L"
"A-4G(NZ)","IB1   1979","1979","1986","","","A-4F IB1   1979-L"
"A-4G(NZ)","IB1E  1978","1978","2001","","","A-4F IB1E  1978-L"
"A-4G(NZ)","IB1E  1979","1979","1986","","","A-4F IB1E  1979-L"
"A-4G(NZ)","IB2E  1978","1978","2001","","","A-4F IB2E  1978-L"
"A-4G(NZ)","IB2E  1979","1979","1986","","","A-4F IB2E  1979-L"
"A-4G(NZ)","IB3   1970","1970","2001","","","A-4F IB3   1970-L"
"A-4G(NZ)","IB3E  1970","1970","2001","","","A-4F IB3E  1970-L"
"A-4G(NZ)","IB4   1970","1970","2001","","","A-4F IB4   1970-L"
"A-4G(NZ)","IB4E  1970","1970","2001","","","A-4F IB4E  1970-L"
"A-4G(NZ)","IB5   1978","1978","2001","","","A-4F IB5   1978-L"
"A-4G(NZ)","IB5   1979","1979","1986","","","A-4F IB5   1979-L"
"A-4G(NZ)","IB5   1980","1980","2001","","","A-4F IB5   1980-L"
"A-4G(NZ)","IB5   1983","1983","2001","","","A-4F IB5   1983-L"
"A-4G(NZ)","IB5E  1978","1978","2001","","","A-4F IB5E  1978-L"
"A-4G(NZ)","IB5E  1979","1979","1986","","","A-4F IB5E  1979-L"
"A-4G(NZ)","IB5E  1980","1980","2001","","","A-4F IB5E  1980-L"
"A-4G(NZ)","IB5E  1983","1983","2001","","","A-4F IB5E  1983-L"
"A-4G(NZ)","IB6E  1978","1978","2001","","","A-4F IB6E  1978-L"
"A-4G(NZ)","IB6E  1979","1979","1986","","","A-4F IB6E  1979-L"
"A-4G(NZ)","IB6E  1980","1980","2001","","","A-4F IB6E  1980-L"
"A-4G(NZ)","IB6E  1983","1983","2001","","","A-4F IB6E  1983-L"
"A-4G(NZ)","IB7   1978","1978","2001","","","A-4F IB7   1978-L"
"A-4G(NZ)","IB7   1979","1979","1986","","","A-4F IB7   1979-L"
"A-4G(NZ)","IB7   1980","1980","2001","","","A-4F IB7   1980-L"
"A-4G(NZ)","IB7   1983","1983","2001","","","A-4F IB7   1983-L"
"A-4G(NZ)","IB7E  1978","1978","2001","","","A-4F IB7E  1978-L"
"A-4G(NZ)","IB7E  1979","1979","1986","","","A-4F IB7E  1979-L"
"A-4G(NZ)","IB7E  1980","1980","2001","","","A-4F IB7E  1980-L"
"A-4G(NZ)","IB7E  1983","1983","2001","","","A-4F IB7E  1983-L"
"A-4G(NZ)","IB8   1978","1978","2001","","","A-4F IB8   1978-L"
"A-4G(NZ)","IB8   1979","1979","1986","","","A-4F IB8   1979-L"
"A-4G(NZ)","IB8   1980","1980","2001","","","A-4F IB8   1980-L"
"A-4G(NZ)","IB8   1983","1983","2001","","","A-4F IB8   1983-L"
"A-4G(NZ)","IB8E  1978","1978","2001","","","A-4F IB8E  1978-L"
"A-4G(NZ)","IB8E  1979","1979","1986","","","A-4F IB8E  1979-L"
"A-4G(NZ)","IB8E  1980","1980","2001","","","A-4F IB8E  1980-L"
"A-4G(NZ)","IB8E  1983","1983","2001","","","A-4F IB8E  1983-L"
"A-4G(NZ)","SD10E 1974","1974","1988","","","A-4F SD10E 1974-L"
"A-4G(NZ)","SD11  1974","1974","1988","","","A-4F SD11  1974-L"
"A-4G(NZ)","SD4   1973","1973","1992","","","A-4F SD4   1973-L"
"A-4G(NZ)","SD4E  1973","1973","1992","","","A-4F SD4E  1973-L"
"A-4G(NZ)","UR1   1963","1963","2001","","","A-4F UR1   1963-L"
"A-4G(NZ)","UR1E  1963","1963","2001","","","A-4F UR1E  1963-L"
"A-4G(NZ)","UR2   1963","1963","2001","","","A-4F UR2   1963-L"
"A-4G(NZ)","UR2E  1963","1963","2001","","","A-4F UR2E  1963-L"
"A-4G(NZ)","UR3   1963","1963","2001","","","A-4F UR3   1963-L"
"A-4G(NZ)","UR3E  1963","1963","2001","","","A-4F UR3E  1963-L"
"A-4H","AW1   1966","1966","2008","","","A-4H AW1   1966-L"
"A-4H","AW1E  1966","1966","2008","","","A-4H AW1E  1966-L"
"A-4H","AW2   1966","1966","1969","","","A-4H AW2   1966-L"
"A-4H","AW2   1967","1967","1982","","","A-4H AW2   1967-L"
"A-4H","AW2   1977","1977","2006","","","A-4H AW2   1977-L"
"A-4H","AW2   1993","1993","2008","","","A-4H AW2   1993-L"
"A-4H","AW2   2004","2004","2008","","","A-4H AW2   2004-L"
"A-4H","AW2E  1966","1966","1969","","","A-4H AW2E  1966-L"
"A-4H","AW2E  1967","1967","1982","","","A-4H AW2E  1967-L"
"A-4H","AW2E  1977","1977","2006","","","A-4H AW2E  1977-L"
"A-4H","AW2E  1993","1993","2008","","","A-4H AW2E  1993-L"
"A-4H","AW2E  2004","2004","2008","","","A-4H AW2E  2004-L"
"A-4H","GM1   1960","1966","1974","","","A-4H GM1   1960-L"
"A-4H","GM1E  1960","1966","1974","","","A-4H GM1E  1960-L"
"A-4H","GM2E  1962","1966","1980","","","A-4H GM2E  1962-L"
"A-4H","GM3   1963","1966","1969","","","A-4H GM3   1963-L"
"A-4H","GM3   1967","1967","1974","","","A-4H GM3   1967-L"
"A-4H","GM3E  1963","1966","1969","","","A-4H GM3E  1963-L"
"A-4H","GM3E  1967","1967","1974","","","A-4H GM3E  1967-L"
"A-4H","GM4   1963","1966","1969","","","A-4H GM4   1963-L"
"A-4H","GM4   1967","1967","1974","","","A-4H GM4   1967-L"
"A-4H","GM4   1977","1977","1980","","","A-4H GM4   1977-L"
"A-4H","GM4E  1963","1966","1969","","","A-4H GM4E  1963-L"
"A-4H","GM4E  1967","1967","1974","","","A-4H GM4E  1967-L"
"A-4H","GM4E  1977","1977","1980","","","A-4H GM4E  1977-L"
"A-4H","GM5   1970","1970","1980","","","A-4H GM5   1970-L"
"A-4H","GM5   1977","1977","1980","","","A-4H GM5   1977-L"
"A-4H","GM6   1970","1970","1982","","","A-4H GM6   1970-L"
"A-4H","GM6   1977","1977","2006","","","A-4H GM6   1977-L"
"A-4H","GM6   1993","1993","2008","","","A-4H GM6   1993-L"
"A-4H","GM6   2004","2004","2008","","","A-4H GM6   2004-L"
"A-4H","IB1   1963","1966","1969","","","A-4H IB1   1963-L"
"A-4H","IB1   1967","1967","1980","","","A-4H IB1   1967-L"
"A-4H","IB1   1977","1977","1980","","","A-4H IB1   1977-L"
"A-4H","IB1E  1963","1966","1969","","","A-4H IB1E  1963-L"
"A-4H","IB1E  1967","1967","1980","","","A-4H IB1E  1967-L"
"A-4H","IB1E  1977","1977","1980","","","A-4H IB1E  1977-L"
