DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName nexttumeric,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,ERPpeak_dBW numeric,ERPaverage_dBW numeric,MaxFireControlTracks numeric,IsSemiactive numeric,BlindSpeed_mps numeric,LookdownWater_dB numeric,LookdownLand_dB numeric,Bandwidth_Hz numeric,AzimuthBeamwidth_deg numeric,ElevationBeamwidth_deg numeric,EffectiveSidelobes_dB numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric
"Cyrano-IV","","0","0","1","0","0","1900","2999","","","null","null","null","Cyrano-IV fire control radar","","150","36","90","-15","30","2.63","GenericSensor","0","0.53","0.35","3000000000","3500000000","99","1","1","60","50","2","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"DA-02","","0","0","1","0","0","1900","2999","","","null","null","null","","Claimed range on a 2m² is 50nm.  this equates to a ref of 77.87.  setting instrumented at 250km, as this corresponds to a 106.25m² target.  400kW w/ 32dB gain.","250","77.87","360","-35","70","6","GenericSensor","0.0009","0.75","1","2900000000","3100000000","99","1","1","88.02","85","0","0","2.5","-15","-24","3000000","5","5","-30","0","1","1","0"
"DA-08","","0","0","1","0","0","1900","2999","","","null","null","null","","Claimed range on a 2m² is 78-92nm, will assume 85nm.  this equates to a ref of 132.374","200","132.374","360","-35","70","6","GenericSensor","0.0006","0.75","1","3000000000","3500000000","99","1","1","84.61","70.08","0","0","2.5","-3","-12","3000000","5","5","-30","0","1","1","0"
"Dagger SR","","0","0","1","0","0","1900","2999","","","null","null","null","Search and track radar for Rapier SAM","","20","4.15","360","-35","70","8.63","GenericSensor","0","1.18","0.79","3000000000","3500000000","99","1","1","60","50","1","0","2.5","-3","-12","3000000","5","5","-30","0","1","1","0"
"DART seeker","","0","0","1","0","0","1900","2999","","","null","null","null","test seeker for DART shell","as its a beam rider, it doesn't actually track its target, so its been assigned VERY high ref range.","6","600","360","-90","90","0.5","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"DART-SH","","0","0","","","","1900","2999","","","","","","","Marcos","6","10.67","20","-10","10","1","GenericSensor","0","0","0","3000000000","3500000000","99","1","0","0","-10","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"Decca 1226","","0","0","1","0","0","1900","2999","","","null","null","null","Short-range navigation radar","as Racal, Formerly Decca, uses a modular naming system, the first two digits determine the CRT size, the third digit is the radar series, and the final digit is the radar size.  as the 1229 then has a 9ft antenna, this has a 6ft antenna.  Assuming equigvalent proportion that makes the antenna 2/3 the size in both height and width, rendering an aperture that is just under half the total area.  as that directly impacts performance, I will penalise accordingly.  this results in a 14% loss in range.","70","7.25","360","0","15","4","GenericSensor","0.06","0.5","0.5","3000000000","3500000000","99","3","1","45","35","0","0","3","0","-12","3000000","5","5","-30","1","1","0","0"
"Decca 1229","","0","0","1","0","0","1900","2999","","","null","null","null","Short-range navigation radar","aligned against a 15dB target at 20km.","80","8.434","360","0","15","4","GenericSensor","0.06","0.5","0.5","3000000000","3500000000","99","3","1","45","35","0","0","3","0","-12","3000000","5","5","-30","1","1","0","0"
"Decca Type72 Doppler","","0","0","0","0","0","1900","2999","","","null","null","null","Decca Type 72 Doppler_AS/SS_Max=123.95km_Ref=94.18163km","The naming is unfortunately incorrect.  If anyone knows the correct name of the Tornado IDS/GR series radar, do speak up.  In the interim, range is assumed 67% of the Airpass 24.","123.95","94.18","120","-60","60","3","GenericSensor","0.06","0.26","0.32","3000000000","3500000000","99","1","1","80","70","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"Derby SH","","0","0","","","","1900","2999","","","","","","","Marcos","20","15","60","-60","60","1","GenericSensor","0","0","0","3000000000","3500000000","99","1","0","30","20","0","0","0","0","0","3000000","5","5","-30","0","1","0","0"
"DISS-7 AS","","0","0","1","0","0","1900","2999","","","null","null","null","Su-25 doppler radar","","190","41.54","60","-15","30","2.13","GenericSensor","0","0.6","0.4","3000000000","3500000000","99","1","1","60","50","0","0","3","-3","-12","3000000","5","5","-30","0","1","1","0"
"Don 2 SS","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","80","18","360","-35","70","8.63","GenericSensor","0","0.57","0.38","3000000000","3500000000","99","1","1","65","55","4","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","1"
"Don Kay SS","","0","0","1","0","0","1900","2999","","","null","null","null","","","75","14","360","-35","20","10","GenericSensor","0","0.59","0.39","3000000000","3500000000","99","2","1","63","53","4","0","2.5","0","0","3000000","5","5","-30","1","0","0","0"
"DRBI-10","","0","0","1","0","0","1900","2999","","","null","null","null","Height-finder radar","Friedman 1997-1998: 37 dB gain. 1000-2000 kW peak power. 4 us x 500 Hz PRF gives 2000-4000 W average power","170","60","360","-5","10","15","GenericSensor","0","0.15","0.15","2400000000","2600000000","99","1","1","97","70","0","0","2.5","-6","-12","200000","2.5","2.5","-30","1","1","1","0"
"DRBJ 11","","0","0","0","0","0","1900","2999","","","null","null","null","DRBJ 11; AS/SS; Max=360km; Ref=94.006km","","360","94.006","360","0","60","4","GenericSensor","0.01957","0.83","4","3000000000","3500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","8","-30","1","1","1","1"
"DRBJ 11B AS","","0","0","1","0","0","1900","2999","","","null","null","null","Long range 3D air search radar","","360","100","360","-5","40","15","GenericSensor","0","0.37","0.25","3000000000","3500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","4","-30","0","1","1","0"
"DRBJ 15","","0","0","0","0","0","1900","2999","","","null","null","null","DRBJ 15; AS/SS; Max=170km; Ref=92.476km","","170","92.476","360","0","60","2.5","GenericSensor","0.00088","0.83","0.25","2400000000","2600000000","99","1","1","77","67","0","0","2.5","-3","-12","2000000","5","8","-30","1","1","1","1"
"DRBV 15C","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 15C; AS/SS; Max=170km; Ref=97.165km","","170","97.165","360","0","60","2.5","GenericSensor","0.00088","0.83","0.25","2400000000","2600000000","99","1","1","77","67","0","0","2.5","-3","-12","2000000","1.65","8","-30","1","1","1","1"
"DRBV 21A","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 21A; AS/SS; Max=110km; Ref=73.561km","related to DRBV 26, so, copied from there and changes to suit needs.  DRBV 15C receiver mated to DBRV22 antennae, Naval institude suggests probably capable of detecting aircraft at 60nm.  110km instrumented, so expect aircraft detections to instrumented.  Will assume 5m² at 110km, thus 73.561km ref.","110","73.561","360","0","50","10","GenericSensor","0.02","1.25","4.15","3000000000","3500000000","99","1","1","92","82","0","0","2.5","-3","-12","3000000","5","8.3","-30","1","1","1","1"
"DRBV 22","","0","0","1","0","0","1900","2999","","","null","null","null","Long-range naval air search and surveillance radar","smaller export version of DRBV23.  600kW peak power, 26dB gain, 12RPM, 70nm vs a 10m² target","350","72.91","360","-5","15","5","GenericSensor","0","0.125","99","1300000000","1390000000","99","1","1","83.8","54.8","0","0","4","0","-12","2000000","3.5","16","-30","0","1","1","0"
"DRBV 26","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 26; AS/SS; Max=370km; Ref=156.219km","182km vs 2m² target, Janes.","370","156.219","360","0","50","15","GenericSensor","0.02","1.25","4.15","3000000000","3500000000","99","1","1","92","82","0","0","2.5","-3","-12","3000000","5","8.3","-30","1","1","1","1"
"DRBV 26C","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 26C; AS/SS; Max=350km; Ref=180.793km","","350","180.793","360","0","50","10","GenericSensor","0.0201","1.25","4.15","3000000000","3500000000","99","1","1","92","82","0","0","2.5","-3","-12","3000000","5","8.3","-30","1","1","1","1"
"DRBV 26D","","0","0","1","0","0","1900","2999","","","null","null","null","Air search radar Jupiter Extended Range","","450","175","360","-5","15","20","GenericSensor","0","0.37","0.25","3000000000","3500000000","99","1","1","92","82","0","0","2.5","-3","-12","3000000","5","3","-30","0","1","1","0"
"DRBV 51A","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 51A; AS/SS; Max=56km; Ref=20.941km","Unknown performance differences from 51D, assuming analogue, inferior processing.  Reducing the effective range by 17%, diminishing resolution as well.","56","20.941","360","0","50","15","GenericSensor","0.04","1.88","6.23","3000000000","3500000000","99","1","1","82","54","0","0","2.5","-3","-12","4000000","2.5","8.3","-30","1","1","1","1"
"DRBV 51D","","0","0","0","0","0","1900","2999","","","null","null","null","DRBV 51D; AS/SS; Max=56km; Ref=25.23km","","56","25.23","360","0","50","15","GenericSensor","0.02","1.25","4.15","3000000000","3500000000","99","1","1","82","54","0","0","2.5","-3","-12","4000000","2.5","8.3","-30","1","1","1","1"
"DRBV 23B","","0","0","1","0","0","1900","2999","","","null","null","null","Long-range naval air search and surveillance radar","2000 kW peak power with 29 dBi antenna gain. 7.5 RPM scan. About 50 ms of effective dwell time.  160nm vs 10m² target.","350","166.63","360","-5","15","8","GenericSensor","0","0.125","99","1300000000","1390000000","99","1","1","92","63","0","0","4","0","-12","2000000","2.5","50","-30","0","1","1","0"
"DRBV 50","","0","0","1","0","0","1900","2999","","","null","null","null","Low-altitude and surface search radar developed in the late 1950s","250 kW peak power 28 dB gain pw/prfs: 1.25 us 750 Hz or 0.25 us 2-4 kHz modes. Intended to detect 1 m2 targets out to 10 nm.","50","20","360","-7","10","4","GenericSensor","0","0.1","99","5350000000","5750000000","99","4","1","82","54","0","0","4","0","-12","4000000","1.3","20","-30","1","1","1","0"
"DRUA 33","","0","0","1","0","0","1900","2999","","","null","null","null","Air/surface-search radar.","","66.6","17.705","360","0","8.5","2.5","GenericSensor","0.06","1.75","4.25","8500000000","10550000000","99","1","1","77.451","64.441","0","0","0","0","0","3000000","3","8.5","-20","1","1","0","0"
"ECR-90","","0","0","0","0","0","1900","2999","","","null","null","null","Passive phased array version of Eurofighter radar","Guess looking at http://www.ausairpower.net/Analysis-Typhoon.html","250","80","120","-60","60","10","GenericSensor","0.01","0.17","0.21","3000000000","3500000000","99","1","1","60","50","6","0","2.5","-10","-16","3000000","5","3.3","-30","1","1","1","1"
"EL/M 2238","","0","0","","","","1900","2999","","","","","","","Marcos","200","100","360","0","45","2","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","44","34","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"EL/M-2001B AA","","0","0","","","","1900","2999","","","","","","","Marcos","12","10","60","-60","60","2","GenericSensor","0","0","90","3000000000","3500000000","99","2","1","36","26","1","0","60","0","0","3000000","5","5","-30","0","1","0","0"
"EL/M-2001B AG","","0","0","","","","1900","2999","","","","","","","Marcos","12","10","60","-60","60","2","GenericSensor","0","0","90","3000000000","3500000000","99","2","1","36","26","0","0","0","0","0","3000000","5","5","-30","1","0","0","1"
"EL/M-2032 AA","","0","0","","","","1900","2999","","","","","","","Marcos","180","45","120","-60","60","4","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","42","32","4","0","40","0","0","3000000","5","5","-30","0","1","0","0"
"EL/M-2032 AG","","0","0","","","","1900","2999","","","","","","","Marcos","240","45","120","-60","60","4","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","42","32","0","0","0","0","0","3000000","5","5","-30","1","0","0","1"
"EMPAR","","0","0","0","0","0","1900","2999","","","null","null","null","European Multifunction Phased Array Radar. Air and surface search with uplink for missile Guidance.","Note rotation rate is once per second but not the same as update rate for search. Modeling this as fire control radar only for now, using S1850M as search radar","500","200","360","0","45","10","GenericSensor","0","0.09","0.11","3000000000","3500000000","99","1","0","55","45","16","0","2","-3","-12","3000000","5","1.7","-30","1","1","1","0"
"ERINT Active Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","ERINT Active Seeker","","20","53.35","90","-45","45","2","GenericSensor","0.26","5.06","3.37","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"ESSM seeker","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","60","97.2","60","-30","30","2.5","GenericSensor","0.3","6.19","4.13","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"FCS-3 AS","","0","0","0","0","0","1900","2999","","","null","null","null","","","324","190","360","0","70","10","GenericSensor","0","0.09","0.11","3000000000","3500000000","99","1","1","60","50","10","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"Feng-II Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Hsiung-Feng-II active radar seeker","","40","8.31","60","-30","30","2.5","GenericSensor","0.3","6.19","4.13","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Fighter radar","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","130","36","90","-15","30","2.63","GenericSensor","0","0.53","0.35","3000000000","3500000000","99","1","1","60","50","2","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"Flat Screen AS","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","250","69.24","360","-35","70","8.63","GenericSensor","0","0.29","0.19","3000000000","3500000000","99","1","1","85","75","4","0","2.5","-3","-12","3000000","5","5","-30","0","1","1","0"
"FPS-117","","0","0","1","0","0","1900","2999","","","null","null","null","Long range 3D phased array radar","","450","124.62","360","-35","70","8.63","GenericSensor","0","0.22","0.14","3000000000","3500000000","99","1","1","80","70","0","0","5","-3","-12","3000000","5","5","-30","0","1","1","0"
"Furuno","","0","0","","","","1900","2999","","","","","","","Marcos","86.4","10","360","-25","25","2.4","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","44.29","34.29","0","0","0","0","0","3000000","5","3","-30","1","0","0","0"
"GabrielMk3AS","","0","0","","","","1900","2999","","","","","","","Marcos","20","5","60","-20","20","1","GenericSensor","0","0","90","3000000000","3500000000","99","1","0","20","10","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Generic Airborne AS","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","100","20","60","-35","45","8","GenericSensor","0","0.46","0.31","3000000000","3500000000","99","2","1","55","45","2","0","2.5","-12","-24","3000000","5","5","-30","0","1","1","0"
"Generic Radar 20km SS","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","20","5.54","360","-35","70","8.63","GenericSensor","0","1.02","0.68","3000000000","3500000000","99","1","1","46","36","4","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","1"
"Generic radar","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","100","27.69","360","-35","70","8.63","GenericSensor","0","0.46","0.31","3000000000","3500000000","99","1","1","60","50","2","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"Goalkeeper FCS-KNM","","0","0","","","","1900","2999","","","","","","","Marcos","5.6","5.6","360","0","60","1","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","30","20","1","0","0","0","0","3000000","5","30","-30","1","1","1","0"
"Gun Dish","","0","0","1","0","0","1900","2999","","","null","null","null","","i know nothing of this radar except that its effective out to 20km, and can track from 10km onwards.  GCB offers no track/scan differentiation, so im going to 15km overall.","15","20","360","-35","85","2","GenericSensor","0","0.28","0.19","3000000000","3500000000","99","1","1","70","60","2","0","2.5","-3","-12","3000000","5","5","-30","0","1","1","0"
"Head Lights FC","","0","0","1","0","0","1900","2999","","","null","null","null","Fire control for SA-N-3.","Naval Institute Guide to Soviet Navy indicates 74 km range. Assuming 74 km range vs 10 dBsm target (42 km ref range). G/H bands","150","42","360","-10","70","3","GenericSensor","0","0.4","0.27","3000000000","3500000000","99","2","0","60","50","4","0","2.5","-20","-25","3000000","5","5","-30","1","1","1","1"
"Head Net AS/SS","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","160","35.45","360","-35","70","8.63","GenericSensor","0","0.4","0.27","3000000000","3500000000","99","1","1","75","65","4","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"HHQ-9A Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-active radar seeker for Chinese HHQ-9A SAM","","46","28","60","-30","30","2.5","GenericSensor","0.16","2.46","1.64","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","1","1","1","0"
"HIPAR","HIPAR","0","0","0","0","0","1900","2999","","","null","null","null","HIgh Power Aquisition Radar; AS; Max=425km; Ref=111.175km","needs updating with accurate details.  Current info 'generated' mathematically. Max range, elevation, scan rate, Range accuracy and azimuth accuracy is accurate.","425","111.18","360","-5","60","9.1","GenericSensor","0.01","0.2","0.11","3000000000","3500000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"INTRA","","0","0","","","","1900","2999","","","","","","","Marcos","180","1","360","0","40","10","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","40","30","0","0","0","0","0","3000000","5","1","-30","0","0","0","0"
"Irbis-E","","0","0","1","0","0","1900","2999","","","null","null","null","Russian airborne air/surface-search and fire-control radar. Installed aboard Su-35BM.","","900","285","120","-60","60","3","GenericSensor","0.02","0.1","0.65","3000000000","3500000000","99","1","1","75","65","12","0","1","0","0","3000000","5","5","-30","1","1","1","1"
"JYL-1","","0","0","","","","1900","2999","","","","","","","Marcos","400","300","360","0","25","10","GenericSensor","0","0.3","0","3000000000","3500000000","99","1","1","60","50","0","0","10","0","0","3000000","5","5","-30","0","1","1","0"
"Kelvin Hughes","","0","0","","","","1900","2999","","","","","","","Marcos","86.4","10","360","-25","25","2.4","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","44.29","34.29","0","0","0","0","0","3000000","5","3","-30","1","0","0","0"
"Kh-15 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active radar seeker for air-launched anti-ship Kh-15A missile","","100","60","60","-60","60","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Kh-22 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","n/a","","150","70","20","-20","20","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Kh-35 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active seeker for Kh-35","","50","13.85","60","-30","30","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Kh-59 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active seeker for Kh-59","","50","13.85","60","-30","30","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Kivach SS","","0","0","1","0","0","1900","2999","","","null","null","null","NEED UPDATED INFO","","40","8.31","360","-35","70","8.63","GenericSensor","0","0.84","0.56","3000000000","3500000000","99","1","1","53","43","4","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","1"
"Land Roll","Land Roll","0","0","0","0","0","1900","2999","","","null","null","null","Land Roll; AS; Max=45km; Ref=30km","Data needs updating. max range is acurate.  If anyone knows the actual name of Land Roll, instead of just the Nato code name, do tell...","45","30","360","-5","83","1.16","GenericSensor","0","0.12","0.01","3000000000","3500000000","99","1","1","80","70","1","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"LN-66 SS","","0","0","1","0","0","1900","2999","","","","","","SH-2F surface search radar","","175","38.77","360","-35","70","8.63","GenericSensor","0","0.39","0.26","3000000000","3500000000","99","1","1","70","60","0","0","1.5","-3","-12","3000000","5","5","-30","1","0","0","0"
"LW-02","","0","0","1","0","0","1900","2999","","","null","null","null","","500kW peak power, 100nm claimed for aircraft target, 2.2 degree resolution in azimuth, 500,000w is 56.99dB, 30dB gain, for a P_erp of 86.99.  Antenna is a little shorter in height than it is wide, assuming 3° vertical beam width.  Ref range of 104.15km(aircraft at 100nm, aqssumed 10m²)km.  Will assume a 350km range as this corresponds to a target size of 127.56m, or 130m².","300","104.15","360","-35","60","8","GenericSensor","0.001117","1.1","1.5","1215000000","1390000000","99","1","1","86.99","72.9787","0","0","2.5","-15","-24","5000000","2.2","3","-30","1","1","1","0"
"LW-08","","0","0","1","0","0","1900","2999","","","null","null","null","","150kW peak power, 5.2kW average power, 145nm claimed for 2m² target, 2.2 degree resolution in azimuth, 300m in range.  150,000w is 51.761dB, 30dB gain, for a P_erp of 81.761.  Antenna is a little shorter in height than it is wide, assuming 3° vertical beam width.  Ref range of an astounding 225.814km.  Will assume a 600km range as this corresponds to a radar horizon at 50,000ft/15,200m, and a target size of 49.85m, or 50m².","600","225.814","360","-35","60","8","GenericSensor","0.001117","1.1","1.5","1250000000","1350000000","99","1","1","81.761","67.16","0","0","2.5","-3","-12","69000000","2.2","3","-30","1","1","1","0"
"M45 FCS","","0","0","1","0","0","1900","2999","","","null","null","null","","can fnd little on this system.  32kyd range, 29.25km.  X-band, 180kw.  As an early funfire radar, assuming a target size of 10m² at range.  180kW, assuming 26dB gain.","29.25","16.448","360","-35","70","2","GenericSensor","0.001117","0.5","0.4","8500000000","10550000000","99","1","1","78.553","65.553","50","0","2.5","-15","-24","5000000","2.2","3","-30","1","1","1","1"
"Marte Mk2 Seeker","","0","0","","","","1900","2999","","","","","","Active radar seeker","","10","6","60","-90","90","2.4","GenericSensor","0","0","90","3000000000","3500000000","99","3","0","24","14","0","0","0","0","0","3000000","5","3","-30","1","0","0","0"
"MESA Radar","","0","0","1","0","0","1900","2999","","","null","null","null","Long-range AESA surveillance radar installed aboard Australian E-737 Wedgetail AEW&C aircraft.","","1155","365","360","-60","60","1","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","80","70","0","0","0","0","0","3000000","5","5","-30","1","1","1","0"
"MICA R Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","","","80","39.41","60","-30","30","2.5","GenericSensor","0.22","3.79","2.53","3000000000","3500000000","99","1","0","60","50","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"MIM-104 seeker","","0","0","1","0","0","1900","2999","","","null","null","null","PAC-2 semi-active seeker","","30","44.8","120","-60","60","4","GenericSensor","0.3","6.19","4.13","3000000000","3500000000","99","1","0","-99","-109","0","1","1","0","0","3000000","5","5","-30","0","1","1","0"
"MIM-14 SARH Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","MIM-14 SARH Seeker","","30","26.25","90","-45","45","2","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"MIM-23 seeker","","0","0","1","0","0","1900","2999","","","null","null","null","MIM-23C Hawk semi-active seeker","","50","49.02","80","-40","40","5","GenericSensor","0.27","5.36","3.58","3000000000","3500000000","99","1","0","-99","-109","0","1","1","0","0","3000000","5","5","-30","0","1","1","0"
"Mk-92 FC","","0","0","1","0","0","1900","2999","","","null","null","null","Fire control radar for FFG-7","","300","22.16","360","-35","70","8.63","GenericSensor","0.01","0.51","0.34","3000000000","3500000000","99","1","0","60","50","1","0","0","-3","-12","3000000","5","5","-30","1","1","1","0"
"Mk-92 Mod 12 STIR-HP","","0","0","1","0","0","1900","2999","","","null","null","null","Fire-control radar installed aboard Australian Adelaide Class FFG.","","300","168","360","-35","70","1","GenericSensor","0","0","0","3000000000","3500000000","99","1","0","60","50","1","0","0","0","0","3000000","5","5","-30","1","1","1","0"
"Mk-92 STIR Mod6","","0","0","1","0","0","1900","2999","","","null","null","null","Fire control radar for FFG-7","Only permits engagement of a single target at a time, this will seriously hobble the perry's compared tot heir current state, which is apparently overpowered, some scenarios will be more difficult to survive as a result.  broken for some damned reason.","474","47.368","300","-35","70","1","GenericSensor","0.01","0.51","0.34","3000000000","3500000000","99","1","0","60","50","1","0","0","-3","-12","3000000","5","5","-30","1","1","1","0"
"Mk13 MBFC SS","","0","0","1","0","0","1900","2999","","","null","null","null","","http://www.researcheratlarge.com/Ships/Misc/FCR-Mk8/, battleship at 35-45kyds, large destroyer at 20-32kyds, aircraft at 'upto' 15kyds.","82.3","16.941","360","-35","70","6","GenericSensor","0.01","0.1","0.15","3000000000","3500000000","99","1","1","88.451","78.451","0","0","2.5","-30.8","-39.8","3000000","0.9","9","-30","1","1","1","0"
"Mk3 MBFC SS","","0","0","1","0","0","1900","2999","","","null","null","null","","http://www.kbismarck.org/forum/viewtopic.php?f=1&t=3265&start=30, BB at 28kyds, roughly 37km, using Iowa as the incident BB, so 44.6dBm.  Aircraft at roughly 40kyds.  This defines a lookdown penalty.  Assuming 20dB aircraft target.   -30.8db lookdown over water pegs the 28kyd ship range for a 44.6dBm BB.http://www.navweaps.com/Weapons/WNUS_Radar_WWII.htm","37","11.57","360","-35","70","8.63","GenericSensor","0.001365","0.114","0.15","3000000000","3500000000","99","1","1","84.47","74.47","0","1","2.5","-30.8","-39.8","3000000","2","4","-30","1","1","1","0"
"Mk8 MBFC SS","","0","0","1","0","0","1900","2999","","","null","null","null","","http://www.kbismarck.org/forum/viewtopic.php?f=1&t=3265&start=30, BB at 41kyds, roughly 37km, using Iowa as the incident BB, so 44.6dBm.","41.1","2.877","360","-35","4","8.63","GenericSensor","0.001365","0.114","0.15","3000000000","3500000000","99","1","1","86.23","76.23","0","0","2.5","-30.8","-39.8","3000000","2","4","-30","1","1","1","0"
"MM/APS-784","","0","0","","","","1900","2999","","","","","","Finmeccanica Italian maritime surveillance radar for EH101 helicopter","No data just a guess","150","20","360","-45","0","6","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","50","40","0","0","0","0","0","3000000","5","60","-30","1","0","0","0"
"MPQ-33","MPQ-33","0","0","1","0","0","1900","2999","","","null","null","null","MPQ-33 Radar","needs updating with accurate details.  Current info 'generated' mathematically.  Ref Range scaled against known Ref Range of MPQ-46","35","65.63","360","-10","55","2","GenericSensor","0","0.2","0.17","3000000000","3500000000","99","1","0","80","70","12","0","0","-3","-12","3000000","5","5","-30","0","1","1","0"
"MPQ-34","MPQ-34","0","0","1","0","0","1900","2999","","","null","null","null","MIM-34 Search Radar","needs updating with accurate details.  Current info 'generated' mathematically.  Extrapolated Ref Range from MPQ-48(it doubled output power, so its deteciton ranges should exceed MPQ-34 by 18.9%, thus, MPQ-48 ref range -18.9%=MPQ-34 Ref Range.","74","30","360","-10","15","3","GenericSensor","0","0.2","0.17","3000000000","3500000000","99","1","0","80","70","12","0","0","-3","-12","3000000","5","5","-30","0","1","1","0"
"MPQ-35","MPQ-35","0","0","1","0","0","1900","2999","","","null","null","null","MPQ-35 Search Radar","needs updating with accurate details.  Current info 'generated' mathematically.  Output less than half of MPQ-50, decreases ref_range accordingly, estimate decrease at 22.095%.","110","61.55","360","10","55","3","GenericSensor","0","0.2","0.17","3000000000","3500000000","99","1","0","80","70","12","0","0","-3","-12","3000000","5","5","-30","0","1","1","0"
"MPQ-46","MPQ-64","0","0","1","0","0","1900","2999","","","null","null","null","MPQ-64 Search Radar","needs updating with accurate details.  Current info 'generated' mathematically.  Ref Range is Accurate","40","75","360","-10","55","2","GenericSensor","0","0.2","0.17","3000000000","3500000000","99","1","0","80","70","12","0","0","-3","-12","3000000","5","5","-30","0","1","1","0"
