"DatabaseClass text primary key","NATO_ASCC text","ModelClassId numeric","ClassificationId numeric","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","Damage numeric","DamageModel text","LaunchSpeed_mps numeric","targetFlags numeric","MinLaunchAlt_m numeric","MaxLaunchAlt_m numeric","MinRange_km numeric","MaxRange_km numeric","ProbNoFaults numeric","PayloadClass text","PayloadQuantity numeric","DatalinkRange_km real","AcceptsUserCommands numeric","DetonationRange_m numeric","RCS_dBsm numeric","RCS_Model text","OpticalCrossSection_dBsm numeric","IRSignature_dB numeric","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","DragArea_sm numeric","Gmax numeric","MaxTurnRate_degps numeric","Cdpsub numeric","Cdptran numeric","Cdpsup numeric","Mcm numeric","Msupm numeric","BoostThrust_N numeric","BoostTime_s numeric","SustThrust_N numeric","SustTime_s numeric","ShutdownSpeed_mps numeric","SensorClass text","NeedsFireControl numeric","AcceptsWaypoints numeric","Rng1_km numeric","Alt1_m numeric","AltMode1 numeric","GuidMode1 numeric","Rng2_km numeric","Alt2_m numeric","AltMode2 numeric","GuidMode2 numeric","Rng3_km numeric","Alt3_m numeric","AltMode3 numeric","GuidMode3 numeric","Rng4_km numeric","Alt4_m numeric","AltMode4 numeric","GuidMode4 numeric","Rng5_km numeric","Alt5_m numeric","AltMode5 numeric","GuidMode5 numeric","Rng6_km numeric","Alt6_m numeric","AltMode6 numeric","GuidMode6 numeric","Rng7_km numeric","Alt7_m numeric","AltMode7 numeric","GuidMode7 numeric","Rng8_km numeric","Alt8_m numeric","AltMode8 numeric","GuidMode8 numeric","DamageEffect text"
"AIM-9E","","5","64","90000","74.5","1","1964","1974","","","","mis/icoAIM-9E.jpg","AIM-9LandM.xml","AIM-9E Sidewinder air-to-air missile, rebuild of -B 550kt engaged to 16km ETA 18 seconds","used by the USAF, unknown entry date, about 5000 produced.  given that 9B was produced for the airforce until 62, and then the C and D were in 65 until 69, and the follow-on AIM-9G was in 1970, I will assume the AIM-9E was produced in 1964 until 1968.  USAF replaced it with AIM-9J in 1972, assuming -9E exit from service 2 years after this, 1974.","4.5","BlastFragAir4.5kg","0","2","0","34567","1","10.9","0.85","","","0","0","6.50305636","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.7","0","1","18.5","87.313","0.0174","0.02175","0.0145","0.8","1.2","11500","4.7","0","0","450","AIM-9D Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9G","","5","64","90000","86.6","1","1970","1974","","","","mis/icoAIM-9G.jpg","AIM-9LandM.xml","AIM-9G Sidewinder air-to-air missile 550kt target engaged to 17.2km ETA 20 seconds","produced from 1970 until 1972, 2120 in total, will assume a 3 year service life from 1971 until 1974.","10.2","BlastFragAir11kg","0","2","0","34567","1","11.6","0.85","","","0","0","7.693227181","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.4","0","1","18.5","87.313","0.0174","0.02175","0.0145","0.8","1.2","11500","5","0","0","450","AIM-9D SEAM Seeker","0","0","0.01","12000","2","2","0","0","",",","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9H","","5","64","90000","84.5","1","1971","1980","","","","mis/icoAIM-9H.jpg","AIM-9LandM.xml","AIM-9H Sidewinder air-to-air missile, increased reliability 550kt target engaged to 17.2km ETA 20 seconds","produced from 1972 until 1974, 7700 in total.  Not replaced until the joint USN/USAF AIM-9L entered production in 1978.  Will assume a service life extending slightly beyond this, until 1980, and starting in 1971.","10.2","BlastFragAir11kg","0","2","0","34567","1","11.6","0.85","","","0","0","7.693227181","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.5","0","1","18.5","87.313","0.0174","0.02175","0.0145","0.8","1.2","11500","5","0","0","450","AIM-9D SEAM Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9J","","5","64","90000","78","1","1973","1981","","","","mis/icoAIM-9J.jpg","AIM-9LandM.xml","AIM-9J Sidewinder air-to-air missile, greater reliability, greater agility  550kt target engaged to 17.4km ETA 19 seconds","a USAF variant, produced from 1972 until replaced by the AIM-9L in 1978, about 10,000 of them were built, assuming an exit service date 3 years after they were replaced, making it 1981, and entering 1 year after production begins making it 1973.","4.5","BlastFragAir4.5kg","0","2","0","34567","1","12.1","0.85","","","0","0","6.50305636","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.8","0","1","35","165.186","0.0174","0.02175","0.045","0.8","1.2","11500","5.3","0","0","450","AIM-9D SEAM Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9L","","5","64","90000","85.3","1","1979","1986","","","","mis/icoAIM-9L.jpg","AIM-9LandM.xml","AIM-9L Sidewinder air-to-air missile, greater agility, greater speed, improved fusing, improved warhead  550kt target engaged to 20.8km ETA 23 seconds","a joint USN/USAF missile, produced starting in 1978, and not replaced until the AIM-9M in 1982.  in those 4 years more than 16,000 were built.  assuming a service date of 1979 until 1986","10.2","BlastFragAir10.5kg","0","2","0","34567","1","14.4","0.85","","","0","0","7.628304272","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.8","0","1","40","188.784","0.0174","0.02175","0.0145","0.8","1.2","11500","6.3","0","0","450","AIM-9L Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9M","","5","64","90000","86","1","1983","2011","","","","mis/icoAIM-9M.jpg","AIM-9M Sidewinder.xml","AIM-9M Sidewinder air-to-air missile, improved guidance, better IRCCM(IR ECCM), improved reliability  550kt target engaged to 21.4km ETA 23 seconds","the replacement of the AIM-9L, main model for some time, production started in 1982, continued until replaced on the line by the AIM-9P.  Roughly 7000 were produced.  will assume gradually dwindling numbers, seeing as how it was still around for the 1991 gulf war.  It maintains its position in service with the navy until replaced by the AIM-9X in may 2004, and then is phased out as the AIM-9X comes on line in units.  by mid 2008, 4 years, only 3000 have been delivered, the take over of AIM-9X will be slow.  Will assume an out date of 2011.","10.2","BlastFragAir10.5kg","0","2","0","34567","1","14.8","0.85","","","0","0","7.628304272","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.8","0","1","40","188.784","0.0174","0.02175","0.0145","0.8","1.2","11500","6.5","0","0","450","AIM-9M Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9N","","5","64","90000","78","1","1975","1982","","","","mis/icoAIM-9N.jpg","AIM-9M Sidewinder.xml","AIM-9N Sidewinder air-to-air missile, better reliability  550kt target engaged to 17.4km ETA 19 seconds","a cheap export model, its essentially a J with solid state elextronics, around 7000 were produced.","4.5","BlastFragAir4.5kg","0","2","0","34567","1","14.6","0.85","","","0","0","6.50305636","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.9","0","1","40","188.784","0.0174","0.02175","0.0145","0.8","1.2","11500","6.5","0","0","450","AIM-9N Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9P","","5","64","90000","78","1","1978","2010","","","","mis/icoAIM-9P.jpg","AIM-9M Sidewinder.xml","AIM-9P Sidewinder air-to-air missile, poor man's exported AIM-9L/M  550kt target engaged to 20.9km ETA 22 seconds","while intended as an export only model, it has ended up in USAF inventories in extensive numbers.  Over 21,000 were built.  Deliveries begain in 1978.","4.5","BlastFragAir4.5kg","0","2","0","34567","1","14.6","0.85","","","0","0","6.50305636","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.9","0","1","30","141.588","0.0174","0.02175","0.0145","0.8","1.2","11500","6.5","0","0","450","AIM-9P Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9P4","","5","64","","78","","1980","2999","","","","mis/icoAIM-9P4.jpg","AIM-9M Sidewinder.xml","","Marcos-rebuilt by amram","12","BlastFragAir4.5kg","0","2","0","34567","1","14.6","0.85","","","0","0","6.50305636","-16.9","MissileRCS1","-3","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.7","0","1","30","141.588","0.0174","0.02175","0.0145","0.8","1.2","11500","6.5","0","0","450","AIM-9P4 Seeker","0","0","0.3","5000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"AIM-9X","","5","64","90000","85","1","2004.3","2999","","","","mis/icoAIM-9X.jpg","AIM-9M Sidewinder.xml","AIM-9X Sidewinder air-to-air missile, same motor/warhead, new airframe(reduced drag, increased performance/agility), thrust vectoring 550kt target engaged at 30km  ETA 32 seconds","deliveries begain in may 2004, 4 years later by mid 2008 only 3000 had been delivered.  to assume similar rate of production and extrapolate, in three more uears just 2250 more missiles would be built, raising he total to 5250.","10.2","BlastFragAir10.5kg","0","2","0","34567","1","21.1","0.85","","","0","0","7.628304272","-16.9","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M3","0","1","50","235.98","0.012","0.015","0.01","0.8","1.2","12700","6","0","0","450","AIM-9X Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ALARM","","5","64","300000","268","1","1988","2999","","","","mis/icoALARM.jpg","am-39.xml","ALARM anti-radiation air-to-ground missile","unable to mimic its main feature, the parachute loitering above intended target areas.  Setup essentially like HARM, tips over 11km from the target, has 3km to lock it up and realign, then goes inertial to continue in for the kill even if the target shuts down, or say a prior missile disables its radar.  capable of up to 121km, or 64km when launched low and slow(such are the costs of long high altitude cruises, poor low altitude capability).","56","BlastFragMis65kg","0","5","30","34567","3","121","0.85","","","0","0","9.850040703","-12","MissileRCS1","-0.34","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M3.6","0","1","25","106.191","0.0132","0.0165","0.011","0.8","1.2","45000","3.5","16000","8","500","HARM Seeker","0","0","15","14600","0","1","12","250","0","1","0.01","1","2","2","","","2","2","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AM-39 Exocet","","5","64","400000","655","3","1979","2999","","","","mis/icoAM-39.jpg","am-39.xml","AM-39 Exocet anti-ship missile","","50","Pen165kg","0","1","100","34567","2","70","0.85","","","0","0","0","-8.1","MissileRCS1","1.37","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.6","0","0.01","15","65.6","0.06","0.075","0.05","0.8","1.2","9200","204","0","0","250","AM-39 Seeker","0","0","20","3","0","1","10","3","0","1","0.01","0.01","2","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AS 12","","5","64","0","74.84","0.5","1960","1990","","","","mis/icoAS-12.jpg","roland-sam.xml","AS 12 ASM 15km range ETA 88 seconds","maximum range of 6580yds/6km, maximum speed of 350kts, maximum flight time of 34 seconds.  As currently set a 100kt launch speed at 50m altitude yields a 353.85kt max speed, it just reaches 6km range, and it does this in 34.08 seconds.  If launched with zero fwd velocity it reaches 353.84kts, flies for 34.1 seconds, and covers 5.86km.  Setting the max range according to a zero speed launch.  A launch at 0kts and 1950m alt achieves intercept at 6km range.","180","Pen44kg","0","1","0","34567","1","15","0.85","","","0","0","0","-12.5","MissileRCS1","0","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.1","0","1","8","97.09","0.12","0.15","0.1","0.8","1.2","4850","34","0","0","175","AS 12 Guidance","0","0","5","80","0","1","0.01","0","2","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AS-15TT","","5","64","0","96","0.25","1985","2999","","","","mis/icoAS-15TT.jpg","roland-sam.xml","","","180","Pen30kg","0","1","0","34567","1","15","0.85","","","0","0","0","-13.5","MissileRCS1","0","30","MissileIR1","Default","MissileIR1_Super","0","1","8","97.09","0.08","0.1","0.2","0.8","1.2","8000","60","0","0","175","AGM-119B seeker","1","0","0.5","80","0","0","0.01","0","2","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AS-30","","5","64","0","530","1","1964","2010","","","","mis/icoAS-30.jpg","roland-sam.xml","AS-30 ASM 10km range ETA 25 seconds","","180","Pen240kg","0","1","0","34567","3","10","0.85","","","0","0","0","-8.3","MissileRCS1","0","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2","0","1","15","127","0.0715","0.08125","0.065","0.8","1.2","100000","2","15000","15","250","AS 30 Seeker","0","0","0.01","0","2","2","0.01","0","2","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AS-30L","","5","64","0","530","1","1983","2999","","","","mis/icoAS-30L.jpg","roland-sam.xml","AS-30L ASM 10km range ETA 25 seconds","","180","Pen240kg","0","1","0","34567","3","10","0.85","","","0","0","0","-8.3","MissileRCS1","0","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2","0","1","15","127","0.0715","0.08125","0.065","0.8","1.2","100000","2","15000","15","250","AS 30L Laser Seeker","0","0","0.01","0","2","2","0.01","0","2","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"AS.34 Kormoran","","5","64","450000","600","3","1974","2999","","","","mis/icoAS-34.jpg","mm-38.xml","AS.34 Kormoran Anti Shipping missile.  Designed for a low altitude launch to protect the launching platform.  Capable of 30km at mach 0.9 when launched at 250m altitude.  Reaches to 46km when launched supersonically at 800kts and 250m altitude.  As much as 65.5km can be achieved if launched from 800kts at 10,000m altitude.  The missile is not capable of sustaining supersonic speeds even if launched supersonically.","","221","Pen160kg","0","1","30","34567","2","30","0.85","","","0","0","0","-8.2","MissileRCS1","1.53","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.5","0","0.01","7","59.47","0.012","0.015","0.01","0.8","1.2","1765","99","0","0","250","Kormoran Seeker","0","0","15","15","0","1","0.1","0","2","2","","","0","1","","","2","2","","","","","","","","","","","","","","","","","TestMissileDmg"
"AS.34 Kormoran II","","5","64","575000","630","3","1991","2999","","","","mis/icoAS-34II.jpg","mm-38.xml","AS.34 Kormoran II Anti Shipping missile.  Designed for a low altitude launch to protect the launching platform.  Capable of 55km at mach 0.85 when launched at 250m altitude.  Reaches to 65.5km when launched supersonically at 800kts and 250m altitude.  As much as 86km can be achieved if launched from 800kts at 10,000m altitude.  The missile is not capable of sustaining supersonic speeds even if launched supersonically.","","221","Pen160kg","0","1","30","34567","2","55","0.85","","","0","0","0","-8.2","MissileRCS1","1.53","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.6","0","0.01","7","59.47","0.012","0.015","0.01","0.8","1.2","1945","144.5","0","0","250","Kormoran Seeker","0","0","15","15","0","1","0.1","0","2","2","","","0","1","","","2","2","","","","","","","","","","","","","","","","","TestMissileDmg"
"ASM-I","","5","64","100000","100","3","1900","2999","","","","mis/asm_unk.jpg","am-39.xml","","","50","Pen250kg","0","1","0","34567","2","180","0.85","","","0","0","0","10","MissileRCS1","10","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.7","0","0.01","15","90","0.2","0.4","0.3","0.9","1.1","50000","20","20000","120","200","ASM Seeker","0","0","20","15000","0","1","9","5000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"Aspide 2000","","5","64","","230","","1995","2999","","","","mis/icoASPIDE2000.jpg","roland-sam.xml","ASPIDE 2000 AAM/SAM.   This is a modern upgrade of the Aspide 1.  Improvements include a larger rocket motor delivering more power for 30% to 40% more range, larger tail surfaces to improve maneuverability, enlarged wings, new guidance package, and uplink allowing it to fly a more efficient path.","MBDA","8","BlastFragAir35kg","0","2","0","34567","3","28","0.85","","","0","0","11.05478448","-12.8","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4.6","0","1","40","188.8","0.0264","0.033","0.022","0.8","1.2","75000","3.5","18000","27","450","Aspide 2000 Seeker","1","0","22","11000","0","0","0.1","6000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ASPIDE-1A","","5","64","","200","0.5","1977","2999","","","","mis/icoASPIDE-1A.jpg","roland-sam.xml","Aspide 1 AAM/SAM. 75.2km vs 550kt target, 578s.   Based on the AIM-7 Sparrow, it has a slightly more powerful motor granting greater speed and range, and closed loop hydraulics, also improving range.","Marcos - modified by Amram","8","BlastFragAir35kg","0","2","0","34567","3","58.8","0.85","","","0","0","11.05478448","-11.6","MissileRCS1","-2","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4","0","1","30","141.6","0.0264","0.033","0.022","0.8","1.2","78000","3","20000","21","450","Aspide 2000 Seeker","1","0","0.1","6000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ASRAAM","","5","64","90000","88","1","2002","2999","","","asraam.jpg","mis/icoASRAAM.jpg","AIM-132.xml","AIM-132 ASRAAMr air-to-air missile.  thrust vectoring 550kt target engaged at 33.7km  ETA 34 seconds.","[greengills] set slightly superior to AIM-9X, achieving 24km range instead of 21.1, did this by only boosting thrust, thus is peaks at mach 3.327 instead of the AIM-9X's 2.967.  So, slightly faster, slightly greater reach, but inferior off boresight.","10.2","BlastFragAir10.5kg","0","2","0","34567","1","24","0.85","","","0","0","7.628304272","-14.6","MissileRCS1","-4.2","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M3.4","0","1","50","121.4","0.012","0.015","0.01","0.8","1.2","14950","6","0","0","450","AIM-132 IR Seeker","0","0","0.01","12000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ASROC-TEST","","5","64","300000","80","3","1900","2999","","","","mis/ssm_unk.jpg","mm-38.xml","Test of missile (rocket) that deploys a torpedo","","0","Harmless","0","16","0","34567","1","15","0.85","AT-2M","1","0","0","4.25","0","MissileRCS1","0","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.1","0","1","15","90","0.1","0.15","1","0.65","0.68","45000","3","10000","70","150","","0","0","1","300","0","1","0.01","300","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ASTER 15","","5","64","0","310","1","1900","2999","","","","mis/icoASTER-15.jpg","roland-sam.xml","ASTER 15 Surface to Air Missile.  550kt target engaged at 30.1km","","6.2","BlastFragMis12.5kg","0","10","0","34567","0.5","21.5","0.85","","","0","0","5.664599733","-14.6","MissileRCS1","1.12","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M3","0","4.75","50","212.382","0.0462","0.0525","0.042","0.8","1.2","200000","1.4","35000","15","500","ASTER Seeker","1","0","20","11000","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"ASTER 30","","5","64","0","450","1","1900","2999","","","","mis/icoASTER-30.jpg","roland-sam.xml","ASTER 30 Surface to Air Missile.  550kt target engaged at 120km","","6.2","BlastFragAir12.5kg","0","10","0","34567","0.5","90.4","0.85","","","0","0","8.010953768","-14.6","MissileRCS1","1.12","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4.4","0","4.75","50","212.382","0.0462","0.0525","0.042","0.8","1.2","65000","12.3","35000","15","500","ASTER Seeker","1","0","30","16800","0","0","0.1","7500","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"BAe Sea Eagle","","5","64","638000","600","3","1985","2999","","","","mis/icoSEAEAGLE.jpg","mm-38.xml","BAe Sea Eagle Anti Shipping Missile. Capable of 110km when launched from low altitude, it flies at mach 0.8 and completes its flight in 6 minutes 45 seconds.  It is incapable of sustaining supersonic flight, and can achieve ranges of up to 132.5 and the duration of the flight is unchanged.","","221","Pen230kg","0","1","30","34567","2","110","0.85","","","0","0","0","-6.9","MissileRCS1","1.53","0","IR_M_M_LP_M0.85","Default","IR_M_M_LP_Super_M1.4","0","0.01","7","59.47","0.012","0.015","0.01","0.8","1.2","1335","388.5","0","0","250","Sea Eagle Seeker","0","0","20","10","0","1","0.1","0.1","2","2","","","0","1","","","2","2","","","","","","","","","","","","","","","","","TestMissileDmg"
"BGM-109 TASM","","5","64","0","1315","1","1900","2999","","","","mis/icoBGM-109B.jpg","mm-38.xml","Tomahawk Anti Ship Missile - 600km @ Mach 0.678/448kts,  ETA 33 min.","","682.5","Pen450kg","0","1","-30","40","2","600","0.85","","","0","0","0","-2.9","MissileRCS1","3","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","1","10","106.191","0.216","0.27","0.18","0.8","1.2","51173","6","14020","1950","200","BGM-109 seeker","0","0","40","35","1","1","37","35","1","1","36","35","1","1","20","35","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"BGM-109 TLAM","","5","64","0","1315","1","1900","2999","","","","mis/icoBGM-109A.jpg","mm-38.xml","Tomahawk Cruise Missile, 2800km Range, mach 0.678/448kts, ETA up to 3hr 23min.","","455","Pen450kg","0","4","-30","40","2","2800","0.85","","","0","0","0","-2.9","MissileRCS1","3","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","1","20","109.258","0.108","0.135","0.09","0.8","1.2","51173","6","7010","12150","200","Generic Cruise Missile Seeker","0","0","20","55","1","1","1","55","1","1","0.01","0.01","2","2","","","3","1","","","1","1","","","1","1","","","1","1","","","2","2","TestMissileDmg"
"BGM-109G TLAM-N","","5","64","0","1315","1","1900","2999","","","","mis/icoBGM-109G.jpg","mm-38.xml","Tomahawk Nuclear Cruise Missile, 2800km Range, mach 0.678/448kts, ETA up to 3hr 23min.","","455","Nuclear-200kT","0","4","-30","40","2","2800","0.85","","","0","0","238","-2.9","MissileRCS1","3","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","1","10","106.191","0.216","0.27","0.18","0.8","1.2","51173","6","14020","12150","200","BGM-109 Seeker","0","0","20","35","1","1","1","35","1","2","0.01","200","2","2","","","0","1","","","1","1","","","1","1","","","1","1","","","2","2","TestMissileDmg"
"Bloodhound mk1","","5","64","0","2270","1","1900","2999","","","","mis/icoBLOODHOUND.jpg","aim-9.xml","Bloodhound Mk1 missile  550kt target engaged at 30km","","12","BlastFragAir250kg","0","10","0","34567","2","20.6","0.85","","","0","0","24.83014165","-1.2","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M2.5","0","1","12","40.1","0.048","0.06","0.04","0.8","1.2","535000","3","72000","8","600","BloodHound SARH Seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"Bloodhound mk2","","5","64","0","2270","1","1900","2999","","","","mis/icoBLOODHOUNDII.jpg","aim-9.xml","Bloodhound Mk2 missile  550kt target engaged at 85km","","12","BlastFragAir250kg","0","10","0","34567","2","56.6","0.85","","","0","0","24.83014165","-1.2","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M2.5","0","1","12","40.1","0.048","0.06","0.04","0.8","1.2","535000","3","72000","9.3","600","BloodHound SARH Seeker","1","0","20","15000","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"Brimstone","","5","64","125000","48.5","0.25","2005","2999","","","","mis/icoBRIMSTONE.jpg","agm-114.xml","Brimstone Anti Armour missile, 12 to 18.4km range depending on launch conditions, ETA 25 to 33 seconds.","","56","Pen8kg","0","5","0","34567","0.25","13","0.85","","","0","0","0","-14","MissileRCS1","-0.66","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.6","0","1","25","176.985","0.0048","0.005","0.004","0.8","1.4","15000","2","1500","10.1","300","Brimstone Seeker","0","0","5","1500","1","2","0.01","0.01","2","2","","","2","2","","","0","0","","","0","0","","","0","0","","","0","0","","","0","0","TestMissileDmg"
"DART","","5","64","","12","","2010","2999","","","","mis/dartico.jpg","roland-sam.xml","","Marcos","3","BlastFragAir5kg","0","10","0","17000","0.1","6","0.85","","","0","0","6.668565326","-10","MissileRCS1","-3","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M6.5","0","1","50","100","0.15","0.2","0.15","0.9","1","100000","6","100000","4","300","DART-SH","1","0","0.01","4000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"Derby","","5","64","","118","","1900","2999","","","","mis/icoDERBY.jpg","AIM-9LandM.xml","","Marcos - modified by amram","12","BlastFragAir10kg","0","2","30","17000","1","46.8","0.85","","","0","0","7.562824054","-14.9","MissileRCS1","-3","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4.2","0","0.01","40","188.784","0.015","0.018","0.012","0.8","1.2","34500","2","14000","8","450","Derby SH","1","0","20","12500","0","0","0.01","5000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"Drone","","5","64","500000","4500","1","1900","2999","","","","mis/asm_unk.jpg","as-4.xml","Target Drone, intended to emulate Bear.","","70","Harmless","0","5","10000","34567","0","450","0.85","","","0","0","0","20.25","MissileRCS1","20.25","0","IR_M_VL_R_M0.85","Default","IR_M_VL_R_Super_M1.1","0","1","1","49.6","0.6","0.75","0.5","0.8","1.2","10530","1700","0","0","80","AEW radar","0","0","0.01","10000","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg"
"ERINT/PAC-3","","5","64","0","312","0.25","1996","2999","","","","mis/icoERINT.jpg","aim-9.xml","MIM-104A Patriot missile  550kt target engaged at 15km","","12","SolidProjectile","0","10","0","34567","2","10.9","0.85","","","0","0","0","-10.8","MissileRCS1","-2.19","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M4.8","0","1","30","65.55","0.084","0.105","0.07","0.8","1.2","240000","4.8","0","0","500","ERINT Active Seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
