DatabaseClass text primary key,NATO_ASCC text,ModelClassId integer,ClassificationId integer,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError real,AngleError_deg real,ElevationError_deg real,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor real,IsSurveillance integer,SL numeric,DI numeric,isPassive integer,isActive integer,isTowed integer,maxScope_m numeric,isWakeHoming integer
"DUBV-23 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 32km, Scan Rate: 44.9s, Performance: 212.9dB          Installed aboard numerous French and Chinese surface combatants.","contributed by greengills  capable of detecting a 200ft target at 14000yds, tweaked capable of detecting a kilo 50/50 at 12.7km, upper limit on detection range is 35kyds, 32km, range accuracy is 150yds ±1%, bearing accuracy is 1°.  Assigning range accuracy of 150yds plus 1% of 17500yds.","32","1","270","-90","90","44.87","GenericSensor","0.00929","1","1","500","10000","99","1","1","193.5","19.35","0","1","0","0","0"
"DUBV-24C","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 25km, Scan Rate: 25s, Performance: 235dB","Just copied DUBV-23 for now","25","1","270","-90","90","25","GenericSensor","0.15","1","1","500","10000","99","1","1","213.6363636","21.36363636","0","1","0","0","0"
"DUBV-43 VDS Active","","0","0","0","0","0","1900","2999","","","","","","Active Towed Array Sonar, Max Range: 35km, Scan Rate: 44.9s, Performance: 212.9dB          Installed aboard numerous French and Chinese surface combatants.","contributed by greengills  has equivalent performance to DUBV-23, but is a VDS.","35","1","360","-90","90","44.87","GenericSensor","0.00929","1","1","500","10000","99","1","1","193.5","19.35","0","1","1","700","0"
"EDO-610E ACT","","0","0","","","","1900","2999","","","","","","Active Sonar, Max Range: 5km, Scan Rate: 25s, Performance: 188dB","Marcos Viniegra","5","1","300","-30","30","25","GenericSensor","0","0","90","500","10000","99","1","1","170.9090909","17.09090909","0","1","0","0","0"
"EDO-610E PAS","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 3km, Scan Rate: 30s, Performance: 8DI","Marcos Viniegra","3","1","360","-30","30","30","GenericSensor","0.8","5","90","500","10000","10","1","1","0","8","1","0","0","0","0"
"Elac 1Bv Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 12km, Scan Rate: 15.4s, Performance: 149.6dB","accurate source level, and range.  Otherwise assumed equivalent to SPS-4","12","1","80","-90","70","15.386","GenericSensor","0.075","3.75","10","8000","15000","99","1","1","136","13.6","0","1","0","0","0"
"Generic active sonar","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 35km, Scan Rate: 44.9s, Performance: 245dB / 22.3DI","","35","1","90","-90","90","44.88","GenericSensor","0.33","5","90","500","10000","10","1","1","222.7272727","22.27272727","1","1","0","0","0"
"Generic Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 25km, Scan Rate: 32.1s, Performance: 250dB","","25","1","300","-90","90","32.06","GenericSensor","0","1","90","500","10000","99","1","1","227.2727273","22.72727273","0","1","0","0","0"
"Generic Mine Hunting Sonar","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 10km, Scan Rate: 12.8s, Performance: 241dB","","10","1","270","-90","90","12.83","GenericSensor","0","1","90","500","10000","99","1","1","219.0909091","21.90909091","0","1","0","0","0"
"Generic passive sonar","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 50km, Scan Rate: 10s, Performance: 20DI","","50","1","360","-90","90","10","GenericSensor","0.33","5","90","500","10000","10","1","1","0","20","1","0","0","0","0"
"Generic Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 50km, Scan Rate: 10s, Performance: 20DI","","50","1","300","-90","90","10","GenericSensor","0.33","5","90","500","10000","10","1","1","0","20","1","0","0","0","0"
"Generic Sonar Active 20km","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 20km, Scan Rate: 25.7s, Performance: 240dB","","20","1","270","-90","90","25.65","GenericSensor","0","1","90","500","10000","99","1","1","218.1818182","21.81818182","0","1","0","0","0"
"Generic torpedo seeker","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 1.4s, Performance: 200dB / 18.2DI","","20","1","90","-90","90","1.41","GenericSensor","0","1","90","500","10000","10","1","0","181.8181818","18.18181818","1","1","0","0","0"
"Gerkules Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 6km, Scan Rate: 15s, Performance: 198dB","http://www.alternatewars.com/BBOW/Sonar/SQS_Series.htm","6","1","300","-90","90","15","GenericSensor","0.05","9.5","90","500","10000","99","1","1","180","18","0","1","0","0","0"
"Helix Dipping Sonar","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 210dB","(Change to real name) Dipping sonar for Ka-28 Helix","200","1","360","-90","90","20","GenericSensor","0","3","90","500","10000","99","1","1","190.9090909","19.09090909","0","1","0","200","0"
"Helras Mk2 DS Active","","0","0","","","","1900","2999","","","","","","Active Dipping Sonar, Max Range: 30km, Scan Rate: 38.5s, Performance: 220dB","copied AQS-22","30","1","360","-90","90","38.462","GenericSensor","0.05","3.6","90","500","10000","99","1","1","200","20","0","1","0","457","0"
"Helras Mk2 DS Passive","","0","0","","","","1900","2999","","","","","","Passive Dipping Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 30DI","Copied AQS-22","200","1","360","-90","90","10","GenericSensor","0.2","1.8","90","500","10000","10","1","1","0","30","1","0","0","457","0"
"ISUS-83-13 ACT","","0","0","","","","1900","2999","","","","","","Active Sonar, Max Range: 30km, Scan Rate: 38.5s, Performance: 203dB","Marcos Viniegra","30","1","270","-30","30","38.462","GenericSensor","0.0625","6","90","500","10000","99","1","1","184.5454545","18.45454545","0","1","0","0","0"
"ISUS-83-13 PAS","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 17.5DI","Marcos Viniegra","200","1","300","-30","30","10","GenericSensor","0.25","3","90","500","10000","10","1","1","0","17.5","1","0","0","0","0"
"ISUS-90-11 ACT","","0","0","","","","1900","2999","","","","","","Active Sonar, Max Range: 30km, Scan Rate: 38.5s, Performance: 204dB","Marcos Viniegra","30","1","270","-30","30","38.462","GenericSensor","0.0625","6","90","500","10000","99","1","1","185.4545455","18.54545455","0","1","0","0","0"
"ISUS-90-11 PAS","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 18DI","Marcos Viniegra","200","1","300","-30","30","10","GenericSensor","0.25","3","90","500","10000","10","1","1","0","18","1","0","0","0","0"
"Kariwarra Towed Array Sonar","","0","0","0","0","0","1900","2999","","","","","","Passive Towed Array Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 35.5DI","contributed by greengills","200","1","360","-90","90","10","GenericSensor","0.11","0.8","0","500","10000","10","1","1","0","35.5","1","0","1","5000","0"
"Lofar 1","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 15DI          LOFAR passive sonar","intended for the Lofar(50) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","25","90","500","10000","10","1","1","0","15","1","0","0","0","0"
"Lofar 10","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 37.8DI          LOFAR passive sonar","intended for the Lofar(95) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","13.406","90","500","10000","10","1","1","0","37.75","1","0","0","0","0"
"Lofar 11","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 39.8DI          LOFAR passive sonar","intended for the Lofar(00) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","11.472","90","500","10000","10","1","1","0","39.75","1","0","0","0","0"
"Lofar 12","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 41.5DI          LOFAR passive sonar","intended for the Lofar(05) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","11.472","90","500","10000","10","1","1","0","41.5","1","0","0","0","0"
"Lofar 13","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 43DI          LOFAR passive sonar","intended for the Lofar(10) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","9.817","90","500","10000","10","1","1","0","43","1","0","0","0","0"
"Lofar 2","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 16DI          LOFAR passive sonar","intended for the Lofar(55) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","25","90","500","10000","10","1","1","0","16","1","0","0","0","0"
"Lofar 3","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 17.3DI          LOFAR passive sonar","intended for the Lofar(60) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","21.394","90","500","10000","10","1","1","0","17.25","1","0","0","0","0"
"Lofar 4","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 19DI          LOFAR passive sonar","intended for the Lofar(65) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","21.394","90","500","10000","10","1","1","0","19","1","0","0","0","0"
"Lofar 5","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 21.8DI          LOFAR passive sonar","intended for the Lofar(70) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","18.307","90","500","10000","10","1","1","0","21.75","1","0","0","0","0"
"Lofar 6","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 25.8DI          LOFAR passive sonar","intended for the Lofar(75) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","18.307","90","500","10000","10","1","1","0","25.75","1","0","0","0","0"
"Lofar 7","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 29.3DI          LOFAR passive sonar","intended for the Lofar(80) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","15.666","90","500","10000","10","1","1","0","29.25","1","0","0","0","0"
"Lofar 8","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 32.8DI          LOFAR passive sonar","intended for the Lofar(85) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","15.666","90","500","10000","10","1","1","0","32.75","1","0","0","0","0"
"Lofar 9","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 20s, Performance: 35.5DI          LOFAR passive sonar","intended for the Lofar(90) buoy.  as we do not have frequency deendance, will have to settle for increased DI vs Difar.","200","1","360","-90","90","20","GenericSensor","0.995","13.406","90","500","10000","10","1","1","0","35.5","1","0","0","0","0"
"ME-02 Zarya Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 51.3s, Performance: 231.7dB","","50","1","330","-90","90","51.282","GenericSensor","0.02375","4","90","500","10000","99","1","1","210.6363636","21.06363636","0","1","0","0","0"
"ME-02 Zarya Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","360","-90","90","10","GenericSensor","0.095","2","90","500","10000","10","1","1","0","33.3","1","0","0","0","0"
"MG-325 Vega TA","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Towed Array Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 197.5dB / 18DI","","200","1","360","-90","90","10","GenericSensor","0.1","4","90","500","10000","10","1","1","179.5454545","17.95454545","1","1","1","350","0"
"MG-329 Shelon VDS","","0","0","0","0","0","1900","2999","","","","","","Active Towed Array Sonar, Max Range: 6km, Scan Rate: 7.7s, Performance: 190dB","","6","1","330","-90","90","7.692","GenericSensor","0.075","10","90","500","10000","99","1","1","172.7272727","17.27272727","0","1","1","300","0"
"MG-332 Titan-2 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 5km, Scan Rate: 6.4s, Performance: 193dB","","5","1","300","-90","90","6.41","GenericSensor","0.0875","10","90","500","10000","99","1","1","175.4545455","17.54545455","0","1","0","0","0"
"MG-335 Platina Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 224dB","","50","1","300","-90","90","64.103","GenericSensor","0.03125","4.2","90","500","10000","99","1","1","203.6363636","20.36363636","0","1","0","0","0"
"MG-335 Platina Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.5DI","","200","1","300","-90","90","10","GenericSensor","0.125","2.1","90","500","10000","10","1","1","0","31.5","1","0","0","0","0"
"MG-342 Orion Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 40km, Scan Rate: 51.3s, Performance: 230dB","","40","1","120","-90","90","51.282","GenericSensor","0.04875","5","90","500","10000","99","1","1","209.0909091","20.90909091","0","1","0","0","0"
"MGK-100 Kerch Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 35km, Scan Rate: 44.9s, Performance: 210.5dB","","35","1","300","-90","90","44.872","GenericSensor","0.0475","4.8","90","500","10000","99","1","1","191.3636364","19.13636364","0","1","0","0","0"
"MGK-100 Kerch Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 22.5DI","","200","1","300","-90","90","10","GenericSensor","0.19","3","90","500","10000","10","1","1","0","22.5","1","0","0","0","0"
"MGK-1000 Active","Squid Arm Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 12km, Scan Rate: 15.4s, Performance: 230dB","MGK-1000 Okean sonar active mode","12","1","330","-90","90","15.39","GenericSensor","0","3","90","500","10000","99","1","1","209.0909091","20.90909091","0","1","0","0","0"
"MGK-1000 Bow Passive","Squid Arm Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 50km, Scan Rate: 10s, Performance: 10DI"," MGK-1000 Okean sonar passive mode","50","1","330","-90","90","10","GenericSensor","0.5","3","90","500","10000","10","1","1","0","10","1","0","0","0","0"
"MGK-200 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 35km, Scan Rate: 44.9s, Performance: 212dB","I have limited information on the MGK-200 system, assuming it to be slightly superior to MGK-100, going to add 1.5dB to all categories.","35","1","300","-90","90","44.872","GenericSensor","0.0475","4.8","90","500","10000","99","1","1","192.7272727","19.27272727","0","1","0","0","0"
"MGK-200 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 24DI","I have limited information on the MGK-200 system, assuming it to be slightly superior to MGK-100, going to add 1.5dB to all categories.","200","1","300","-90","90","10","GenericSensor","0.19","3","90","500","10000","10","1","1","0","24","1","0","0","0","0"
"MGK-300 Active","Shark Teeth Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 40km, Scan Rate: 51.3s, Performance: 213.8dB","MGK-300 Rubin sonar-active mode","40","1","330","-90","90","51.282","GenericSensor","0.0375","4.2","90","500","10000","99","1","1","194.3636364","19.43636364","0","1","0","0","0"
"MGK-300 Bow Passive","Shark Teeth Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 25DI","","200","1","330","-90","90","10","GenericSensor","0.15","2.1","90","500","10000","10","1","1","0","25","1","0","0","0","0"
"MGK-355 Polinom Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 51.3s, Performance: 235dB","","50","1","330","-90","90","51.282","GenericSensor","0.0625","6","90","500","10000","99","1","1","213.6363636","21.36363636","0","1","0","0","0"
"MGK-355 Polinom Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.5DI","","200","1","330","-90","90","10","GenericSensor","0.25","3","90","500","10000","10","1","1","0","31.5","1","0","0","0","0"
"MGK-355TA Polinom TA","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.8DI","","200","1","330","-90","90","10","GenericSensor","0.25","2","90","500","10000","10","1","1","0","32.8","1","0","0","0","0"
"MGK-365 Zvezda M-1 Active","Shark Teeth Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 40km, Scan Rate: 51.3s, Performance: 218dB","","40","1","330","-90","90","51.282","GenericSensor","0.02875","4.6","90","500","10000","99","1","1","198.1818182","19.81818182","0","1","0","0","0"
"MGK-365 Zvezda M-1 Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 29DI","","200","1","300","-90","90","10","GenericSensor","0.12","2.3","90","500","10000","10","1","1","0","29","1","0","0","0","0"
"MGK-365 Zvezda M-1 TA","","0","0","0","0","0","1900","2999","","","","","","Passive Towed Array Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32DI","","200","1","300","-90","90","10","GenericSensor","0.12","1.15","90","500","10000","10","1","1","0","32","1","0","1","450","0"
"MGK-365 Zvezda-2 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 225dB","","50","1","330","-90","90","64.103","GenericSensor","0.02875","3","90","500","10000","99","1","1","204.5454545","20.45454545","0","1","0","0","0"
"MGK-365 Zvezda-2 Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.7DI","","200","1","300","-90","90","10","GenericSensor","0.115","1.5","90","500","10000","10","1","1","0","32.7","1","0","0","0","0"
"MGK-400 Active","Shark Teeth Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 217dB","MGK-400 Rubikon sonar-active mode","45","1","330","-90","90","57.692","GenericSensor","0.035","3.9","90","500","10000","99","1","1","197.2727273","19.72727273","0","1","0","0","0"
"MGK-400 Bow Passive","Shark Teeth Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 27DI","","200","1","330","-90","90","10","GenericSensor","0.14","1.95","90","500","10000","10","1","1","0","27","1","0","0","0","0"
"MGK-400 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 28.5DI","","200","1","120","-90","90","10","GenericSensor","0.14","0.975","90","500","10000","10","1","1","0","28.5","1","0","0","0","0"
"MGK-400 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 28.5DI","","200","1","120","-90","90","10","GenericSensor","0.14","0.975","90","500","10000","10","1","1","0","28.5","1","0","0","0","0"
"MGK-400E Active","Shark Teeth Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 216.5dB","MGK-400 Rubikon sonar-active mode","45","1","330","-90","90","57.692","GenericSensor","0.0385","4.29","90","500","10000","99","1","1","196.8545455","19.68545455","0","1","0","0","0"
"MGK-400E Bow Passive","Shark Teeth Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 26.5DI","Export Version, assumed inferior performance by 10%, effective result is reduction by 0.4575dB.","200","1","330","-90","90","10","GenericSensor","0.154","2.145","90","500","10000","10","1","1","0","26.5425","1","0","0","0","0"
"MGK-400V1 Active","Shark Teeth Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 212dB","MGK-400 Rubikon sonar-active mode.  Assumed 20% more sensitive, and 10% greater acuity, unknown actual performance.","45","1","330","-90","90","57.692","GenericSensor","0.0315","3.51","90","500","10000","99","1","1","192.7363636","19.27363636","0","1","0","0","0"
"MGK-400V1 Bow Passive","Shark Teeth Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 27.4DI","Assumed 20% more sensitive, and 10% greater acuity, unknown actual performance.","200","1","330","-90","90","10","GenericSensor","0.126","1.755","90","500","10000","10","1","1","0","27.414","1","0","0","0","0"
"MGK-500 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 222.2dB","","50","1","300","-90","90","64.103","GenericSensor","0.0225","3.6","90","500","10000","99","1","1","202","20.2","0","1","0","0","0"
"MGK-500 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.3DI","","200","1","300","-90","90","10","GenericSensor","0.09","1.8","90","500","10000","10","1","1","0","31.27","1","0","0","0","0"
"MGK-500 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.8DI","","200","1","120","-90","90","10","GenericSensor","0.09","0.9","90","500","10000","10","1","1","0","32.77","1","0","0","0","0"
"MGK-500 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.8DI","","200","1","120","-90","90","10","GenericSensor","0.09","0.9","90","500","10000","10","1","1","0","32.77","1","0","0","0","0"
"MGK-503 Active","Shark Gill Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 223.4dB","MGK-503 Skat-KS active mode.  K in MGK indicates integrated system. -M modernized/upgraded","50","1","300","-90","90","64.103","GenericSensor","0.02625","3.2","90","500","10000","99","1","1","203.0909091","20.30909091","0","1","0","0","0"
"MGK-503 Bow Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.8DI","","200","1","300","-90","90","10","GenericSensor","0.105","1.6","90","500","10000","10","1","1","0","31.77","1","0","0","0","0"
"MGK-503 Port Flank Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","300","-90","90","10","GenericSensor","0.105","0.8","90","500","10000","10","1","1","0","33.27","1","0","0","0","0"
"MGK-503 Stbd Flank Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","300","-90","90","10","GenericSensor","0.105","0.8","90","500","10000","10","1","1","0","33.27","1","0","0","0","0"
"MGK-540 Active","Shark Gill Active","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 224.6dB","MGK-540 Skat-3 active mode.  K in MGK indicates integrated system. -M modernized/upgraded","50","1","300","-90","90","64.103","GenericSensor","0.02375","3","90","500","10000","99","1","1","204.1818182","20.41818182","0","1","0","0","0"
"MGK-540 Bow Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.3DI","","200","1","300","-90","90","10","GenericSensor","0.105","1.6","90","500","10000","10","1","1","0","32.27","1","0","0","0","0"
"MGK-540 Port Flank Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.8DI","","200","1","120","-90","90","10","GenericSensor","0.105","0.8","90","500","10000","10","1","1","0","33.77","1","0","0","0","0"
"MGK-540 Stbd Flank Passive","Shark Gill Passive","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.8DI","","200","1","120","-90","90","10","GenericSensor","0.105","0.8","90","500","10000","10","1","1","0","33.77","1","0","0","0","0"
"Mk-2 ATAS","","0","0","0","0","0","1900","2999","","","","","","Passive Towed Array Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.5DI","Assumed equivalent to SQR-19","200","1","330","-90","90","10","GenericSensor","0.11","1","90","500","10000","10","1","1","0","33.5","1","0","1","1500","0"
"Mk-37 Mod1 Seeker","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 20km, Scan Rate: 5s, Performance: 210dB","","20","0.5","90","-90","90","5","GenericSensor","0.33","5","90","500","10000","99","3","0","190.91","19.091","0","1","0","0","0"
"Mk-37 Mod3 Seeker","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 5s, Performance: 216dB / 19.6DI","","20","0.5","90","-90","90","5","GenericSensor","0.33","5","90","500","10000","10","2","0","196.36","19.636","1","1","0","0","0"
"Mk-44 Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 3km, Scan Rate: 2.5s, Performance: 182dB","","3","1","60","-90","90","2.47","GenericSensor","0","1","90","500","10000","10","1","0","165.45454","16.545454","0","1","0","0","0"
"MK-46 Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 2.5s, Performance: 205dB / 25DI","","6","1","120","-90","90","2.47","GenericSensor","0","1","90","500","10000","10","1","0","180","25","1","1","0","0","0"
"Mk-48 Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 2km, Scan Rate: 1.2s, Performance: 215dB / 19.5DI","","2","1","150","-90","90","1.19","GenericSensor","0","1","90","500","10000","10","1","0","195.4545455","19.54545455","1","1","0","0","0"
"MK-50 Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 2.5s, Performance: 209dB / 27DI","","20","1","130","-90","90","2.47","GenericSensor","0","1","90","500","10000","10","1","0","182","27","1","1","0","0","0"
"Mk-54 Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active/Passive Sonar, Max Range: 5km, Scan Rate: 2.5s, Performance: 213dB / 19.4DI","","5","1","140","-90","90","2.47","GenericSensor","0","1","90","500","10000","10","1","0","193.6363636","19.36363636","1","1","0","0","0"
"MRS 2000 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 223dB","assumed equivalent to SQS-56.","50","1","300","-90","90","64.103","GenericSensor","0.0325","3.6","90","500","10000","99","1","1","202.7272727","20.27272727","0","1","0","0","0"
