"DatabaseClass text primary key","NATO_ASCC text","ModelClassId integer","ClassificationId integer","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","MaxSpeed_kts numeric","Accel_ktsps numeric","TurnRate_degps numeric","FuelCapacity_kg numeric","FuelRate_kgps real","Toughness numeric","DamageEffect text","Draft_m real","FlightportClass text","RCS_dBsm real","RCS_Model text","OpticalCrossSection_dBsm real","IRSignature_dB real","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","TS numeric","TS_Model text","AcousticModel text","SL_Model text"
"Gun Test Boat","","1","17","20000000","500000","0","1900.1","3000","TEST","TEST","","NONE","pg-84.xml","No description is available.","","50","2","5","70000","0","25","Ship500Dmg","2","","30.03","ShipRCS1","32.854","12.252","ShipIR1","Default","Default","8","10","Default","Default","Default"
"Halifax FFH","","2","18","1000000000","5032000","0","1992.49","2999","Canada","FF","halifax.jpg","none","burke.xml","Canadian multi-role patrol frigate","","32","0.15","10.19","704480","0.489217996","715","Ship5000Dmg","9.3","Burke Helo Deck","45.072","ShipRCS1","33.051","23.745","ShipIR1","Default","Default","8.2","20","Default","S05.Destroyer Silenced","Default"
"Hamburg DD","","1","18","0","4680000","0","1960.23","1977.01","Germany","DD","","NONE","burke.xml","Type 101 Hamburg DD","","34","0.8","5","655200","0.963521088","25","Ship5000Dmg","6.2","","44.599","ShipRCS1","32.154","21.691","ShipIR1","Default","Default","8.2","15","Default","S04.Destroyer","Default"
"Hamburg DDG 1975","","1","18","0","4680000","0","1976.09","1994.96","Germany","DDG","","NONE","burke.xml","Type 101A Hamburg DDG","","34","0.8","5","655200","0.963521088","25","Ship5000Dmg","6.2","","44.599","ShipRCS1","32.154","21.691","ShipIR1","Default","Default","8.2","15","Default","S04.Destroyer","Default"
"Hamilton WHEC","","2","18","0","3300000","0","1967.13","2999.99","USA","wPG","","none","burke.xml","Hamilton WHEC","","29","0.17","10.63","462000","0.253990861","247","Ship3000Dmg","10","Single Helo Hangar","42.323","ShipRCS1","31.919","26.635","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Harbour Security Craft YP","","1","17","0","3900","0","1900.1","3000","USA","YP","","none","burke.xml","Harbour Security Craft YP-FIX MY RADAR","","22","1.26","26.77","780","0.019555387","0.06","Ship10Dmg","10","","-1.588","ShipRCS1","23.724","16.189","ShipIR1","Default","Default","0.7","10","Default","S01.Patrol Craft","Default"
"Harpers Ferry LSD-CV","","1","18","0","16740000","0","1995.02","2999.99","USA","LSD","","none","burke.xml","USA_Harpers Ferry LSD-CV","","22","0.09","7.74","1841400","0.602834078","255","Ship20000Dmg","6","","52.902","ShipRCS1","35.425","18.617","ShipIR1","Default","Default","20","20","Default","S002.Merchant Medium","Default"
"Harukaze DD","","1","17","0","2340000","0","1956.318","1959","Japan","DD","","none","type-42_temp.xml","","","30","0.5","7","327600","0.272997641","35","Ship3000Dmg","3.7","None","40.084","ShipRCS1","36.074","20.419","ShipIR1","Default","Default","5.8","15","Default","S02.Frigate","Default"
"Harukaze(1959)","","1","17","0","2340000","0","1959","1974","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","327600","0.272997641","35","Ship3000Dmg","3.7","None","40.084","ShipRCS1","36.074","20.419","ShipIR1","Default","Default","5.8","15","Default","S02.Frigate","Default"
"Harukaze(1974)","","1","17","0","2340000","0","1974","1981.324","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","327600","0.272997641","35","Ship3000Dmg","3.7","None","40.084","ShipRCS1","36.074","20.419","ShipIR1","Default","Default","5.8","15","Default","S02.Frigate","Default"
"Haruna DDH","","2","17","0","6300000","0","1973.144","1986","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","882000","0.871103585","35","Ship5000Dmg","5.1","Triple Helo Hangar","46.536","ShipRCS1","38.395","19.233","ShipIR1","Default","Default","10","15","Default","S04.Destroyer","Default"
"Haruna DDH(1986)","","2","17","0","6300000","0","1986","2011.204","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","882000","0.871103585","35","Ship5000Dmg","5.1","Triple Helo Hangar","46.536","ShipRCS1","38.395","19.233","ShipIR1","Default","Default","10","15","Default","S04.Destroyer","Default"
"Hatakaze DDG","","2","17","0","5500000","0","1986.223","2999","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","770000","0.950609071","35","Ship5000Dmg","4.8","Single Helo Pad","45.651","ShipRCS1","38.106","20.189","ShipIR1","Default","Default","8.2","15","Default","S04.Destroyer","Default"
"Hatsuyuki DDG","","2","17","0","3750000","0","1982.223","1988","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","525000","0.692702349","35","Ship3000Dmg","4.3","Single Helo Hangar","43.156","ShipRCS1","37.285","21.567","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Hatsuyuki DDG(1988)","","2","17","0","3750000","0","1988","1990","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","525000","0.692702349","35","Ship3000Dmg","4.3","Single Helo Hangar","43.156","ShipRCS1","37.285","21.567","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Hatsuyuki DDG(1990)","","2","17","0","3750000","0","1990","2999","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","525000","0.692702349","35","Ship3000Dmg","4.3","Single Helo Hangar","43.156","ShipRCS1","37.285","21.567","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Hauk PTGM 1994","","1","17","0","160000","0","1994.14","2001","Norway","PTGM","","","burke.xml","Hauk Class missile Patrol craft.","","32","1","5","33600","0.213690634","","Ship200Dmg","1.8","","22.607","ShipRCS1","28.186","17.21","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Hauk PTGM 2001","","1","17","0","160000","0","2001.25","2007.95","Norway","PTGM","","","burke.xml","Hauk Class missile Patrol craft.","","32","1","5","33600","0.213690634","","Ship200Dmg","1.8","","22.607","ShipRCS1","28.186","17.21","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Hauk PTGM","","1","17","0","160000","0","1977.63","1995.94","Norway","PTGM","","","burke.xml","Hauk Class missile Patrol craft.","","32","1","5","33600","0.213690634","","Ship200Dmg","1.8","","22.607","ShipRCS1","28.186","17.21","ShipIR1","Default","Default","2","10","Default","S01.Patrol Craft","Default"
"Hayabusa PGM","","1","17","0","240000","0","2002.229","2999","Japan","DD","","none","sovremenny.xml","","","44","0.5","7","33600","0.337994336","35","Ship200Dmg","4.2","None","25.249","ShipRCS1","34.984","19.31","ShipIR1","Default","Default","2","15","Default","S01.Patrol Craft","Default"
"Helo cruiser","","2","18","20000000","11000000","0","1900","2999","Neutral","Neutral","","NONE","type-42.xml","No description is available.","","33","0.3","1","1540000","0","200","Ship10000Dmg","10","HeloDeck_HeloCruiser","50.167","ShipRCS1","32.854","12.669","ShipIR1","Default","Default","11.5","20","Default","Default","Default"
"Henry J Kaiser","","2","18","0","42382000","0","1986.97","2999","USA","AO","kaiser.jpg","none","tanker.xml","Henry J. Kaiser class fleet replenishment oiler of US Navy","","20","0.1","1","4662020","1.61874296","200","Ship50000Dmg","11","Single Helo Pad","58.953","ShipRCS1","36.133","18.892","ShipIR1","Default","Default","32","25","Default","S003.Merchant Large","Default"
"Hero WHEC","","2","18","0","3300000","0","1967","2999","USA","wPG","","none","burke.xml","Hero WHEC","","29","0.17","10.63","462000","0.253990861","247","Ship3000Dmg","10","Single Helo Hangar","42.323","ShipRCS1","31.919","26.635","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Hobart DDG","","2","18","0","7000000","0","2013","3000","Australia","DD","hobart.jpg;hobart2.jpg","none","type-45.xml","Australian Hobart Class DDG. Equipped with the AEGIS system, it is based on the Spanish Alvaro de Bazan Class DDG.","[greengills]","29","0.16","10.41","980000","0.890901394","685","Ship5000Dmg","7.2","Single Helo Hangar","47.222","ShipRCS1","33.676","23.836","ShipIR1","Default","Default","10","20","Default","S04.Destroyer","Default"
"CV/DDH Hyuga","","2","22","0","19000000","0","2009.21","3000","Japan","DD","","none","hermes.xml","Japanese Maritime Self Defense Force helicopter carrier with large flat deck","","30","0.1","3","2090000","1.548134773","1512","Ship20000Dmg","12","Hyuga Flightdeck","50.717","ShipRCS1","36.465","24.521","ShipIR1","Default","Default","14","20","Default","S06.Cruiser","Default"
"Ikazuchi DDE","","1","17","0","1080000","0","1956.318","1959","Japan","DD","","none","sovremenny.xml","","","25","0.5","7","151200","0.077777106","35","Ship1000Dmg","3.1","None","35.047","","35.218","16.959","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Ikazuchi DDE(1959)","","1","17","0","1080000","0","1959","1976","Japan","DD","","none","sovremenny.xml","","","25","0.5","7","151200","0.077777106","35","Ship1000Dmg","3.1","None","35.047","","35.218","16.959","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"CV (R05/6/7) Invincible","","2","22","0","20600000","0","1980.52","2999.99","UK","CV","","none","incv.xml","When designed the Invincible class was intended as an ASW ship, and for this role the helicopter was the prime weapon at the time, and as such her initial air group was 9 HAS.5 Sea King ASW Helos and 4 or 5 Sea harrier FRS.Mk.1.  Witht he Falklands war is became painfully apparant the UK needed the capacity to project Air power int he conventional sense to locations abroad.  During the war the class was loaded with RAF harriers for strike missions.  Her airgroup was then 5 HAS.5 ASW Sea Kings, 8 Sea harrier FRS.Mk.1 and 8 harrier GR.Mk.3.  After the Falklands the lessens learned were acted on, and the Air group again changed, now including Sea king AEW helos, 3 AEW sea kings, 9 ASW Sea kings, 8 or 9 Sea harriers.  in 1993 when the Sea harrier FA.Mk.2 entered service the airgroup again changed.  It now comprises 8 Sea Harrier FA.Mk.2, 8 Harrier GR.Mk.7(or later), 4 AEW Sea King helos, and 2 ASW/ASuW Merlin helos.","","28","0.1","8.34","2266000","1.618557445","1086","Ship20000Dmg","8","Invincible flight deck","54.254","ShipRCS1","36.934","24.14","ShipIR1","Default","Default","14","20","Default","S10.Carrier Small","Default"
"Iowa BB (1982)","","2","18","100000000","45000000","0","1982","1993","USA","BB","iowa1984.jpg","none","burke.xml","","","31","0.15","4","3150000","1.123301106","685","ShipIowaDmg","11","Quintuple Helo Hangar","59.344","ShipRCS1","37.089","25.315","ShipIR1","Default","Default","15","23","Default","S09.Battle Cruiser","Default"
"Iowa BB","","2","18","100000000","45000000","0","1943.14","1982","USA","BB","iowa1984.jpg","none","burke.xml","","","31","0.15","4","3150000","1.123301106","685","ShipIowaDmg","11","None","59.344","ShipRCS1","37.089","25.315","ShipIR1","Default","Default","15","23","Default","S09.Battle Cruiser","Default"
"Ishikari FFG","","1","17","0","1450000","0","1981.237","2007.793","Japan","DD","","none","sovremenny.xml","","","25","0.5","7","203000","0.171695454","35","Ship1000Dmg","3.5","None","36.966","","35.816","19.804","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Island WPB","","1","17","0","168000","0","1986.14","2999.99","USA","wPBC","","none","burke.xml","Island WPB","","29","0.38","15.33","23520","0.015463377","2.49","Ship200Dmg","10","","22.925","ShipRCS1","28.206","17.222","ShipIR1","Default","Default","5","15","Default","S01.Patrol Craft","Default"
"Isuzu DDE","","1","17","0","1700000","0","1961.492","1993.875","Japan","DD","","none","sovremenny.xml","","","26","0.5","7","238000","0.127324003","35","Ship1000Dmg","3.5","None","38.002","","36.013","17.095","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Jacob van Heemskerck FFG (Chile)","","1","17","0","3048140","0","2005.54","2999","Chile","FFG","heemskerck_chile.jpg","none","type-22.xml","The Jacob van Heemskerck class frigate was a class of frigates of the Royal Netherlands Navy. They were built to be an air defence version of the Kortenaer class frigate. They were sold to Chile in 2005.","In 2005 Netherlands sold Jacob van Heemskerck to Chile as the Almirante Latorre and Witte de With as the CapitÃƒÂ¯Ã‚Â¿Ã‚Â½n Prat. The helicopter was replaced by a Standard medium range SAM system and associated radars.","30","0.15","7","426739.6","0.403532779","140","Ship3000Dmg","6","None","41.806","ShipRCS1","32.683","23.608","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Jacob van Heemskerck FFG","","1","17","0","3048140","0","1986.04","2006.96","Netherlands","FFG","heemskerck.jpg","none","type-22.xml","The Jacob van Heemskerck class frigate was a class of frigates of the Royal Netherlands Navy. They were built to be an air defence version of the Kortenaer class frigate.","Two ships were built by Royal Schelde dockyard. The ships were named after Admirals as is usual practice in the Royal Netherlands Navy.Both ships were sold to Chile in 2005.","30","0.15","7","426739.6","0.403532779","140","Ship3000Dmg","6","None","41.806","ShipRCS1","32.683","23.608","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Joao Coutinho FSH","","1","17","0","1380000","0","1970.179","1989","Portugal","FF","","NONE","type-42.xml","","","24.4","0.7","3.5","193200","0.114797372","200","Ship1000Dmg","3.6","","36.644","ShipRCS1","30.666","17.821","ShipIR1","Default","Default","4.6","10","Default","S02.Frigate","Default"
"Joao Coutinho FSH(1989)","","1","17","0","1380000","0","1989","2999","Portugal","FF","","NONE","type-42.xml","","","24.4","0.7","3.5","193200","0.114797372","200","Ship1000Dmg","3.6","","36.644","ShipRCS1","30.666","17.821","ShipIR1","Default","Default","4.6","10","Default","S02.Frigate","Default"
"CV-67 (JFK) USS John F Kennedy","","2","18","0","81430000","0","1968.68","2007.58","USA","CVN","","none","hermes.xml","USA_CV-67 (JFK) USS John F Kennedy","","32","0.1","8.43","11400200","0","1480","Ship100000Dmg","11.2","John F Kennedy Flight Deck","63.207","ShipRCS1","40.94","16.693","ShipIR1","Default","Default","30","20","Default","S12.Carrier Large","Default"
"Juniper Buoy Tender WLB","","1","17","0","2032000","0","1996","2999","USA","wABU","","none","burke.xml","Juniper Buoy Tender WLB","","15","0.1","7.77","223520","0.068987058","30.5","Ship3000Dmg","10","","39.164","ShipRCS1","31.872","17.928","ShipIR1","Default","Default","11","20","Default","S001.Merchant Small","Default"
"Kang Ding Class FFG","","2","18","500000000","3600000","0","1996.23","2999","Taiwan","FF","","NONE","type-42.xml","Taiwanese export version of La Fayette class with Hsiung Feng II iso Exocet","[phoenixegmh]","25","0.2","5","504000","0.299997408","200","Ship3000Dmg","4.8","Single Helo Hangar","29.88","ShipRCS1","32.658","18.292","ShipIR1","Default","Default","7","20","Default","S03.Frigate Silenced","Default"
"Karel Doorman DDG (1994) (Belgium)","","2","17","0","3320000","0","2005.974","2999","Belgium","DD","","NONE","type-42.xml","","","30","0.4","1.8","464800","0.464795984","200","Ship3000Dmg","5.8","Single Helo Hangar","42.363","ShipRCS1","32.689","23.631","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Karel Doorman DDG (1994) (Chile)","","2","17","0","3320000","0","2004","2999","Chile","DD","","NONE","type-42.xml","","","30","0.4","1.8","464800","0.464795984","200","Ship3000Dmg","5.8","Single Helo Hangar","42.363","ShipRCS1","32.689","23.631","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Karel Doorman DDG (1994) (Portugal)","","2","17","0","3320000","0","2006","2999","Portugal","DD","","NONE","type-42.xml","","","30","0.4","1.8","464800","0.464795984","200","Ship3000Dmg","5.8","Single Helo Hangar","42.363","ShipRCS1","32.689","23.631","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Karel Doorman DDG (1994)","","2","17","0","3320000","0","1994","2999","Netherlands","DD","","NONE","type-42.xml","","","30","0.4","1.8","464800","0.464795984","200","Ship3000Dmg","5.8","Single Helo Hangar","42.363","ShipRCS1","32.689","23.631","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Karel Doorman DDG","","2","17","0","3320000","0","1991.412","1994","Netherlands","DD","","NONE","type-42.xml","","","30","0.4","1.8","464800","0.464795984","200","Ship3000Dmg","5.8","Single Helo Hangar","42.363","ShipRCS1","32.689","23.631","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Kee Lung Class DDG","","2","18","183000000","9200000","0","2005","2999","Taiwan","DD","","none","ffg-7.xml","Former Kidd Class DDG","[phoenixegmh]","33","0.14","10.2","1288000","1.192582289","312","Ship10000Dmg","10","OHP Helo Hangar","49.002","ShipRCS1","33.315","24.876","ShipIR1","Default","Default","11.5","20","Default","S02.Frigate","Default"
"Kidd DDG","","2","18","0","9200000","0","1981.23","1999.73","USA","DD","","none","ffg-7.xml","Kidd Class Destroyer.","","33","0.14","10.2","1288000","1.192582289","312","Ship10000Dmg","10","OHP Helo Hangar","49.002","ShipRCS1","33.315","24.876","ShipIR1","Default","Default","11.5","20","Default","S02.Frigate","Default"
"CVN-64 -67 (Kitty Hawk) Kitty Hawk","","2","22","0","83960000","0","1961.32","2009.36","USA","CVN","","none","hermes.xml","USA_CVN-64 -67 (Kitty Hawk) Kitty Hawk","","32","0.1","8.41","11754400","0","1512","Ship100000Dmg","12","Kitty Hawk Flight Deck","63.407","ShipRCS1","38.675","15.448","ShipIR1","Default","Default","30","20","Default","S12.Carrier Large","Default"
"Knox FFG","","2","18","0","4066000","0","1969.28","1994.58","USA","FF","ohp.jpg","none","ffg-7.xml","Knox Class Frigate.","This is the later variant, which has Phalanx instead of Sea Sparrow BPDMS","27","0.14","10.2","569240","0.509154814","312","Ship5000Dmg","7.54","OHP Helo Hangar","43.683","ShipRCS1","32.413","21.654","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Kongo DDG","","2","18","0","9485000","0","1993.23","3000","Japan","DD","","none","sovremenny.xml","Japanese 4th generation Aegis guided missile destroyer","NOT FINISHED","30","0.5","14.99","1327900","1.639368553","35","Ship10000Dmg","6.2","Single Helo Pad","49.201","ShipRCS1","39.206","21.828","ShipIR1","Default","Default","11.5","15","Default","S05.Destroyer Silenced","ShipPrairieMasker"
"Kortenaer FFG (1984)","","2","18","0","3785000","0","1984","2003.96","Netherlands","FF","","none","type-22.xml","","","30","0.15","7","529900","0.501083141","140","Ship3000Dmg","6","Double Helo Hangar","43.217","ShipRCS1","32.446","23.667","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Kortenaer FFG","","2","18","0","3785000","0","1978.82","1984","Netherlands","FF","","none","type-22.xml","","","30","0.15","7","529900","0.501083141","140","Ship3000Dmg","6","Double Helo Hangar","43.217","ShipRCS1","32.446","23.667","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"LCU 1600 LCU-Army","","1","17","0","481000","0","1900.1","3000","USA","LC","","none","burke.xml","LCU 1600 LCU-Army","","11","0.11","8.03","67340","0.091448593","19.06","Ship500Dmg","10","","29.778","ShipRCS1","29.816","17.514","ShipIR1","Default","Default","8","15","Default","S002.Merchant Medium","Default"
"LCU 1600 LCU-Navy","","1","17","0","375000","0","1900.1","3000","USA","LC","","none","burke.xml","LCU 1600 LCU-Navy","","11","0.11","8.03","52500","0.07129568","19.06","Ship500Dmg","10","","28.156","ShipRCS1","29.816","17.447","ShipIR1","Default","Default","8","15","Default","S002.Merchant Medium","Default"
"LNG Carrier","","2","18","0","160000000","0","1900","2999","Neutral","Civilian","","","tanker.xml","Liquid natural gas carrier","Marcos","14","1","3","22400000","0","","Ship100000Dmg","7.05","","67.607","ShipRCS1","32.854","13.096","ShipIR1","Default","Default","32","30","Default","S003.Merchant Large","Default"
"LST Class Capana","","2","18","0","4070000","0","1984.56","3000","Venezuela","LST","","none","tanker.xml","LST class CAPANA as received by the ARV in 1984.","Marcos","14","0.1","6.9","1343100","0.139905041","","Ship5000Dmg","3","FFG-7 Helo Deck","43.69","ShipRCS1","32.668","21.651","ShipIR1","Default","Default","14","30","Default","Default","Default"
"La Fayette","","2","18","500000000","3600000","0","1996.23","2999","France","FF","","NONE","type-42.xml","","","25","0.2","5","504000","0.299997408","200","Ship3000Dmg","4.8","Single Helo Hangar","29.88","ShipRCS1","32.658","18.292","ShipIR1","Default","Default","7","20","Default","S03.Frigate Silenced","Default"
"Landing Craft Air Cushion LCAC","","1","17","0","182000","0","1900.1","3000","USA","LCJ","","none","burke.xml","Landing Craft Air Cushion LCAC","","40","0.52","18.14","38220","0.550489071","8.11","Ship200Dmg","10","","23.447","ShipRCS1","31.655","25.848","ShipIR1","Default","Default","2","15","Default","S13.HoverCraft","Default"
"Leahy CG (66)","","2","18","0","7590000","0","1967.67","1979","USA","CA","","none","TicoMk26.xml","Leahy Class Guided Missile Cruiser","","32","0.25","9.9","1062600","0.516537204","759","Ship10000Dmg","6","Single Helo Pad","47.749","ShipRCS1","33.165","24.824","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Leahy CG (78)","","2","18","0","7590000","0","1978.2","1989.02","USA","CA","","none","TicoMk26.xml","Leahy Class Guided Missile Cruiser","","32","0.25","9.9","1062600","0.516537204","759","Ship10000Dmg","6","Single Helo Pad","47.749","ShipRCS1","33.165","24.824","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Leahy CG NTU (88)","","2","18","0","7590000","0","1988.09","1995.13","USA","CA","","none","TicoMk26.xml","Leahy Class Guided Missile Cruiser","","32","0.25","9.9","1062600","0.516537204","759","Ship10000Dmg","6","Single Helo Pad","47.749","ShipRCS1","33.165","24.824","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Leahy CG","","2","18","0","7590000","0","1962.59","1971","USA","CA","","none","TicoMk26.xml","Leahy Class Guided Missile Cruiser","","32","0.25","9.9","1062600","0.516537204","759","Ship10000Dmg","6","Single Helo Pad","47.749","ShipRCS1","33.165","24.824","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Leander FF Batch 3","","2","18","0","3300000","0","1965.9","1992.84","UK","FF","","none","lea.xml","Leander FF batch 3","I do not know the upgrade path for the ships int he leander batch 3 line, their name entries are thus empty.","27.5","0.13","8.5","462000","0.481245842","140","Ship3000Dmg","10","Single Helo Hangar","42.323","ShipRCS1","31.871","24.596","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Leander FF Batch 3A","","2","18","0","3300000","0","1969.12","1993.92","UK","FF","","none","lea.xml","Leander FF batch 3","I do not know the upgrade path for the ships int he leander batch 3 line, their name entries are thus empty.","27.5","0.13","8.5","462000","0.481245842","140","Ship3000Dmg","10","Single Helo Hangar","42.323","ShipRCS1","31.871","24.596","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Leander FF Batch 3B","","2","18","0","3300000","0","1969.79","2006.82","UK","FF","","none","lea.xml","Leander FF batch 3","I do not know the upgrade path for the ships int he leander batch 3 line, their name entries are thus empty.","27.5","0.13","8.5","462000","0.481245842","140","Ship3000Dmg","10","Single Helo Hangar","42.323","ShipRCS1","31.871","24.596","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Legend WMSL","","2","18","0","3956000","0","2008.35","3000","USA","wPBO","","none","burke.xml","National Security Cutter WHEC","","29","0.17","10.45","553840","0.247858352","310","Ship3000Dmg","10","Single Helo Hangar","43.504","ShipRCS1","33.024","23.679","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Lewis and Clark","","2","18","0","40539000","0","2006.47","2999","USA","AKE","lewclark.jpg","","tanker.xml","Dry cargo ship for underway replenishment for US Navy Military Sealift Command.","","20","1","3","4459290","0.589848079","200","Ship50000Dmg","9","Double Helo Hangar","58.664","ShipRCS1","36.668","21.76","ShipIR1","Default","Default","32","30","Default","S004.Merchant Very Large","Default"
"CV (Kuznetsov) Liaoning","","2","22","0","59100000","0","2999","2999","China","CV","","none","hermes.xml","Hypothetical Chinese rebuild of ex-Russian Kuznetsov class CVN Varyag. ","[greengills]  -Amram-not so hypothetical anymore, she's in service, but still she lacks an airwing.","30","0.1","8.34","6501000","4.414527688","1086","Ship50000Dmg","11","Kuznetsov Flightdeck","61.119","ShipRCS1","38.077","25.392","ShipIR1","Default","Default","25","20","Default","S11.Carrier Medium","Default"
"Light Patrol Boat PBF","","1","17","0","1200","0","1900.1","3000","USA","PBR","","none","burke.xml","Light Patrol Boat PBF","","35","3.89","52.91","168","0.018147991","0.02","Ship10Dmg","10","","-9.267","ShipRCS1","24.06","15.869","ShipIR1","Default","Default","0.7","10","Default","S01.Patrol Craft","Default"
"Long Beach CGN B2","","1","18","0","15540000","0","1983.23","1995.33","USA","CGN","","","TicoMk26.xml","","","30","0.3","11","2175600","0","","Ship20000Dmg","9.32","None","52.417","ShipRCS1","34.884","13.823","ShipIR1","Default","Default","13","30","Default","S06.Cruiser","Default"
"Long Beach CGN","","1","18","0","15540000","0","1961.69","1980.76","USA","CGN","","","TicoMk26.xml","","","30","0.3","11","2175600","0","","Ship20000Dmg","9.32","None","52.417","ShipRCS1","34.884","13.823","ShipIR1","Default","Default","13","30","Default","S06.Cruiser","Default"
"Lutjens DDG 1993","","1","18","0","4500000","0","1993","2003.96","Germany","DD","","none","ffg-7.xml","Charles F Adams Class Guided Missile Destroyer","","30","0.16","10.41","630000","0.583328294","312","Ship5000Dmg","6.1","None","44.344","ShipRCS1","32.436","21.682","ShipIR1","Default","Default","8.2","20","Default","S04.Destroyer","Default"
"Lutjens DDG","","1","18","0","4500000","0","1969.22","1993","Germany","DD","","none","ffg-7.xml","Charles F Adams Class Guided Missile Destroyer","","30","0.16","10.41","630000","0.583328294","312","Ship5000Dmg","6.1","None","44.344","ShipRCS1","32.436","21.682","ShipIR1","Default","Default","8.2","20","Default","S04.Destroyer","Default"
"Maestrale","","2","18","0","3100000","0","1982.18","2999","Italy","FF","maestrale.jpg","none","ffg-7.xml","Frigate in Italian Navy designed for anti-submarine warfare with capability for anti-air and anti-surface operations","","33","0.16","4","434000","0.301386285","312","Ship3000Dmg","4.2","Double Helo Hangar","41.916","ShipRCS1","31.915","23.612","ShipIR1","Default","Default","7","20","Default","S03.Frigate Silenced","Default"
"Marine Protector WPB","","1","17","0","91000","0","1998","3000","USA","wPBC","","none","burke.xml","Marine Protector WPB","","25","0.4","15.55","10010","0.024715836","1.37","Ship100Dmg","10","","18.931","ShipRCS1","27.834","17.053","ShipIR1","Default","Default","2","15","Default","S01.Patrol Craft","Default"
"Minegumo DD","","2","17","0","2750000","0","1968","1978","Japan","DD","","none","sovremenny.xml","","","27","0.5","7","385000","0.211536634","35","Ship3000Dmg","3.8","Single Helo Hangar","41.136","","36.6","17.243","ShipIR1","Default","Default","5.8","15","Default","S04.Destroyer","Default"
"Minegumo DD(-116)(1978)","","1","17","0","2750000","0","1978","1999","Japan","DD","","none","sovremenny.xml","","","27","0.5","7","385000","0.211536634","35","Ship3000Dmg","3.8","None","41.136","","36.6","17.243","ShipIR1","Default","Default","5.8","15","Default","S04.Destroyer","Default"
"Minegumo DD(1978)","","1","17","0","2750000","0","1978","2000","Japan","DD","","none","sovremenny.xml","","","27","0.5","7","385000","0.211536634","35","Ship3000Dmg","3.8","None","41.136","","36.6","17.243","ShipIR1","Default","Default","5.8","15","Default","S04.Destroyer","Default"
"Murasame DD","","1","17","0","1840000","0","1958.579","1975","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","257600","0.214664812","35","Ship1000Dmg","3.7","None","38.518","","36.285","20.355","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Murasame DD(1975)","","1","17","0","1840000","0","1975","1989.33","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","257600","0.214664812","35","Ship1000Dmg","3.7","None","38.518","","36.285","20.355","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Murasame DDG","","2","17","0","5100000","0","1996.195","2999","Japan","DD","","none","sovremenny.xml","","","33","0.5","7","714000","0.991658099","35","Ship5000Dmg","5.2","Single Helo Hangar","45.159","ShipRCS1","38.265","21.656","ShipIR1","Default","Default","8.2","15","Default","S05.Destroyer Silenced","Default"
