DatabaseClass text primary key,Top_dB real,Bottom_dB real,Aspect0 real,Aspect10 real,Aspect20 real,Aspect30 real,Aspect40 real,Aspect50 real,Aspect60 real,Aspect70 real,Aspect80 real,Aspect90 real,Aspect100 real,Aspect110 real,Aspect120 real,Aspect130 real,Aspect140 real,Aspect150 real,Aspect160 real,Aspect170 real,Aspect180 real
"IR_FW_L_F_HP_1_Super_M2.1","9.08","9.08","9.08","9.08","9.08","8.08","7.08","7.08","6.08","6.08","6.08","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.2","9.4","9.4","9.4","9.4","9.4","8.4","7.4","7.4","6.4","6.4","6.4","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.3","9.71","9.71","9.71","9.71","9.71","8.71","7.71","7.71","6.71","6.71","6.71","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.4","10.02","10.02","10.02","10.02","10.02","9.02","8.02","8.02","7.02","7.02","7.02","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.5","10.31","10.31","10.31","10.31","10.31","9.31","8.31","8.31","7.31","7.31","7.31","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.6","10.6","10.6","10.6","10.6","10.6","9.6","8.6","8.6","7.6","7.6","7.6","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.7","10.88","10.88","10.88","10.88","10.88","9.88","8.88","8.88","7.88","7.88","7.88","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.8","11.15","11.15","11.15","11.15","11.15","10.15","9.15","9.15","8.15","8.15","8.15","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2.9","11.42","11.42","11.42","11.42","11.42","10.42","9.42","9.42","8.42","8.42","8.42","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M3","11.68","11.68","11.68","11.68","11.68","10.68","9.68","9.68","8.68","8.68","8.68","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M3.2","12.18","12.18","12.18","12.18","12.18","11.18","10.18","10.18","9.18","9.18","9.18","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M3.4","12.65","12.65","12.65","12.65","12.65","11.65","10.65","10.65","9.65","9.65","9.65","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M3.6","13.1","13.1","13.1","13.1","13.1","12.1","11.1","11.1","10.1","10.1","10.1","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_2_M0.85","1.13","1.13","3.13","3.13","3.13","2.13","2.13","1.13","1.13","1.13","1.13","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_AB_M0.85","1.13","1.13","3.13","3.13","3.13","2.13","2.13","1.13","1.13","1.13","1.13","7.63","10.18","11.61","12.68","13.65","14.62","14.62","15.62","16.61","17.63"
"IR_FW_L_F_HP_2_Super_M1.1","5.39","5.39","5.39","5.39","5.39","4.39","3.39","3.39","2.39","2.39","2.39","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.2","5.81","5.81","5.81","5.81","5.81","4.81","3.81","3.81","2.81","2.81","2.81","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.3","6.19","6.19","6.19","6.19","6.19","5.19","4.19","4.19","3.19","3.19","3.19","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.4","6.57","6.57","6.57","6.57","6.57","5.57","4.57","4.57","3.57","3.57","3.57","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.5","6.96","6.96","6.96","6.96","6.96","5.96","4.96","4.96","3.96","3.96","3.96","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.6","7.33","7.33","7.33","7.33","7.33","6.33","5.33","5.33","4.33","4.33","4.33","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.7","7.7","7.7","7.7","7.7","7.7","6.7","5.7","5.7","4.7","4.7","4.7","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.8","8.05","8.05","8.05","8.05","8.05","7.05","6.05","6.05","5.05","5.05","5.05","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M1.9","8.41","8.41","8.41","8.41","8.41","7.41","6.41","6.41","5.41","5.41","5.41","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2","8.75","8.75","8.75","8.75","8.75","7.75","6.75","6.75","5.75","5.75","5.75","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.1","9.08","9.08","9.08","9.08","9.08","8.08","7.08","7.08","6.08","6.08","6.08","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.2","9.4","9.4","9.4","9.4","9.4","8.4","7.4","7.4","6.4","6.4","6.4","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.3","9.71","9.71","9.71","9.71","9.71","8.71","7.71","7.71","6.71","6.71","6.71","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.4","10.02","10.02","10.02","10.02","10.02","9.02","8.02","8.02","7.02","7.02","7.02","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.5","10.31","10.31","10.31","10.31","10.31","9.31","8.31","8.31","7.31","7.31","7.31","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.6","10.6","10.6","10.6","10.6","10.6","9.6","8.6","8.6","7.6","7.6","7.6","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.7","10.88","10.88","10.88","10.88","10.88","9.88","8.88","8.88","7.88","7.88","7.88","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.8","11.15","11.15","11.15","11.15","11.15","10.15","9.15","9.15","8.15","8.15","8.15","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M2.9","11.42","11.42","11.42","11.42","11.42","10.42","9.42","9.42","8.42","8.42","8.42","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M3","11.68","11.68","11.68","11.68","11.68","10.68","9.68","9.68","8.68","8.68","8.68","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M3.2","12.18","12.18","12.18","12.18","12.18","11.18","10.18","10.18","9.18","9.18","9.18","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M3.4","12.65","12.65","12.65","12.65","12.65","11.65","10.65","10.65","9.65","9.65","9.65","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_2_Super_M3.6","13.1","13.1","13.1","13.1","13.1","12.1","11.1","11.1","10.1","10.1","10.1","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_1_M0.85","1.37","1.37","3.37","3.37","3.37","2.37","2.37","1.37","1.37","1.37","1.37","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_AB_M0.85","1.37","1.37","3.37","3.37","3.37","2.37","2.37","1.37","1.37","1.37","1.37","4.63","7.18","8.61","9.68","10.65","11.62","11.62","12.62","13.61","14.63"
"IR_FW_VL_F_HP_1_Super_M1.1","5.63","5.63","5.63","5.63","5.63","4.63","3.63","3.63","2.63","2.63","2.63","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.2","6.05","6.05","6.05","6.05","6.05","5.05","4.05","4.05","3.05","3.05","3.05","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.3","6.43","6.43","6.43","6.43","6.43","5.43","4.43","4.43","3.43","3.43","3.43","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.4","6.81","6.81","6.81","6.81","6.81","5.81","4.81","4.81","3.81","3.81","3.81","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.5","7.2","7.2","7.2","7.2","7.2","6.2","5.2","5.2","4.2","4.2","4.2","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.6","7.57","7.57","7.57","7.57","7.57","6.57","5.57","5.57","4.57","4.57","4.57","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.7","7.94","7.94","7.94","7.94","7.94","6.94","5.94","5.94","4.94","4.94","4.94","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.8","8.29","8.29","8.29","8.29","8.29","7.29","6.29","6.29","5.29","5.29","5.29","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M1.9","8.65","8.65","8.65","8.65","8.65","7.65","6.65","6.65","5.65","5.65","5.65","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2","8.99","8.99","8.99","8.99","8.99","7.99","6.99","6.99","5.99","5.99","5.99","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.1","9.32","9.32","9.32","9.32","9.32","8.32","7.32","7.32","6.32","6.32","6.32","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.2","9.64","9.64","9.64","9.64","9.64","8.64","7.64","7.64","6.64","6.64","6.64","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.3","9.95","9.95","9.95","9.95","9.95","8.95","7.95","7.95","6.95","6.95","6.95","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.4","10.26","10.26","10.26","10.26","10.26","9.26","8.26","8.26","7.26","7.26","7.26","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.5","10.55","10.55","10.55","10.55","10.55","9.55","8.55","8.55","7.55","7.55","7.55","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.6","10.84","10.84","10.84","10.84","10.84","9.84","8.84","8.84","7.84","7.84","7.84","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.7","11.12","11.12","11.12","11.12","11.12","10.12","9.12","9.12","8.12","8.12","8.12","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.8","11.39","11.39","11.39","11.39","11.39","10.39","9.39","9.39","8.39","8.39","8.39","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M2.9","11.66","11.66","11.66","11.66","11.66","10.66","9.66","9.66","8.66","8.66","8.66","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M3","11.92","11.92","11.92","11.92","11.92","10.92","9.92","9.92","8.92","8.92","8.92","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M3.2","12.42","12.42","12.42","12.42","12.42","11.42","10.42","10.42","9.42","9.42","9.42","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M3.4","12.89","12.89","12.89","12.89","12.89","11.89","10.89","10.89","9.89","9.89","9.89","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_1_Super_M3.6","13.34","13.34","13.34","13.34","13.34","12.34","11.34","11.34","10.34","10.34","10.34","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_VL_F_HP_2_M0.85","1.37","1.37","3.37","3.37","3.37","2.37","2.37","1.37","1.37","1.37","1.37","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_AB_M0.85","1.37","1.37","3.37","3.37","3.37","2.37","2.37","1.37","1.37","1.37","1.37","7.63","10.18","11.61","12.68","13.65","14.62","14.62","15.62","16.61","17.63"
"IR_FW_VL_F_HP_2_Super_M1.1","5.63","5.63","5.63","5.63","5.63","4.63","3.63","3.63","2.63","2.63","2.63","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.2","6.05","6.05","6.05","6.05","6.05","5.05","4.05","4.05","3.05","3.05","3.05","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.3","6.43","6.43","6.43","6.43","6.43","5.43","4.43","4.43","3.43","3.43","3.43","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.4","6.81","6.81","6.81","6.81","6.81","5.81","4.81","4.81","3.81","3.81","3.81","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.5","7.2","7.2","7.2","7.2","7.2","6.2","5.2","5.2","4.2","4.2","4.2","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.6","7.57","7.57","7.57","7.57","7.57","6.57","5.57","5.57","4.57","4.57","4.57","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.7","7.94","7.94","7.94","7.94","7.94","6.94","5.94","5.94","4.94","4.94","4.94","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.8","8.29","8.29","8.29","8.29","8.29","7.29","6.29","6.29","5.29","5.29","5.29","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M1.9","8.65","8.65","8.65","8.65","8.65","7.65","6.65","6.65","5.65","5.65","5.65","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2","8.99","8.99","8.99","8.99","8.99","7.99","6.99","6.99","5.99","5.99","5.99","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.1","9.32","9.32","9.32","9.32","9.32","8.32","7.32","7.32","6.32","6.32","6.32","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.2","9.64","9.64","9.64","9.64","9.64","8.64","7.64","7.64","6.64","6.64","6.64","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.3","9.95","9.95","9.95","9.95","9.95","8.95","7.95","7.95","6.95","6.95","6.95","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.4","10.26","10.26","10.26","10.26","10.26","9.26","8.26","8.26","7.26","7.26","7.26","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.5","10.55","10.55","10.55","10.55","10.55","9.55","8.55","8.55","7.55","7.55","7.55","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.6","10.84","10.84","10.84","10.84","10.84","9.84","8.84","8.84","7.84","7.84","7.84","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.7","11.12","11.12","11.12","11.12","11.12","10.12","9.12","9.12","8.12","8.12","8.12","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.8","11.39","11.39","11.39","11.39","11.39","10.39","9.39","9.39","8.39","8.39","8.39","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M2.9","11.66","11.66","11.66","11.66","11.66","10.66","9.66","9.66","8.66","8.66","8.66","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M3","11.92","11.92","11.92","11.92","11.92","10.92","9.92","9.92","8.92","8.92","8.92","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M3.2","12.42","12.42","12.42","12.42","12.42","11.42","10.42","10.42","9.42","9.42","9.42","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M3.4","12.89","12.89","12.89","12.89","12.89","11.89","10.89","10.89","9.89","9.89","9.89","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_VL_F_HP_2_Super_M3.6","13.34","13.34","13.34","13.34","13.34","12.34","11.34","11.34","10.34","10.34","10.34","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_H_LP_2_M0.85","1.87","1.87","3.87","3.87","3.87","2.87","2.87","1.87","1.87","1.87","1.87","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.1","6.13","6.13","6.13","6.13","6.13","5.13","4.13","4.13","3.13","3.13","3.13","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.2","6.55","6.55","6.55","6.55","6.55","5.55","4.55","4.55","3.55","3.55","3.55","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.3","6.93","6.93","6.93","6.93","6.93","5.93","4.93","4.93","3.93","3.93","3.93","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.4","7.31","7.31","7.31","7.31","7.31","6.31","5.31","5.31","4.31","4.31","4.31","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.5","7.7","7.7","7.7","7.7","7.7","6.7","5.7","5.7","4.7","4.7","4.7","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.6","8.07","8.07","8.07","8.07","8.07","7.07","6.07","6.07","5.07","5.07","5.07","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.7","8.44","8.44","8.44","8.44","8.44","7.44","6.44","6.44","5.44","5.44","5.44","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.8","8.79","8.79","8.79","8.79","8.79","7.79","6.79","6.79","5.79","5.79","5.79","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M1.9","9.15","9.15","9.15","9.15","9.15","8.15","7.15","7.15","6.15","6.15","6.15","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2","9.49","9.49","9.49","9.49","9.49","8.49","7.49","7.49","6.49","6.49","6.49","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.1","9.82","9.82","9.82","9.82","9.82","8.82","7.82","7.82","6.82","6.82","6.82","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.2","10.14","10.14","10.14","10.14","10.14","9.14","8.14","8.14","7.14","7.14","7.14","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.3","10.45","10.45","10.45","10.45","10.45","9.45","8.45","8.45","7.45","7.45","7.45","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.4","10.76","10.76","10.76","10.76","10.76","9.76","8.76","8.76","7.76","7.76","7.76","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.5","11.05","11.05","11.05","11.05","11.05","10.05","9.05","9.05","8.05","8.05","8.05","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.6","11.34","11.34","11.34","11.34","11.34","10.34","9.34","9.34","8.34","8.34","8.34","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.7","11.62","11.62","11.62","11.62","11.62","10.62","9.62","9.62","8.62","8.62","8.62","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.8","11.89","11.89","11.89","11.89","11.89","10.89","9.89","9.89","8.89","8.89","8.89","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M2.9","12.16","12.16","12.16","12.16","12.16","11.16","10.16","10.16","9.16","9.16","9.16","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M3","12.42","12.42","12.42","12.42","12.42","11.42","10.42","10.42","9.42","9.42","9.42","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M3.2","12.92","12.92","12.92","12.92","12.92","11.92","10.92","10.92","9.92","9.92","9.92","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M3.4","13.39","13.39","13.39","13.39","13.39","12.39","11.39","11.39","10.39","10.39","10.39","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_S_H_LP_2_Super_M3.6","13.84","13.84","13.84","13.84","13.84","12.84","11.84","11.84","10.84","10.84","10.84","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_M0.85","2.37","2.37","4.37","4.37","4.37","3.37","3.37","2.37","2.37","2.37","2.37","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.1","6.63","6.63","6.63","6.63","6.63","5.63","4.63","4.63","3.63","3.63","3.63","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.2","7.05","7.05","7.05","7.05","7.05","6.05","5.05","5.05","4.05","4.05","4.05","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.3","7.43","7.43","7.43","7.43","7.43","6.43","5.43","5.43","4.43","4.43","4.43","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.4","7.81","7.81","7.81","7.81","7.81","6.81","5.81","5.81","4.81","4.81","4.81","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.5","8.2","8.2","8.2","8.2","8.2","7.2","6.2","6.2","5.2","5.2","5.2","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.6","8.57","8.57","8.57","8.57","8.57","7.57","6.57","6.57","5.57","5.57","5.57","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.7","8.94","8.94","8.94","8.94","8.94","7.94","6.94","6.94","5.94","5.94","5.94","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.8","9.29","9.29","9.29","9.29","9.29","8.29","7.29","7.29","6.29","6.29","6.29","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M1.9","9.65","9.65","9.65","9.65","9.65","8.65","7.65","7.65","6.65","6.65","6.65","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2","9.99","9.99","9.99","9.99","9.99","8.99","7.99","7.99","6.99","6.99","6.99","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.1","10.32","10.32","10.32","10.32","10.32","9.32","8.32","8.32","7.32","7.32","7.32","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.2","10.64","10.64","10.64","10.64","10.64","9.64","8.64","8.64","7.64","7.64","7.64","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
"IR_FW_M_H_LP_2_Super_M2.3","10.95","10.95","10.95","10.95","10.95","9.95","8.95","8.95","7.95","7.95","7.95","3.08","5.63","7.06","8.13","9.1","10.07","10.07","11.07","12.06","13.08"
