DatabaseClass text,MagazineId numeric,Item text,Quantity numeric
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-10/B","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-12/B","77"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-15/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-16/B","66"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-24/B","31"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-24B/B","31"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-27","30"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","GBU-28B/B","17"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","LOFAR (80) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","LOFAR (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","LOFAR (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","M117","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","M118","18"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk 16 Zuni FFAR","593"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk 71 Zuni WAFAR","593"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-25 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-36 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-36 Mod1 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-36 Mod2 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-39 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-40 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-40 FFAR","2821"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-41 DST","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-46 Mod5","111"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-50","51"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-56 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-57 Mine","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-59 DST","8"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-60 CAPTOR","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-81","304"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-82","352"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-83","169"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","Mk-84","66"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.000-M","1","RIM-7P(v1)","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","0","Fuel","43305750"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","1400 liter tank","24"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","20mm Mark 149-4","1350"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","20mm PGU","2600"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","300 gallon tank","60"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","300 gallon wing tank","40"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-65B","120"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-65D","116"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-65E","117"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-65F","106"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-65G","75"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-84A Harpoon","49"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-84C Harpoon","26"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-84D Harpoon","48"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-84E SLAM","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-84F Harpoon","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AGM-88B","119"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-120A","147"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-54A","61"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-54C ECCM","70"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-54C","112"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-7P","519"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","AIM-9M","509"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-53 1MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-53 2.5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-53 5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-53 9MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-57 Mod0 5kT","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-57 Mod1 10kT","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-57 Mod3 15kT","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-57 Mod5 20kT","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 10kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 170kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 1kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 340kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 5kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 60kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-61 80kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 100kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 1200kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 200kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 25kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 400kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 50kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","B-83 800kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Chaff-1","5442"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","DICASS (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","DICASS (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","DIFAR (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","DIFAR (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","FPU-6","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","FPU-8","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Flare-1","5442"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-1/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-10/B","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-12/B","79"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-15/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-16/B","68"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-24/B","32"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-24B/B","32"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-27","31"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","GBU-28B/B","17"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","LOFAR (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","LOFAR (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","M117","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","M118","18"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk 16 Zuni FFAR","604"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk 71 Zuni WAFAR","604"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-25 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-36 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-36 Mod1 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-36 Mod2 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-39 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-40 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-40 FFAR","2872"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-41 DST","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-46 Mod5","113"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-50","52"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-56 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-57 Mine","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-59 DST","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-60 CAPTOR","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-81","309"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-82","358"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-83","172"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","Mk-84","68"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1992.344-M","1","RIM-7P(v1)","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","0","Fuel","43305750"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","1400 liter tank","24"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","20mm Mark 149-4","1350"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","20mm PGU","2532"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","300 gallon tank","60"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","300 gallon wing tank","40"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-65B","117"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-65D","114"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-65E","115"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-65F","125"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-65G","92"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-84A Harpoon","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-84C Harpoon","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-84D Harpoon","47"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-84E SLAM","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-84F Harpoon","30"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-88B","117"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AGM-88C","37"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-120A","193"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-54A","35"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-54C ECCM","86"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-54C","110"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-7P","510"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","AIM-9M","500"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-53 1MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-53 2.5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-53 5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-53 9MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-57 Mod0 5kT","1"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-57 Mod1 10kT","1"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-57 Mod3 15kT","1"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-57 Mod5 20kT","1"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 10kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 170kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 1kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 340kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 5kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 60kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-61 80kT","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 100kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 1200kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 200kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 25kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 400kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 50kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","B-83 800kT","9"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Chaff-1","5301"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","DICASS (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","DICASS (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","DIFAR (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","DIFAR (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","FPU-6","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","FPU-8","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Flare-1","5301"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-1/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-10/B","36"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-12/B","77"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-15/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-16/B","66"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-24/B","31"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-24B/B","31"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-27","30"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","GBU-28B/B","22"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","LOFAR (85) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","LOFAR (90) Sonobuoy","2940"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","M117","36"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","M118","18"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk 16 Zuni FFAR","589"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk 71 Zuni WAFAR","589"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-25 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-36 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-36 Mod1 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-36 Mod2 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-39 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-40 DST","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-40 FFAR","2798"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-41 DST","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-46 Mod5","110"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-50","68"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-56 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-57 Mine","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-59 DST","8"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-60 CAPTOR","14"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-81","301"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-82","349"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-83","167"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","Mk-84","66"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1993.000-M","1","RIM-7P(v1)","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","0","Fuel","43305750"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","120 gallon tank","18"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","1400 liter tank","24"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","20mm Mark 149-4","1350"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","20mm PGU","2051"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","300 gallon tank","60"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","300 gallon wing tank","40"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-65B","124"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-65D","122"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-65E","123"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-65F","133"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-65G","117"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-84A Harpoon","27"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-84C Harpoon","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-84D Harpoon","50"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-84E SLAM","23"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-84F Harpoon","39"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-88B","124"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AGM-88C","60"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-120A","157"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-120B","98"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-54A","5"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-54C ECCM","55"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-54C","58"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-7P","408"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","AIM-9M","419"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-53 1MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-53 2.5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-53 5MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-53 9MT","7"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 10kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 170kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 1kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 340kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 5kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 60kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-61 80kT","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 100kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 1200kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 200kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 25kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 400kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 50kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","B-83 800kT","10"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Chaff-1","4546"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","DICASS (85) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","DICASS (90) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","DIFAR (85) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","DIFAR (90) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","FPU-6","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","FPU-8","72"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Flare-1","4546"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-1/B","23"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-10/B","38"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-12/B","81"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-15/B","23"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-16/B","69"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-24/B","33"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-24B/B","33"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-27","32"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","GBU-28B/B","30"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","LOFAR (85) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","LOFAR (90) Sonobuoy","1890"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","M117","38"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","M118","19"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk 16 Zuni FFAR","621"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk 71 Zuni WAFAR","621"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-25 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-36 DST","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-36 Mod1 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-36 Mod2 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-39 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-40 DST","15"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-40 FFAR","2953"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-41 DST","4"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-46 Mod5","106"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-50","83"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-56 Mine","6"
"CV-60 (Forrestal) USS Saratoga(SLEP) 1994.000-M","1","Mk-57 Mine","15"
