DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxSpeed_kts numeric,Accel_ktsps numeric,TurnRate_degps numeric,FuelCapacity_kg numeric,FuelRate_kgps numeric,Toughness numeric,DamageEffect text,FlightportClass text,RCS_dBsm numeric,RCS_Model nextutmeric,OpticalCrossSection_dBsm numeric,IRSignature_dB numeric,IR_ModelA text,IR_ModelB text,IR_ModelC text,EffectiveHeight_m numeric
"MIM-23 I-Hawk mTMD","I-Hawk mTMD","17","256","0","0","0","1995","2001","USA","SAM","","","rapier-towed.xml","The Raytheon MIM-23 Hawk is an American medium range surface-to-air missile. The Hawk was initially designed to destroy aircraft and was later adapted to destroy other missiles in flight. The missile entered service in 1960, and a program of extensive upgrades has kept it from becoming obsolete. It was superseded by the MIM-104 Patriot in United States Army service by 1994. It was finally phased out of US service in 2002, the last users, the US Marine Corps replacing it with the man-portable infrared-guided visual range FIM-92 Stinger. The missile was also produced outside the US in Western Europe and Japan.  Upgrades allow the missiles to be transported on the launcher itself","","0","5","10","0","0","","Generic3","","10.5","Default","3","20","Default","Default","Default","2"
"MIM-23 I-Hawk","I-Hawk","17","256","0","0","0","1979","1984","USA","SAM","","","rapier-towed.xml","The Raytheon MIM-23 Hawk is an American medium range surface-to-air missile. The Hawk was initially designed to destroy aircraft and was later adapted to destroy other missiles in flight. The missile entered service in 1960, and a program of extensive upgrades has kept it from becoming obsolete. It was superseded by the MIM-104 Patriot in United States Army service by 1994. It was finally phased out of US service in 2002, the last users, the US Marine Corps replacing it with the man-portable infrared-guided visual range FIM-92 Stinger. The missile was also produced outside the US in Western Europe and Japan.  An improved missile, and upgraded radars mark this upgrade","","0","5","10","0","0","","Generic3","","10.5","Default","3","20","Default","Default","Default","2"
"MIM-72A Chaparral","","17","256","0","0","0","1969","1998","USA","SAM","","","rapier-towed.xml","The MIM-72A/M48 Chaparral was a American self-propelled surface-to-air missile system based on the AIM-9 Sidewinder air-to-air missile system.","","36.5","5","10","766.9","0.03","","Generic3","","14","Default","14","14","Default","Default","Default","2"
"MSTT","","10","256","","","","","","","VTS","","","roland2-site.xml","Estacion vigilancia costera MSTT","Marcos","0","0","0","0","0","","Generic3","","30","Default","40","10","Default","Default","Default","30"
"Name me","","10","256","0","0","0","1900","2999","","","","","rapier-towed.xml","Unidentified Facilities","","0","0","0","0","0","","Generic3","","20","Default","20","20","Default","Default","Default","2"
"POL Tank","","10","256","","","","","","","","","","unknown.xml","","Marcos","0","0","0","0","0","","Generic3","","50","Default","50","30","Default","Default","Default","10"
"Patriot PAC-2","","10","256","100000000","0","0","1980","2050","USA","SAM","","","roland2-site.xml","Patriot PAC-2 battery, modeled as fixed site","","0","0","0","0","0","40","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"Rapier-Mobile","","17","258","20000000","0","0","1900","2999","France","SAM","","NONE","rapier-towed.xml","Towed Rapier SAM unit--test mobile version","","30","5","10","1000","0.1","20","Generic3","","7","Default","3","20","Default","Default","Default","2"
"Rapier-Towed","","10","256","20000000","0","0","1900","2999","France","SAM","","NONE","rapier-towed.xml","Towed Rapier SAM unit","","0","0","0","0","0","20","Generic3","","10.5","Default","3","20","Default","Default","Default","2"
"Refinery Control Center","","10","256","","","","","","","","","","unknown.xml","","Marcos","0","0","0","0","0","","Generic3","","50","Default","50","20","Default","Default","Default","10"
"Roland-2","","10","256","20000000","0","0","1900","2999","UK","SAM","","NONE","roland2-site.xml","Roland2 SAM site","","0","0","0","0","0","20","Generic3","","10.5","Default","3","20","Default","Default","Default","2"
"S-125 Neva","SA-3A Goa","17","256","0","0","0","1961","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-125 Pechora-2","","17","256","0","0","0","2000","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.  Upgraded systems to improve export sales, better range, engagement, PK and relocation times, can also attack cruise missiles.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-125 Pechora-2M","","17","256","0","0","0","1999","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.  Overhauled Eqyptian S-125's to Pechora-2 standards.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-125 Pechora-M","","17","256","0","0","0","2001","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.  Upgraded rocket motors for missiles, improved radar, guidance, warhead, fusing, electronics, and an additional laser/IR tracking/guidance to allow engagements without needing the radar.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-125M Neva-M","SA-3B Goa","17","256","0","0","0","1963","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.  Improved missile booster and guidance system.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-125M1 Neva-M1","SA-3B Goa","17","256","0","0","0","1964","2999","Russia","SAM","","","rapier-towed.xml","The Isayev S-125 Neva/Pechora (NATO reporting name SA-3 Goa) Soviet surface-to-air missile system was designed to complement the S-25 and S-75. It has a shorter effective range and lower engagement altitude than either of its predecessors and also flies slower, but due to its two-stage design it is more effective against more maneuverable targets.  New missile","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200 Vega","SA-5B Gammon","17","256","0","0","0","1975","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200A Angara","SA-5A Gammon","17","256","0","0","0","1967","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200D Dubna","SA-5C Gammon","17","256","0","0","0","1976","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200M Vega-M","SA-5B Gammon","17","256","0","0","0","1976","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200V Vega","SA-5B Gammon","17","256","0","0","0","1970","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-200VE Vega-E","SA-5B Gammon","17","256","0","0","0","1970","2999","Russia","SAM","","","rapier-towed.xml","The NPO Almaz S-200 Angara/Vega/Dubna, NATO reporting name SA-5 Gammon, is a very long range, medium-to-high altitude surface-to-air missile (SAM) system designed to defend large areas from bomber attack or other strategic aircraft (such as the SR-71 'Blackbird'). Each battalion has 6 single-rail missile launchers for the 10.72 m (35 ft) long missiles and a fire control radar. It can be linked to other, longer-range radar systems.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-25 Berkut","SA-1 Guild","17","256","0","0","0","1954","1982","Russia","SAM","","","rapier-towed.xml","The S-25 Berkut('Berkut' means golden eagle in English) is a surface-to-air guided missile, the first operational SAM system in the world. Its NATO reporting name is SA-1 Guild. It was used only to defend Moscow, while the more mobile S-75 (SA-2 Guideline) would be used in almost all other roles. Other names include the R-113 (target acquisition radar), B-200 (target engagement radar), A-11/A-12 (antennas for B-200), and V-300 (a SAM); S-25 is for Systema 25, referring to the system as a whole.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-25M Berkut","SA-1 Guild","17","256","0","0","0","1961","1982","Russia","SAM","","","rapier-towed.xml","The S-25 Berkut('Berkut' means golden eagle in English) is a surface-to-air guided missile, the first operational SAM system in the world. Its NATO reporting name is SA-1 Guild. It was used only to defend Moscow, while the more mobile S-75 (SA-2 Guideline) would be used in almost all other roles. Other names include the R-113 (target acquisition radar), B-200 (target engagement radar), A-11/A-12 (antennas for B-200), and V-300 (a SAM); S-25 is for Systema 25, referring to the system as a whole.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-25MA Berkut","SA-1 Guild","17","256","0","0","0","1961","2999","Russia","SAM","","","rapier-towed.xml","The S-25 Berkut('Berkut' means golden eagle in English) is a surface-to-air guided missile, the first operational SAM system in the world. Its NATO reporting name is SA-1 Guild. It was used only to defend Moscow, while the more mobile S-75 (SA-2 Guideline) would be used in almost all other roles. Other names include the R-113 (target acquisition radar), B-200 (target engagement radar), A-11/A-12 (antennas for B-200), and V-300 (a SAM); S-25 is for Systema 25, referring to the system as a whole.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300P","SA-10A Grumble","17","256","0","0","0","1978","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PM","SA-10C Grumble","17","256","0","0","0","1990","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PM-1","SA-20A Gargoyle","17","256","0","0","0","1993","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  The Third significant upgrade to the S-300 series, it was eventually redesignated SA-20.  New radar and capability of utilising the 48N6 missile introduced","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PM-2 Favorit","SA-20B Gargoyle","17","256","0","0","0","1997","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  The Third significant upgrade to the S-300 series, it was eventually redesignated SA-20.  Incremental radar upgrades, and new missiles introduced","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PMU old","","10","256","20000000","0","0","1900","2999","Russia","SAM","","","s300.xml","S-300 TEL SA-10 Launcher","","0","0","0","0","0","40","Generic3","","15","Default","15","20","Default","Default","Default","2"
"S-300PMU","SA-10B Grumble","17","256","0","0","0","1990","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  This is the export version of the S-300PM","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PMU-1","SA-20A Gargoyle","17","256","0","0","0","1993","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  The Third significant upgrade to the S-300 series, it was eventually redesignated SA-20.  This is the export Version of the S-300PM-1","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PMU-2","SA-20B Gargoyle","17","256","0","0","0","1997","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  The Third significant upgrade to the S-300 series, it was eventually redesignated SA-20.  This is the export version of the S-300PM-2","","0","0","0","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PS","SA-10B Grumble","17","256","0","0","0","1982","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  Much higher mobility, able to setup for firing in 5 minutes from wheel stop.  Also introduces","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PT","SA-10A Grumble","17","256","0","0","0","1978","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.  Time to readiness was reduced to 30 minutes, and cold launch adopted.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PT-1","SA-10A Grumble","17","256","0","0","0","1990","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version.  The S-300 is regarded as one of the most potent anti-aircraft missile systems currently fielded. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300PT-1A","SA-10A Grumble","17","256","0","0","0","1993","2999","Russia","SAM","","","rapier-towed.xml","The S-300 is a series of Russian long range surface-to-air missile systems produced by NPO Almaz, all based on the initial S-300P version.  The S-300 is regarded as one of the most potent anti-aircraft missile systems currently fielded. Its radars have the ability to simultaneously track up to 100 targets while engaging up to 12.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300V1","SA-12 Giant","17","256","0","0","0","1986","2999","Russia","SAM","","","rapier-towed.xml","Designed from the outset for high mobility and effectiveness against targets at all altitudes, the S-300V would have been a key player in any late Cold War conflict. This weapon was developed to provide not only long range area defence, but also to engage and destroy ISR assets like the E-3 AWACS, E-8 JSTARS and U-2, and tactical jammers like the EF-111A Raven and EA-6B Prowler.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-300V2","SA-12 Gladiator","17","256","0","0","0","1992","2999","Russia","SAM","","","rapier-towed.xml","Designed from the outset for high mobility and effectiveness against targets at all altitudes, the S-300V would have been a key player in any late Cold War conflict. This weapon was developed to provide not only long range area defence, but also to engage and destroy ISR assets like the E-3 AWACS, E-8 JSTARS and U-2, and tactical jammers like the EF-111A Raven and EA-6B Prowler.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-400 Triumf","SA-21A Growler","17","256","0","0","0","2007","2999","Russia","SAM","","","rapier-towed.xml","The Almaz S-400 Triumf or SA-21 'Growler' system is the subsequent evolution of the S-300PMU2, trialled in 1999. The label S-400 is essentially marketing, since the system was previously reported under the speculative label of S-300PM3. At least one report claims that funding for the development of the Triumf was provided in part by the PLA.  This system introduces many significant improvements over the previous S-300 PM-2/PMU-2","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75 Desna","SA-2C Guideline","17","256","0","0","0","1959","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.  Upgraded Fansong-C radar and new missiles.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75 Dvina","SA-2A Guideline","17","256","0","0","0","1957","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M Dvina","SA-2B Guideline","17","256","0","0","0","1958","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.  Upgraded Fansong-B radar and new missiles mark this variants improvements.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M Volga","","17","256","0","0","0","1995","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M Volkhov","SA-2D Guideline","17","256","0","0","0","1961","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.  Upgraded Fanson-E radar, new missiles.  Has a better capacity to cope with jamming","","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M2 Volkhov","SA-2E Guideline","17","256","0","0","0","1968","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.  New missiles","10OCT2010 Dewitt - changed radar to RSN-75-F, since -E didnt exist in db","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M3 Volkhov","SA-2F Guideline","17","256","0","0","0","1975","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.  Uograded Fansong-F radar, new missiles, home on jam, and optical sensors added in this version.","10OCT2010 Dewitt - changed radar to RSN-75-F, since -E didnt exist in db","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"S-75M4 Volkhov","","17","256","0","0","0","1978","2999","Russia","SAM","","","rapier-towed.xml","The Lavochkin OKB S-75 (NATO reporting name SA-2 Guideline) is a Soviet designed high-altitude, command guided, surface-to-air missile (SAM) system. Since its first deployment in 1957, it has become the most widely deployed and used air defense missile in history.  This system first gained fame when an S-75 battery shot down a CIA U-2 overflying the Soviet Union in 1960.","10OCT2010 Dewitt - changed radar to RSN-75-F, since -E didnt exist in db","0","5","10","0","0","","Generic3","","22.7815125","Default","16.78","20","Default","Default","Default","2"
"SSC-1(12)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a small battery of 12 missiles.","","0","0","0","0","0","","Generic5","","21.46","Default","21.46","21.46","Default","Default","Default","2"
"SSC-1(18)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a medium battery of 18 missiles.","","0","0","0","0","0","","Generic6","","22.553","Default","22.553","22.553","Default","Default","Default","2"
"SSC-1(24)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a medium battery of 24 missiles.","","0","0","0","0","0","","Generic6","","23.42","Default","23.42","23.42","Default","Default","Default","2"
"SSC-1(30)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a large battery of 30 missiles.","","0","0","0","0","0","","Generic6","","24.15","Default","24.15","24.15","Default","Default","Default","2"
"SSC-1(36)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a large battery of 36 missiles.","","0","0","0","0","0","","Generic6","","24.77","Default","24.77","24.77","Default","Default","Default","2"
"SSC-1(6)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-1 Coastal SSM battery.  It launches SS-N-3 Shaddock missiles with 500km range at 675 kts.  This is a small battery of 6 missiles.","","0","0","0","0","0","","Generic5","","20","Default","20","20","Default","Default","Default","2"
"SSC-2(12)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a small battery of 12 missiles.","","0","0","0","0","0","","Generic5","","21.46","Default","21.46","21.46","Default","Default","Default","2"
"SSC-2(18)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a medium battery of 18 missiles.","","0","0","0","0","0","","Generic6","","22.553","Default","22.553","22.553","Default","Default","Default","2"
"SSC-2(24)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a medium battery of 24 missiles.","","0","0","0","0","0","","Generic6","","23.42","Default","23.42","23.42","Default","Default","Default","2"
"SSC-2(30)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a large battery of 30 missiles.","","0","0","0","0","0","","Generic7","","24.15","Default","24.15","24.15","Default","Default","Default","2"
"SSC-2(36)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a large battery of 36 missiles.","","0","0","0","0","0","","Generic7","","24.77","Default","24.77","24.77","Default","Default","Default","2"
"SSC-2(6)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-2 Coastal SSM battery.  It launches KRS-1 Salish missiles with 100km range at 598 kts.  This is a small battery of 6 missiles.","","0","0","0","0","0","","Generic5","","20","Default","20","20","Default","Default","Default","2"
"SSC-3(12)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a small battery of 12 missiles.","","0","0","0","0","0","","Generic5","","21.46","Default","21.46","21.46","Default","Default","Default","2"
"SSC-3(18)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a medium battery of 18 missiles.","","0","0","0","0","0","","Generic6","","22.553","Default","22.553","22.553","Default","Default","Default","2"
"SSC-3(24)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a medium battery of 24 missiles.","","0","0","0","0","0","","Generic6","","22.553","Default","22.553","22.553","Default","Default","Default","2"
"SSC-3(30)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a large battery of 30 missiles.","","0","0","0","0","0","","Generic7","","24.15","Default","24.15","24.15","Default","Default","Default","2"
"SSC-3(36)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a large battery of 36 missiles.","","0","0","0","0","0","","Generic7","","24.77","Default","24.77","24.77","Default","Default","Default","2"
"SSC-3(6)","","17","256","0","5450","0","1900","2999","Russia","SSM","","","rapier-towed.xml","SSC-3 Coastal SSm battery.  It launches SS-N-2D Styx missiles with 65km range at 579 kts.  This is a small battery of 6 missiles.","","0","0","0","0","0","","Generic5","","20","Default","20","20","Default","Default","Default","2"
