DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,MaxFireControlTracks numeric,IsSemiactive numeric,IsDesignator numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric,IsIR numeric,NightFactor numeric
"Ka-58A 18in Pan Vigi Photo-3","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 58.6km, Night Factor: 0          Film camera system","this camera has a focal length of 18in, and is mounted at a 90° depression angle, this camera station has a 66% overlap.  assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 29.96° wide and 2.05° long.  nominal scan rate for no overlap would be  0.71 seconds, 66% overlap is then 0.24s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 58.6 for the 18in focal length, assuming equivalent film is used.  Must be mounted in fwd/aft pairs to allow proper field of view, thus verticalfield of view is half proper here.","225","58.6","29.96","-90","-88.975","0.24","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","1","1","1","0","0"
"Ka-58A 3in Pan Vigi Photo-3","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 19.5km, Night Factor: 0          Film camera system","this camera has a focal length of 3in, and is mounted at a 90° depression angle, this camera station has a 60% overlap.  assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 73.87° wide and 12.134° long.  nominal scan rate for no overlap would be  1.69 seconds, 60% overlap is then 1.69s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 19.5 for the 3in focal length, assuming equivalent film is used.  Must be mounted in fwd/aft pairs to allow proper field of view, thus verticalfield of view is half proper here.","225","19.5","73.87","-90","-83.933","1.69","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","12","1","1","0","0","0","1","1","1","1","0","0"
"Kh-59 TV","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 40km, Ref: 9.6km, Night Factor: 0.1          TV seeker head sensor for Kh-59 cruise missile","","40","9.6","45","-90","90","10","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","0","0.1"
"LANTIRN","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 50km, Ref: 13.751km          LANTIRN FLIR and targeting pod","","50","13.751","280","-90","90","45","GenericSensor","0","0.5","90","75000000000000.0","800000000000000.0","6","1","1","1","0","1","1","1","0","1","1","1"
"Laser seeker 10km","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 10km, Ref: 20km          Generic laser seeker 10 km range","","10","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","1","0","1","0","0","1","1","1"
"Laser seeker 15km","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 15km, Ref: 20km          Generic laser seeker 15 km range","","15","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","1","0","1","1","0","1","1","1"
"Laser seeker 20km","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 20km          Generic laser seeker 20 km range","","20","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","1","0","1","1","0","1","1","1"
"Laser-10km","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 10km, Ref: 20km          Generic laser designator 10 km range","","10","20","360","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-15km","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 15km, Ref: 15km          Generic laser designator 15 km range","","15","15","360","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-20km","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 20km, Ref: 15km          Generic laser designator 20 km range","","20","15","270","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-30km","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 20km, Ref: 15km          Generic laser designator 30 km range","","20","15","270","-90","90","30","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","10","0","1","1","0","0","1","1","1"
"Litening LDP","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 20km, Ref: 15km          Laser designation pod","Marcos","20","15","270","-90","10","10","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","2","0","1","1","0","0","1","1","1"
"Litening-3 LDP","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 40km, Ref: 25km          Laser designation pod","Marcos","40","25","270","-90","10","5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","5","0","1","1","0","0","0","1","1"
"MAA-1A SH","","0","0","","","","1900","2999","","","","","","IR, Max Range: 15km, Ref: 14km          IR seeker","Marcos","15","14","40","-20","20","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Maverick Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 30km, Ref: 30km          IR seeker","","30","30","90","-90","90","10","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","1","1"
"MICA IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 35km, Ref: 33.85km          IR seeker for the MICA IR AAM.  40km all aspect aligned.","","35","33.85","120","-60","60","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Mirador-EOD","","0","0","","","","1900","2999","","","","","","IR Designator, Max Range: 20km, Ref: 20km          Lightweight EO multisensor","Marcos","20","20","270","-45","60","3","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","0","0","1","1","1","0","0","1","1"
"Mistral IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 6km, Ref: 20km","","6","20","45","-90","90","0.5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Mistral-SH","","0","0","","","","1900","2999","","","","","","IR, Max Range: 11km, Ref: 10km          EO/IR missile seeker","Marcos","11","10","90","-45","45","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Mk-40 FFAR seeker","","0","0","0","0","0","1900","2999","","","","","","Optical Designator, Max Range: 8500km, Ref: 25km          while the rockets are techically unguided, this allows us to restrain them as boresighted launch only, if the seeker cannot see the target, then there is no ability to fire on the target.","","8500","25","3","-3","3","0.1","GenericSensor","0","2","2","75000000000000.0","800000000000000.0","6","1","0","0","0","1","1","0","0","1","0","1"
"Model 200HP","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 15km, Ref: 10km          FLIR for Lynx helo","Marcos","15","10","360","-90","60","10","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","0","0","1","1","0","0","1","1","1"
"OEPS-27MK","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 50km, Ref: 40km          Infrared search-and-track (IRST) for Su-27/Su-30","Marcos","50","40","120","-15","60","10","GenericSensor","0.3","0","90","75000000000000.0","800000000000000.0","6","1","1","1","0","1","0","1","1","1","1","1"
"OEPS-30 IRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 90km, Ref: 45km          Russian Infrared Search and Track System (IRST)","","90","45","60","-30","30","1","GenericSensor","1","0","0","75000000000000.0","800000000000000.0","6","1","1","4","0","1","0","1","1","0","1","1"
"OLS-27 IRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 50km, Ref: 30km          Russian Infrared Search and Track System (IRST)","","50","30","60","-30","30","3","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","2","0","1","0","1","1","0","1","1"
"OR-263 FLIR","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 45km, Ref: 17.189km, Night Factor: 1.2          Forward looking infrared (FLIR)","","45","17.189","120","-90","90","12","GenericSensor","0","0.5","90","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","1","1.2"
"OSF IRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 80km, Ref: 30km          Thales EO/IRST passive sensor","","80","30","60","-30","30","8","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","2","0","1","1","1","1","1","1","1"
"Periscope-1","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 15km, Ref: 3.4km, Night Factor: 0.9          Simple Periscope optics","","15","3.4","360","-90","90","20","GenericSensor","0.05","0.5","90","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","0","1","0","0.9"
"PIRATE IRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 100km, Ref: 30km          Eurofighter Infrared Search and Track System (IRST)","","100","30","60","-30","30","25","GenericSensor","1","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","1","1"
"POP-200","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 20km, Ref: 15km          POP-200 optronic sensor, CCD-TV and thermal imager","","20","15","360","-90","15","10","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","1","1","1","1","1","1","1"
"Python-4 SH","","0","0","","","","1900","2999","","","","","","IR Designator, Max Range: 20km, Ref: 20km          EO/IR dual-band seeker with IR counter-countermeasures","Marcos","20","20","120","-60","60","1","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","1","0","1","0","1","1","1"
"Python-5 SH","","0","0","","","","1900","2999","","","","","","IR, Max Range: 30km, Ref: 30km          EO/IR dual-band seeker with IR counter-countermeasures","Marcos","30","30","180","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"R-13 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 8km, Ref: 1.7km          IR seeker for the R-13 AAM.  8km rearl aspect aligned.","","8","1.7","10","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"R-23T Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 15km, Ref: 3.7km          R-23T IR seeker","","15","3.7","30","-30","30","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-24T Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 5.4km          R-24T IR seeker","","20","5.4","40","-40","40","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-27T Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 35km, Ref: 92.5km          Avtomatika 9B-1032 (PRGS-27) IR seeker head for R-27T","","35","92.5","80","-90","90","5","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-40T Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 30km, Ref: 24.7km          R-40T IR seeker","","30","24.7","40","-40","40","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-60 Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 8km, Ref: 0.87km          Russian Komar (Mosquito) uncooled IR seeker","","8","0.87","10","-10","10","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-60M Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 8km, Ref: 3.2km","","8","3.2","20","-20","20","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-73 Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 15km, Ref: 11.7km          Cryogenic cooled IR seeker with off-boresight capability","","15","11.7","60","-60","60","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-73M Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 20km, Ref: 15.9km          Cryogenic cooled IR seeker with off-boresight capability","","20","15.9","120","-60","60","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R-73M2 Infrared","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 30km, Ref: 24.7km          Cryogenic cooled IR seeker with off-boresight capability","","30","24.7","130","-65","65","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"R.440N Guidance","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 14.5km, Ref: 13km","","14.5","13","90","-90","90","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","1","0","0","1"
"R.550 Magic IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 14km, Ref: 3.38km","","14","3.38","30","-30","30","2","GenericSensor","0","0","90","","","99","1","0","0","0","0","0","1","0","0","1","1"
"Radamec 2500 Optronic Sensor","","0","0","0","0","0","1900","2999","","","","","","IR Designator, Max Range: 28km, Ref: 28km          Optronic director with TV, laser, and infrared imagers","","28","28","270","-35","70","12","GenericSensor","0","0","0","","","6","1","0","1","0","1","1","1","1","1","1","1"
"RedTop IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 8.5km, Ref: 5km","limited all aspect capability, a supersonic target is engageable, a subsonic one too cold to engage all aspect.  given 20% detection chance on a mach 1.1 supersonic.","8.5","5","40","-40","40","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"RIM-116A/B seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 12km, Ref: 21.5km          IR seeker for RIM-116","must be capable of IR homing to its limits against at least a subsonic small missile, IRdBsm of -4.63.  21.8 makes this a 100% chance at 12km.  Anything faster, or larger will be even easier to track.","12","21.5","30","-90","90","1","GenericSensor","0","0","0","","","6","1","0","0","0","0","0","1","1","0","1","1"
"Sea Cat Operator","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 5km, Ref: 3.4km, Night Factor: 0          Sea Cat operator aiming Seacat through visual command link","","5","3.4","360","-90","90","2","GenericSensor","0","0.5","90","","","6","1","0","1","0","0","1","1","1","0","0","0"
"Sea Cat Seeker","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 5km, Ref: 5km, Night Factor: 0          The missile is visualy guided by radon command by an operator who tracks flares on the tail of the missile and controls it via joystick inputs.","because the missile is visually guided at very short ranges by an operator, the seeker is being setup as omniscient.","5","5","360","-180","180","2","GenericSensor","0","0","0","","","6","1","0","0","0","0","0","1","1","0","0","0"
"Sea Skua IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 16km, Ref: 6.65km","","16","6.65","20","-20","20","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","1","0","0","1","1","1"
"Seaflir","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 15km, Ref: 15km          Long-range color and monochrome CCD with 3-5 um InSb focal plane array","Marcos","15","15","360","-90","60","10","GenericSensor","0","0","90","","","6","1","1","0","0","1","1","0","0","1","1","1"
"SERO-14","","0","0","","","","1900","2999","","","","","","Optical Surveilance, Max Range: 20km, Ref: 14km, Night Factor: 0.1          Zeiss search periscope with 12x zoom and +75/-15 deg elevation limits","Marcos","20","14","360","-15","75","6","GenericSensor","0","0","90","","","6","1","1","0","0","0","1","1","0","1","0","0.1"
"Skorpion-P Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 1km, Ref: 1km          IR seeker for 9M17MP anti-tank missile","","1","1","30","-90","90","1","GenericSensor","0","0","90","","","6","1","0","0","1","0","1","0","0","1","1","1"
"SPICE","","0","0","","","","1900","2999","","","","","","IR, Max Range: 30km, Ref: 30km          SPICE-1000 missile IR seeker with dual IR/CCD-TV and advanced scene matching","Marcos","30","30","60","-90","90","1","GenericSensor","0","0","0","","","6","1","0","0","0","0","1","0","0","1","1","1"
"Strela II IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 3.2km, Ref: 0.654km          IR seeker for Strela II missile","","3.2","0.654","20","-90","90","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"Strela III IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 3.9km, Ref: 0.76km","","3.9","0.76","20","-90","90","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","0","1","0","0","1","1"
"TP-8 IRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance, Max Range: 30km, Ref: 10km          MiG-31 KOLS Infrared Search and Track (IRST)","","30","10","60","-30","30","10","GenericSensor","0","0.5","0.5","","","6","1","1","4","0","0","1","1","1","0","1","1"
"Tubus-2","","0","0","","","","1900","2999","","","","","","IR, Max Range: 15km, Ref: 10km          Stabilized television seeker","Marcos","15","10","60","-50","50","1","GenericSensor","0","0","0","","","6","1","0","0","0","0","1","0","0","1","1","1"
"TV seeker 15km","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 15km, Ref: 8km, Night Factor: 0.6","","15","8","60","-90","90","2","GenericSensor","0","0","90","","","6","1","0","0","0","0","1","0","0","1","0","0.6"
"VAMPIR IIRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 160km, Ref: 19.5km          Electro-Optical/Infrared Search and Track System installed aboard Australian surface combatants.","-20° to +45°, scans in 5° bands at 90rpm, so, it needs 9 scans to complete a horizon to max_el scan, so cut RPM from 90 to 10, and we get a 6 second update rate.  However, while it can scan in either wide or narrow band IR, it can do so in only one band a","160","19.5","360","-20","45","12","GenericSensor","0","0.0859","0.0859","","","6","1","1","1","0","1","1","1","1","1","1","1"
"VAMPIR MB IIRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 160km, Ref: 19.5km","-20° to +45°, scans in 5° bands at 90rpm, so, it needs 9 scans to complete a horizon to max_el scan, so cut RPM from 90 to 10, and we get a 6 second update rate.  Is configured able to detect a small subsonic missile at 8km, a mach 4 large missile at up t","160","19.5","360","-20","45","6","GenericSensor","0","0.0859","0.0859","","","6","1","1","1","0","1","1","1","1","1","1","1"
"VAMPIR NG IIRST","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 160km, Ref: 19.5km","Is a staring array upgraded from VAMPIR MB, assuming same capabilites, just dramatically faster update rate.. maximum range assigned based on ref range and 50dBsm target, optical or thermal.","160","19.5","360","-20","45","0.67","GenericSensor","0","0.0859","0.0859","","","6","1","1","1","0","1","1","1","1","1","1","1"
"WESCAM MX20","","0","0","","","","1900","2999","","","","","","IR Surveilance Designator, Max Range: 25km, Ref: 15km          EO/IR full motion video, 20 inch (51cm) diameter ball gimbal","Marcos","25","15","360","-90","15","5","GenericSensor","0","0","0","","","6","1","1","0","0","1","1","1","1","0","1","1"
"AS 30 Seeker","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 10.2km, Ref: 2.85km","","10.2","2.85","30","-90","90","5","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","1","0","0","1","0","1"
"Eyeball-2 NV","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 225km, Ref: 6.8755km, Night Factor: 0.95          Mk-1 eyeball 20/10 vision with Night Vision.","equivalent to 20/10 vision.  should only be assigned to aircraft, as they generally screen for less than excellent eyesight.  20/10 eyesight allows for discrimination of a 1m² target at 6.8754km, as pilots would have to cope with unaided views(they do not get the benefit of 20x binoculars, such as the lookouts on a ship do), this entry does appear to be for weaker eyes, this definitely is not true, altho their performance in GCB will suffer as a result of not having the binoculars.  This will be offset by a higher rate of update, and in greater angular acuracy.  1 arc minute is 1/60 of a degree, or 0.1667°. this full accuracy is available to a pilot.  Asumed to be capable of estimating range to within 5%","225","6.8755","360","-90","90","5","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","8","1","1","0","0","0","1","1","1","1","0","0.95"
"OD.2 25x 3m","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 30km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","human eye accurracy at any task is limited to 10 arc seconds.  the error inherent to such a system can be figured as follows.  25x magnification means the apparent base length is 3m*25x, or 75m.  from here its straight trig.  We also need to remove the arc seconds and convert them to degrees, there are 3600 seconds in one hour, and there are 3600 seconds of arc in one degree, so, 10/3600=0.002777778.  Large decimal places WILL be important.  Hypoteneuse of this setup then becomes equal (baselength^2+range^2)^0.5.  This is 2001.405756m if the target is 2000m away.  the sine of that is range/hypoteneuse, of 2000/2001.405756=0.999297616.  In degrees it is equal to 87.8524158°, add to this our optical error of 0.002777775, for 87.85519235.  Now work back towards a range.  The tangent of that angle is 26.70123547, the baselength is 75m(3m*25x optics), angle times baselength then is 2002.59266.  2.6m error.  This is a theoretical maximum.  Training and human error now finds its way in to things.  Range cannot match the human eye against things like aircrafr because while ships are larger, they are rapidly below the horizon. The horizon is 3.8568*sqrt(height_m), assume 30m for a battleship, then the horizon is 21.12km away.  Then add some more for the height of your target, you need the hull to be visible for good solutions, so assume just a 5m height.  the the same calculation, then add them, for a total range of 29.74km, assume 30km is a directors maximum range then.  Error at 30km is then 593.3m.  However, GCB is flawed here.  Stereoscopic optical errors are not linear.  While the error is 600m exactly at 30167.64m.  This is an error 0.01978 in GCB terms.  Now, 300m error is found at 21393.285m, GCb finds it at 15166.835, a rather large difference.  I will of course have to use a flawed value in GCB in order to try and coerce better accuracy at shorter ranges.  Sicne the range of reality worsens with range faster than GCb does, I will peg GCB nice and close in, and then let reality get wonkier the farther out you are.  So, if I match GCB to reality at 10km, then at 20km real error would be 260, and GCB 130.  At 30km its 593.3 and 195.2.  However at 5km real is 16.2m and GCB is 32.5.  Now, to worsen things a bit more, while the Human eye is indeed capable of 10 arc seconds I will assume a worse value, of 10.5 arc seconds, 5% error introduced by the operator if the navy is VERY highly trained, 11.25 if well trained, 12.5 if ok trained, 14 is poorly trained.  Against a target at 10km, the error values would then be...65.1m theoretical maximum, 68.3 very trained, 73.3 well trained, 81.5 ok trained, 91.3 poorly trained.  As the human operator influences the sensor performance, multiple versions will of course be necessary for these.  Angular error will be assumed to simply be twice the 10 arc second human maximum, or 0.55°","30","12.017","360","-90","90","20","GenericSensor","0.00733","0.55","0","75000000000000.0","800000000000000.0","6","0","0","0","0","0","1","0","0","1","0","0.4"
"OD.2 25x 10.6m","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 30km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.","30","12.017","360","-90","90","20","GenericSensor","0.00206","0.55","0","75000000000000.0","800000000000000.0","6","0","0","0","0","0","1","0","0","1","0","0.4"
"OD.2 25x Central Iowa 8.1m","","0","0","0","0","0","1900","2999","","","","","","Optical, Max Range: 30km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.  Assumed to be 30m high.","30","12.017","360","-90","90","20","GenericSensor","0.00733","0.55","0","75000000000000.0","800000000000000.0","6","0","0","0","0","0","1","0","0","1","0","0.4"
"OD.2 25x Local Iowa Main 1 15.6m","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 20.82km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.  Assumed to be 10m high.","20.82","12.017","270","-90","90","20","GenericSensor","0.0014","0.55","0","75000000000000.0","800000000000000.0","6","0","1","0","0","0","1","0","0","1","0","0.4"
"OD.2 25x Local Iowa Main 2 15.6m","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 23.56km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.  Assumed to be 15m high.","23.56","12.017","270","-90","90","20","GenericSensor","0.0014","0.55","0","75000000000000.0","800000000000000.0","6","0","1","0","0","0","1","0","0","1","0","0.4"
"OD.2 25x Local Iowa Secondary 3m","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 20.82km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.  Assumed to be 10m high.","20.82","12.017","360","-90","90","5","GenericSensor","0.00733","0.55","0","75000000000000.0","800000000000000.0","6","0","1","0","0","0","1","1","1","1","0","0.4"
"OD.2 25x Local Iowa Main 3 15.6m","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 20.82km, Ref: 12.017km, Night Factor: 0.4          Warship main battery optical director.","See OD.2 25x 3m for how these values are arrived at.  Well trained.  Assumed to be 10m high.","20.82","12.017","270","-90","90","20","GenericSensor","0.0014","0.55","0","75000000000000.0","800000000000000.0","6","0","1","0","0","0","1","0","0","1","0","0.4"
"Eyeball-1.2","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 25km, Ref: 12.0117km, Night Factor: 0.5          Mk-1 eyeball 20/20 vision.  this is the very short range version, to allow for rapid updates and tracking of very close in targets.","","25","12.0117","360","-90","90","1","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball-2.2","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance, Max Range: 15km, Ref: 6.8755km, Night Factor: 0.6          Mk-1 eyeball 20/10 vision.  thjis is the short ranged version, permitting MUCH higher refresh rates to allow for responding to a target you are watching intently.","","15","6.8755","360","-90","90","0.2","GenericSensor","0","0","0","75000000000000.0","800000000000000.0","6","1","1","0","0","0","1","1","1","1","0","0.6"
"Fon LRFD","","0","0","0","0","0","1900","2999","","","","","","IR Surveilance Designator, Max Range: 8km, Ref: 8km          Laser designator and range finder, 8 km range","","8","8","20","-25","5","4","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","10","0","1","1","1","0","1","1","1"
"R-3S IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 7.6km, Ref: 1.6km          IR seeker for the R-3S AAM.  7.6km rear aspect aligned.","","7.6","1.6","30","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"R-3M IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR, Max Range: 7.6km, Ref: 2.065km          IR seeker for the R-3M AAM.  9.4km rear aspect aligned.","","7.6","2.065","35","-90","90","2","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","0","0","0","0","0","1","0","0","1","1"
"Klyon-PS LRMTS","","0","0","0","0","0","1900","2999","","","","","","Optical Surveilance Designator, Max Range: 10km, Ref: 10km          Laser designator and range finder, 10 km range","","10","10","24","-30","6","4","GenericSensor","0","0","90","75000000000000.0","800000000000000.0","6","1","1","10","0","1","1","1","0","1","0","1"
