DatabaseClass text,ChildClass text,ChildCapacity numeric,LoadTime_s numeric,CycleTime_s numeric
"AH-1 Inboard Pylon","AIM-9H","1","180","1"
"AH-1 Inboard Pylon","AIM-9L","1","180","1"
"AH-1 Inboard Pylon","AIM-9M","1","180","1"
"AH-1 Inboard Pylon","AIM-9X","1","180","1"
"AH-1 Inboard Pylon","Hydra-70 rocket","19","180","0.1"
"AH-1 Inboard Pylon","Mk 16 Zuni FFAR","4","180","0.2"
"AH-1 Inboard Pylon","Mk 71 Zuni WAFAR","4","180","0.2"
"AH-1 Outboard Pylon","AGM-114 Hellfire","4","180","1"
"AH-1 Outboard Pylon","AIM-9D","1","180","1"
"AH-1 Outboard Pylon","AIM-9G","1","180","1"
"AH-1 Outboard Pylon","AIM-9H","1","180","1"
"AH-1 Outboard Pylon","AIM-9L","1","180","1"
"AH-1 Outboard Pylon","AIM-9M","1","180","1"
"AH-1 Outboard Pylon","AIM-9X","1","180","1"
"AH-1 Outboard Pylon","BGM-71A TOW","4","240","1"
"AH-1 Outboard Pylon","BGM-71E TOW 2","4","240","1"
"AH-1 Outboard Pylon","Hydra-70 rocket","19","180","0.1"
"AH-1 Outboard Pylon","Mk 16 Zuni FFAR","4","180","0.2"
"AH-1 Outboard Pylon","Mk 71 Zuni WAFAR","4","180","0.2"
"AH-1J Pylon","Hydra-70 rocket","19","180","0.1"
"AH-1J Pylon","Mk 16 Zuni FFAR","4","180","0.2"
"AH-1J Pylon","Mk 71 Zuni WAFAR","4","180","0.2"
"AH-1Z Wtips","AIM-9D","2","240","1"
"AH-1Z Wtips","AIM-9G","2","240","1"
"AH-1Z Wtips","AIM-9H","2","240","1"
"AH-1Z Wtips","AIM-9L","2","240","1"
"AH-1Z Wtips","AIM-9M","2","240","1"
"AH-1Z Wtips","AIM-9X","2","240","1"
"AH-64 pylons 1-5","AGM-114 Hellfire","2","180","1"
"AH-64 pylons 1-5","AIM-9D","2","180","1"
"AH-64 pylons 1-5","AIM-9G","2","180","1"
"AH-64 pylons 1-5","AIM-9H","2","180","1"
"AH-64 pylons 1-5","AIM-9L","2","180","1"
"AH-64 pylons 1-5","AIM-9M","2","180","1"
"AH-64 pylons 1-5","AIM-9X","2","180","1"
"AH-64 pylons 1-5","Hydra-70 rocket","38","180","0.2"
"AH-64 pylons 2-4","AGM-114 Hellfire","2","180","1"
"AH-64 pylons 2-4","AIM-9D","2","180","1"
"AH-64 pylons 2-4","AIM-9G","2","180","1"
"AH-64 pylons 2-4","AIM-9H","2","180","1"
"AH-64 pylons 2-4","AIM-9L","2","180","1"
"AH-64 pylons 2-4","AIM-9M","2","180","1"
"AH-64 pylons 2-4","AIM-9X","2","180","1"
"AH-64 pylons 2-4","Hydra-70 rocket","38","180","0.2"
"AJ ExtraFuel","AJ1340 Fuel","1","180","0.1"
"AJ ExtraFuel","AJ500 Fuel","1","180","0.1"
"AJ ExtraFuel","AJ840 Fuel","1","180","0.1"
"AJ-1 Bay","GP HC 8000","1","180","0.1"
"AJ-1 Bay","GP MC 1000","8","180","0.1"
"AJ-1 Bay","GP MC 1900","4","180","0.1"
"AJ-1 Bay","GP MC 250","12","180","0.1"
"AJ-1 Bay","GP MC 4000","2","180","0.1"
"AJ-1 Bay","GP MC 500","12","180","0.1"
"AJ-1 Bay","Mk-10 Mod5 Mine","4","180","0.1"
"AJ-1 Bay","Mk-10 Mod6 Mine","4","180","0.1"
"AJ-1 Bay","Mk-25 Mine","4","180","0.1"
"AJ-1 Bay","Mk-36 Mod1 Mine","8","180","0.1"
"AJ-1 Bay","Mk-36 Mod2 Mine","8","180","0.1"
"AJ-1 Bay","Mk-39 Mine","4","180","0.1"
"AK-130","130mm AK-130","100","30","2"
"AK-630","30mm AK-630","20","30","4"
"ALE-29 CMs","Chaff-1","30","300","0.1"
"ALE-29 CMs","Flare-1","30","300","0.1"
"ALE-39 CMD x2","Chaff-1","60","450","0.01"
"ALE-39 CMD x2","Flare-1","60","450","0.01"
"ALE-39 CMD x3","Chaff-1","90","300","0.01"
"ALE-39 CMD x3","Flare-1","90","300","0.01"
"ALE-39 CMD","Chaff-1","30","300","0.01"
"ALE-39 CMD","Flare-1","30","300","0.01"
"ALE-40 CMD","Chaff-1","30","300","0.01"
"ALE-40 CMD","Flare-1","30","300","0.01"
"ALE-45 Chaff Dispenser","ALE-45 Chaff","120","600","0.1"
"ALE-45 Chaff Dispenser","Chaff-1","120","600","0.1"
"ALE-45 Flare Dispenser","ALE-45 Flare","120","600","0.1"
"ALE-45 Flare Dispenser","Flare-1","120","600","0.1"
"AN/AAQ-24 Nemesis DIRCM","AN/AAQ-24 Nemesis Laser Beam","100","0","0.1"
"AN/ALE-40 C","AN/ALE-40 chaff","120","600","0.1"
"AN/ALE-40 F","AN/ALE-40 bengala","60","600","0.1"
"AN/ALE-47 CMD x 6","AN/ALE-55 FOTD","24","3600","0.01"
"AN/ALE-47 CMD x 6","Chaff-1","960","1800","0.01"
"AN/ALE-47 CMD x 6","Flare-1","192","1800","0.01"
"AN/ALE-47 CMD","AN/ALE-55 FOTD","4","600","0.01"
"AN/ALE-47 CMD","Chaff-1","30","600","0.01"
"AN/ALE-47 CMD","Flare-1","30","600","0.01"
"ANZAC Mk-141 Launcher","RGM-84D Harpoon","4","0","2"
"ANZAC Mk-41 Mod 5 VLS","RIM-162B","32","0","1"
"AO-17A 30 mm","30mm Su-25","5","30","1.5"
"APP-15 CMD (Left Bank)","Chaff-1","48","300","0.01"
"APP-15 CMD (Left Bank)","Flare-1","24","300","0.01"
"APP-15 CMD (Right Bank)","Chaff-1","48","300","0.01"
"APP-15 CMD (Right Bank)","Flare-1","24","300","0.01"
"APP-50P/A PPI-50","PPI-50","48","600","0.1"
"APP-50P/A PRP-50","PRP-50","48","600","0.1"
"AS565 Launcher","20x102 mm burst","50","300","0.25"
"AS565 Launcher","750 litre tank","1","600","3"
"AS565 Launcher","A-244S","1","600","3"
"AS565 Launcher","AS-30L","1","600","3"
"AS565 Launcher","MU-90","1","600","3"
"AS565 Launcher","Mistral","8","300","0.5"
"AS565 Launcher","Mk-46 Mod5","1","600","3"
"AS565 Launcher","Mk-50","1","600","3"
"AS565 Launcher","Mk-54","1","600","3"
"AS565 Launcher","Stingray","1","600","3"
"ASM Launcher","ASM-I","4","30","2"
"ASO-2V","ASO-2V bengala","64","600","0.1"
"ASROC-TEST Launcher","ASROC-TEST","8","30","3"
"AV-8A 1-5","50mm (2in) FFAR Rockets","72","240","0.1"
"AV-8A 1-5","68mm SNEB Rockets","36","240","0.1"
"AV-8A 1-5","AIM-9*","2","360","0.2"
"AV-8A 1-5","Hydra-70 rocket","38","240","0.1"
"AV-8A 1-5","M117","2","240","0.2"
"AV-8A 1-5","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8A 1-5","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8A 1-5","Mk-40 FFAR","72","240","0.1"
"AV-8A 1-5","Mk-81","4","360","0.2"
"AV-8A 1-5","Mk-82","4","360","0.2"
"AV-8A 1-5","Mk-83","2","240","0.2"
"AV-8A 2-4","100 gallon wing tank","2","240","0.2"
"AV-8A 2-4","190 gallon wing tank","2","240","0.2"
"AV-8A 2-4","300 gallon wing tank","2","240","0.2"
"AV-8A 2-4","50mm (2in) FFAR Rockets","72","240","0.1"
"AV-8A 2-4","68mm SNEB Rockets","36","240","0.1"
"AV-8A 2-4","Hydra-70 rocket","38","240","0.1"
"AV-8A 2-4","M117","2","240","0.2"
"AV-8A 2-4","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8A 2-4","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8A 2-4","Mk-40 FFAR","72","240","0.1"
"AV-8A 2-4","Mk-81","4","360","0.2"
"AV-8A 2-4","Mk-82","4","360","0.2"
"AV-8A 2-4","Mk-83","2","240","0.2"
"AV-8A 3","M117","1","180","0.2"
"AV-8A 3","Mk-81","1","180","0.2"
"AV-8A 3","Mk-82","1","180","0.2"
"AV-8A 3","Mk-83","1","180","0.2"
"AV-8B 1-7","AIM-9*","4","360","0.2"
"AV-8B 1-7","GBU-31A(v)2","2","300","0.2"
"AV-8B 1-7","GBU-31C(v)4","2","300","0.2"
"AV-8B 1-7","GBU-32A(v)2","2","300","0.2"
"AV-8B 1-7","GBU-32C(v)4","2","300","0.2"
"AV-8B 1-7","GBU-39 SDB","6","360","0.2"
"AV-8B 1-7","Hydra-70 rocket","38","240","0.1"
"AV-8B 1-7","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B 1-7","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B 1-7","Mk-40 FFAR","72","240","0.1"
"AV-8B 1-7","Mk-81","4","360","0.2"
"AV-8B 1-7","Mk-82","4","360","0.2"
"AV-8B 1-7","Mk-83","2","240","0.2"
"AV-8B 1-7","Mk-84","2","240","0.2"
"AV-8B 2-6","100 gallon wing tank","2","240","0.2"
"AV-8B 2-6","190 gallon wing tank","2","240","0.2"
"AV-8B 2-6","300 gallon wing tank","2","240","0.2"
"AV-8B 2-6","AGM-65D","2","360","0.2"
"AV-8B 2-6","AGM-65E","2","360","0.2"
"AV-8B 2-6","AGM-88A","2","360","0.2"
"AV-8B 2-6","AGM-88B","2","360","0.2"
"AV-8B 2-6","AGM-88C","2","360","0.2"
"AV-8B 2-6","GBU-31A(v)2","2","300","0.2"
"AV-8B 2-6","GBU-31C(v)4","2","300","0.2"
"AV-8B 2-6","GBU-32A(v)2","2","300","0.2"
"AV-8B 2-6","GBU-32C(v)4","2","300","0.2"
"AV-8B 2-6","GBU-39 SDB","6","360","0.2"
"AV-8B 2-6","Hydra-70 rocket","38","240","0.1"
"AV-8B 2-6","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B 2-6","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B 2-6","Mk-40 FFAR","72","240","0.1"
"AV-8B 2-6","Mk-81","4","360","0.2"
"AV-8B 2-6","Mk-82","4","360","0.2"
"AV-8B 2-6","Mk-83","2","240","0.2"
"AV-8B 2-6","Mk-84","2","240","0.2"
"AV-8B 3-5","100 gallon wing tank","2","240","0.2"
"AV-8B 3-5","190 gallon wing tank","2","240","0.2"
"AV-8B 3-5","300 gallon wing tank","2","240","0.2"
"AV-8B 3-5","AGM-65D","2","360","0.2"
"AV-8B 3-5","AGM-65E","2","360","0.2"
"AV-8B 3-5","AGM-88A","2","360","0.2"
"AV-8B 3-5","AGM-88B","2","360","0.2"
"AV-8B 3-5","AGM-88C","2","360","0.2"
"AV-8B 3-5","GBU-31A(v)2","2","300","0.2"
"AV-8B 3-5","GBU-31C(v)4","2","300","0.2"
"AV-8B 3-5","GBU-32A(v)2","2","300","0.2"
"AV-8B 3-5","GBU-32C(v)4","2","300","0.2"
"AV-8B 3-5","GBU-39 SDB","6","360","0.2"
"AV-8B 3-5","Hydra-70 rocket","38","240","0.1"
"AV-8B 3-5","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B 3-5","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B 3-5","Mk-40 FFAR","72","240","0.1"
"AV-8B 3-5","Mk-81","4","360","0.2"
"AV-8B 3-5","Mk-82","4","360","0.2"
"AV-8B 3-5","Mk-83","2","240","0.2"
"AV-8B 3-5","Mk-84","2","240","0.2"
"AV-8B 4","M117","1","180","0.2"
"AV-8B 4","Mk-81","1","180","0.2"
"AV-8B 4","Mk-82","1","180","0.2"
"AV-8B 4","Mk-83","1","180","0.2"
"AV-8B 4","Mk-84","1","180","0.2"
"AV-8B+ 1-9","AIM-9*","4","360","0.2"
"AV-8B+ 1-9","GBU-31A(v)2","2","300","0.2"
"AV-8B+ 1-9","GBU-31C(v)4","2","300","0.2"
"AV-8B+ 1-9","GBU-32A(v)2","2","300","0.2"
"AV-8B+ 1-9","GBU-32C(v)4","2","300","0.2"
"AV-8B+ 1-9","GBU-39 SDB","6","360","0.2"
"AV-8B+ 1-9","Hydra-70 rocket","38","240","0.1"
"AV-8B+ 1-9","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B+ 1-9","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B+ 1-9","Mk-40 FFAR","72","240","0.1"
"AV-8B+ 1-9","Mk-81","4","360","0.2"
"AV-8B+ 1-9","Mk-82","4","360","0.2"
"AV-8B+ 1-9","Mk-83","2","240","0.2"
"AV-8B+ 1-9","Mk-84","2","240","0.2"
"AV-8B+ 2-8","100 gallon wing tank","2","240","0.2"
"AV-8B+ 2-8","190 gallon wing tank","2","240","0.2"
"AV-8B+ 2-8","300 gallon wing tank","2","240","0.2"
"AV-8B+ 2-8","AGM-65D","2","360","0.2"
"AV-8B+ 2-8","AGM-65E","2","360","0.2"
"AV-8B+ 2-8","AGM-88A","2","360","0.2"
"AV-8B+ 2-8","AGM-88B","2","360","0.2"
"AV-8B+ 2-8","AGM-88C","2","360","0.2"
"AV-8B+ 2-8","AIM-120A","2","360","0.2"
"AV-8B+ 2-8","AIM-120B","2","360","0.2"
"AV-8B+ 2-8","AIM-120C","2","360","0.2"
"AV-8B+ 2-8","AIM-120C5","2","360","0.2"
"AV-8B+ 2-8","AIM-120C7","2","360","0.2"
"AV-8B+ 2-8","AIM-120D","2","360","0.2"
"AV-8B+ 2-8","GBU-31A(v)2","2","300","0.2"
"AV-8B+ 2-8","GBU-31C(v)4","2","300","0.2"
"AV-8B+ 2-8","GBU-32A(v)2","2","300","0.2"
"AV-8B+ 2-8","GBU-32C(v)4","2","300","0.2"
"AV-8B+ 2-8","GBU-39 SDB","6","360","0.2"
"AV-8B+ 2-8","Hydra-70 rocket","38","240","0.1"
"AV-8B+ 2-8","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B+ 2-8","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B+ 2-8","Mk-40 FFAR","72","240","0.1"
"AV-8B+ 2-8","Mk-81","4","360","0.2"
"AV-8B+ 2-8","Mk-82","4","360","0.2"
"AV-8B+ 2-8","Mk-83","2","240","0.2"
"AV-8B+ 2-8","Mk-84","2","240","0.2"
"AV-8B+ 3-7","AIM-9*","2","360","0.2"
"AV-8B+ 4-6","100 gallon wing tank","2","240","0.2"
"AV-8B+ 4-6","190 gallon wing tank","2","240","0.2"
"AV-8B+ 4-6","300 gallon wing tank","2","240","0.2"
"AV-8B+ 4-6","AGM-65D","2","360","0.2"
"AV-8B+ 4-6","AGM-65E","2","360","0.2"
"AV-8B+ 4-6","AGM-84A Harpoon","2","360","0.2"
"AV-8B+ 4-6","AGM-84C Harpoon","2","360","0.2"
"AV-8B+ 4-6","AGM-84D Harpoon","2","360","0.2"
"AV-8B+ 4-6","AGM-84F Harpoon","2","360","0.2"
"AV-8B+ 4-6","AGM-84G Harpoon","2","360","0.2"
"AV-8B+ 4-6","AGM-88A","2","360","0.2"
"AV-8B+ 4-6","AGM-88B","2","360","0.2"
"AV-8B+ 4-6","AGM-88C","2","360","0.2"
"AV-8B+ 4-6","AIM-120A","2","360","0.2"
"AV-8B+ 4-6","AIM-120B","2","360","0.2"
"AV-8B+ 4-6","AIM-120C","2","360","0.2"
"AV-8B+ 4-6","AIM-120C5","2","360","0.2"
"AV-8B+ 4-6","AIM-120C7","2","360","0.2"
"AV-8B+ 4-6","AIM-120D","2","360","0.2"
"AV-8B+ 4-6","GBU-31A(v)2","2","300","0.2"
"AV-8B+ 4-6","GBU-31C(v)4","2","300","0.2"
"AV-8B+ 4-6","GBU-32A(v)2","2","300","0.2"
"AV-8B+ 4-6","GBU-32C(v)4","2","300","0.2"
"AV-8B+ 4-6","GBU-39 SDB","6","360","0.2"
"AV-8B+ 4-6","Hydra-70 rocket","38","240","0.1"
"AV-8B+ 4-6","Mk 16 Zuni FFAR","8","240","0.2"
"AV-8B+ 4-6","Mk 71 Zuni WAFAR","8","240","0.2"
"AV-8B+ 4-6","Mk-40 FFAR","72","240","0.1"
"AV-8B+ 4-6","Mk-81","4","360","0.2"
"AV-8B+ 4-6","Mk-82","4","360","0.2"
"AV-8B+ 4-6","Mk-83","2","240","0.2"
"AV-8B+ 4-6","Mk-84","2","240","0.2"
"AV-8B+ 5","M117","1","180","0.2"
"AV-8B+ 5","Mk-81","1","180","0.2"
"AV-8B+ 5","Mk-82","1","180","0.2"
"AV-8B+ 5","Mk-83","1","180","0.2"
"AV-8B+ 5","Mk-84","1","180","0.2"
"AW101 Pylon","MU-90","2","120","1"
"AW101 Pylon","Marte Mk2/S","1","300","1"
"Adelaide Mk-41 Mod 5 VLS","RIM-162B","32","0","1"
"Air torpedo launcher","MK-T1","4","30","8"
"Air torpedo launcher","MK-T1P","4","30","8"
"Albatros-Lupo","ASPIDE-1A","8","600","2"
"Albatross Launcher","ASPIDE-1A","8","600","2"
"Albatross Launcher","Aspide 2000","8","600","2"
"Alkan 5081","Chaff-1","30","30","0.25"
"Alkan 5081","Flare-1","30","30","0.25"
"Alpha1","*Magic*","2","360","1"
"Alpha1","310 liter tank","2","240","1"
"Alpha1","450 liter tank","2","240","1"
"Alpha1","68mm SNEB Rockets","144","300","0.1"
"Alpha1","AIM-9*","2","360","1"
"Alpha1","Durandal","4","300","0.05"
"Alpha1","Hydra-70 rocket","76","300","0.1"
"Alpha1","IRIS-T","2","360","1"
"Alpha1","Mk-82","4","300","0.05"
"Alpha1","Mk-83","4","300","0.05"
"Alpha1","Mk-84","4","300","0.05"
"Alpha2","*Magic*","2","360","1"
"Alpha2","310 liter tank","2","240","1"
"Alpha2","450 liter tank","2","240","1"
"Alpha2","68mm SNEB Rockets","72","240","0.1"
"Alpha2","AGM-65*","2","360","1"
"Alpha2","AIM-9*","2","360","1"
"Alpha2","Durandal","2","240","0.05"
"Alpha2","Hydra-70 rocket","38","240","0.1"
"Alpha2","IRIS-T","2","360","1"
"Alpha2","Mk-82","2","240","0.05"
"Alpha2","Mk-83","2","240","0.05"
"Alpha2","Mk-84","2","240","0.05"
"Alpha3","Durandal","1","200","0.05"
"Alpha3","Mk-82","1","200","0.05"
"Alpha3","Mk-83","1","200","0.05"
"Alpha3","Mk-84","1","200","0.05"
"B-1B Bay","B-83*","8","30","10"
"B-1B Bay","GBU-31A(v)2","8","30","0.1"
"B-1B Bay","GBU-31C(v)4","8","30","0.1"
"B-1B Bay","Mk-82","27","30","0.03"
"B-1B Bay","Mk-84","8","30","0.1"
"B-2A Bay","AGM-130","8","360","0.5"
"B-2A Bay","AGM-158A JASSM","8","480","1"
"B-2A Bay","B-61*","8","600","10"
"B-2A Bay","B-83*","8","600","10"
"B-2A Bay","GBU-31A(v)2","8","360","0.5"
"B-2A Bay","GBU-31C(v)4","8","360","0.5"
"B-2A Bay","GBU-32A(v)2","8","360","0.5"
"B-2A Bay","GBU-32C(v)4","16","420","0.5"
"B-2A Bay","M117","26","440","0.03"
"B-2A Bay","M118","8","360","0.03"
"B-2A Bay","Mk-81","40","520","0.03"
"B-2A Bay","Mk-82","40","520","0.03"
"B-2A Bay","Mk-83","18","420","0.03"
"B-2A Bay","Mk-84","8","360","0.03"
"B-52 Internal","B-61 170kT","8","3600","10"
"B-52 Internal","B-61*","8","3600","10"
"B-52 Internal","B-83 400kT","8","3600","10"
"B-52 Internal","B-83*","8","3600","10"
"B-52 Internal","GBU-32A(v)2","6","300","0.5"
"B-52 Internal","GBU-32C(v)4","6","300","0.5"
"B-52 Internal","M117","27","420","0.03"
"B-52 Internal","M118","7","300","0.03"
"B-52 Internal","Mk-60 CAPTOR","8","300","0.5"
"B-52 Internal","Mk-81","27","420","0.03"
"B-52 Internal","Mk-82","27","420","0.03"
"B-52 Internal","Mk-83","18","360","0.03"
"B-52 Internal","Mk-84","9","300","0.03"
"B-52 Wing","AGM-84A Harpoon","4","300","0.5"
"B-52 Wing","AGM-84C Harpoon","4","300","0.5"
"B-52 Wing","AGM-84D Harpoon","4","300","0.5"
"B-52 Wing","AGM-84F Harpoon","4","300","0.5"
"B-52 Wing","GBU-32A(v)2","6","300","0.03"
"B-52 Wing","GBU-32C(v)4","6","300","0.03"
"B-52 Wing","M117","12","300","0.03"
"B-52 Wing","M118","6","300","0.03"
"B-52 Wing","Mk-82","12","300","0.03"
"B-52 Wing","Mk-83","12","300","0.03"
"B-52 Wing","Mk-84","9","300","0.03"
"B66 Bay","AP 1500","7","120","0.1"
"B66 Bay","B-28*","5","4500","10"
"B66 Bay","B-39*","1","3600","10"
"B66 Bay","B-43*","5","4500","10"
"B66 Bay","B-53*","1","3600","10"
"B66 Bay","B-57*","14","6900","10"
"B66 Bay","B-61*","14","6900","10"
"B66 Bay","B-83*","4","4200","10"
"B66 Bay","GP HC 8000","1","120","0.1"
"B66 Bay","GP MC 1000","10","120","0.1"
"B66 Bay","GP MC 1900","6","120","0.1"
"B66 Bay","GP MC 250","14","120","0.1"
"B66 Bay","GP MC 4000","2","120","0.1"
"B66 Bay","GP MC 500","14","120","0.1"
"B66 Bay","M117","14","120","0.1"
"B66 Bay","M118","3","120","0.1"
"B66 Bay","Mk-10 Mod5 Mine","6","140","0.1"
"B66 Bay","Mk-10 Mod6 Mine","6","140","0.1"
"B66 Bay","Mk-25 Mine","5","140","0.1"
"B66 Bay","Mk-36 DST","14","120","0.1"
"B66 Bay","Mk-36 Mod1 Mine","5","140","0.1"
"B66 Bay","Mk-36 Mod2 Mine","5","140","0.1"
"B66 Bay","Mk-39 Mine","5","140","0.1"
"B66 Bay","Mk-40 DST","10","120","0.1"
"B66 Bay","Mk-41 DST","5","120","0.1"
"B66 Bay","Mk-56 Mine","5","140","0.1"
"B66 Bay","Mk-59 DST","12","120","0.1"
"B66 Bay","Mk-81","14","120","0.1"
"B66 Bay","Mk-82","14","120","0.1"
"B66 Bay","Mk-83","10","120","0.1"
"B66 Bay","Mk-84","5","120","0.1"
"B66 wing","500 gallon tank","2","120","1"
"BK27-Cannon","27mm HE","6","30","0.2"
"Bear G Kh-22 Launcher","Kh-22","2","360","1"
"Bear G Kh-22 Launcher","Kh-22*","2","360","1"
"Bofors 40 mm/70 Mark 3","40mm HE-T","55","17","0.3636"
"Bofors 40 mm/70 Mark 3","40mm PFHE","55","17","0.3636"
"Breda SCLAR","SCLAR","20","100","2"
"Bristol Bloodhound MKI Launcher","Bloodhound mk1","1","1200","0"
"Bristol Bloodhound MKII Launcher","Bloodhound mk2","1","1200","0"
"Buccaneer S1 1-4","50mm (2in) FFAR Rockets","72","300","0.2"
"Buccaneer S1 1-4","68mm SNEB Rockets","36","300","0.2"
"Buccaneer S1 1-4","GP MC 1000","2","240","0.2"
"Buccaneer S1 1-4","GP MC 250","2","240","0.2"
"Buccaneer S1 1-4","GP MC 500","2","240","0.2"
"Buccaneer S1 1.5-3.5","300 gallon wing tank","2","240","0.2"
"Buccaneer S1 2-3","50mm (2in) FFAR Rockets","72","300","0.2"
"Buccaneer S1 2-3","68mm SNEB Rockets","36","300","0.2"
"Buccaneer S1 2-3","GP MC 1000","2","240","0.2"
"Buccaneer S1 2-3","GP MC 250","2","240","0.2"
"Buccaneer S1 2-3","GP MC 500","2","240","0.2"
"Buccaneer S1 Bay","2000 liter tank","1","240","0.2"
"Buccaneer S1 Bay","GP MC 1000","4","300","0.2"
"Buccaneer S1 Bay","GP MC 250","4","300","0.2"
"Buccaneer S1 Bay","GP MC 500","4","300","0.2"
"Buccaneer S1 Bay","Red Beard 20kT","1","720","0.2"
"Buccaneer S2 1-4","50mm (2in) FFAR Rockets","72","300","0.2"
"Buccaneer S2 1-4","68mm SNEB Rockets","36","300","0.2"
"Buccaneer S2 1-4","AS.37 Martel","2","360","1"
"Buccaneer S2 1-4","BAe Sea Eagle","2","360","1"
"Buccaneer S2 1-4","GP MC 1000","2","240","0.2"
"Buccaneer S2 1-4","GP MC 250","4","300","0.2"
"Buccaneer S2 1-4","GP MC 500","4","300","0.2"
"Buccaneer S2 1-4","Mk-81","4","300","0.2"
"Buccaneer S2 1-4","Mk-82","4","300","0.2"
"Buccaneer S2 1-4","Mk-83","2","240","0.2"
"Buccaneer S2 2-3","50mm (2in) FFAR Rockets","72","300","0.2"
"Buccaneer S2 2-3","68mm SNEB Rockets","36","300","0.2"
"Buccaneer S2 2-3","AS.37 Martel","2","360","1"
"Buccaneer S2 2-3","BAe Sea Eagle","2","360","1"
"Buccaneer S2 2-3","GP MC 1000","2","240","0.2"
"Buccaneer S2 2-3","GP MC 250","4","300","0.2"
"Buccaneer S2 2-3","GP MC 500","4","300","0.2"
"Buccaneer S2 2-3","Mk-81","4","300","0.2"
"Buccaneer S2 2-3","Mk-82","4","300","0.2"
"Buccaneer S2 2-3","Mk-83","2","240","0.2"
"CH-124 Launcher","Mk-46 Mod5","2","420","10"
"CM Ejector 2","Chaff-1","25","30","0.25"
"CM Ejector 2","Flare-1","25","30","0.25"
"CM Ejector","Chaff-1","30","30","0.25"
"CM Ejector","Flare-1","30","30","0.25"
"CSA Mk1","Decoy-1","10","300","2"
"CSA Mk1","Noisemaker-1","10","300","2"
"Chaff POV","SKWS-12T","12","100","2"
"Collins CM Launcher","Noisemaker-1","12","480","2"
"Crotale Naval","Matra R.440N","8","300","0.5"
"DC Rack 12","Mk-9 DC","12","450","1"
"DC Rack 8 Chn","Chn DC","8","420","1"
"DEFA 30mm (300)","30mm DEFA","60","900","0.231"
"DEFA 30mm","30mm DEFA","10","1200","0.06"
"DM/A-202 Chaff","DM/A-202 chaff","108","600","0.1"
"DM/A-202 Flare","DM/A-202 bengala","54","600","0.1"
"EDS-25A Mortar","EDS-25A ASW Mortar","1","240","0"
"EDS-25B Mortar","EDS-25B ASW Mortar","1","240","0"
"EDS-32 Mortar","EDS-32 ASW Mortar","1","240","0"
"ESSM 2x4 Launcher","RIM-162B","8","300","2"
"ESSM 4x4 Launcher","RIM-162B","16","420","2"
"Eurotorp TLS Launcher x3","MU-90","3","600","3"
"Eurotorp TLS Launcher x3","Mk-46 Mod5","3","600","3"
"Eurotorp TLS Launcher x3","Stingray","3","600","3"
"Eurotorp TLS launcher","MU-90","2","600","3"
"Eurotorp TLS launcher","Mk-46 Mod5","2","600","3"
"Eurotorp TLS launcher","Stingray","2","600","3"
"Exocet Quad Launcher","MM-38 Exocet","4","0","2"
"Exocet Quad Launcher","MM-40 B2 Exocet","4","0","2"
"Exocet Quad Launcher","MM-40 B3 Exocet","4","0","2"
"Exocet Quad Launcher","MM-40 Exocet","4","0","2"
"Exocet Single Launcher","MM-38 Exocet","1","0","2"
"Exocet Single Launcher","MM-40 B2 Exocet","1","0","2"
"Exocet Single Launcher","MM-40 B3 Exocet","1","0","2"
"Exocet Single Launcher","MM-40 Exocet","1","0","2"
"Exocet Tri Launcher","MM-38 Exocet","3","0","2"
"Exocet Tri Launcher","MM-40 B2 Exocet","3","0","2"
"Exocet Tri Launcher","MM-40 B3 Exocet","3","0","2"
"Exocet Tri Launcher","MM-40 Exocet","3","0","2"
"Exocet Twin Launcher","MM-38 Exocet","2","0","2"
"Exocet Twin Launcher","MM-40 B2 Exocet","2","0","2"
"Exocet Twin Launcher","MM-40 B3 Exocet","2","0","2"
"Exocet Twin Launcher","MM-40 Exocet","2","0","2"
"F-111 2-5","600 gallon tank","2","30","0.2"
"F-111 2-5","AIM-9B","2","30","0.2"
"F-111 2-5","B-43*","2","30","0.2"
"F-111 2-5","B-57*","2","30","0.2"
"F-111 2-5","B-61*","2","30","0.2"
"F-111 2-5","B-83*","2","30","0.2"
"F-111 2-5","GBU-10/B","2","30","0.2"
"F-111 2-5","GBU-24/B","2","30","0.2"
"F-111 2-5","GBU-24B/B","2","30","0.2"
"F-111 2-5","M117","12","30","0.2"
"F-111 2-5","M118","2","30","0.2"
"F-111 2-5","Mk-36 DST","8","30","0.2"
"F-111 2-5","Mk-82","12","30","0.2"
"F-111 2-5","Mk-84","2","30","0.2"
